condition	strain	mu_per_h	gene	rel_expression	rel_lo95	rel_hi95
2D01	b-car2	0.100987987	ERG10	0.850375721	0.799631013	0.904340696
2D01	b-car2	0.100987987	ERG13	0.624549294	0.597464676	0.652861729
2D01	b-car2	0.100987987	HMG1	0.814739729	0.668985783	0.992249528
2D01	b-car2	0.100987987	HMG2	1.21343521	0.975298608	1.50971713
2D01	b-car2	0.100987987	ERG12	0.891958358	0.651151446	1.22181977
2D01	b-car2	0.100987987	ERG8	0.744170176	0.543202817	1.01948892
2D01	b-car2	0.100987987	MVD1	0.826591489	0.692604802	0.986498345
2D01	b-car2	0.100987987	IDI1	1.1973826	0.915127656	1.56669408
2D01	b-car2	0.100987987	ERG20	1.05584143	0.929340598	1.19956142
2D01	b-car2	0.100987987	BTS1	0.966118058	0.893330678	1.04483605
2D01	b-car2	0.100987987	CrtE	0.27097323	0.202615105	0.362393965
2D01	b-car2	0.100987987	ERG9	0.632663914	0.59324511	0.674701944
2D01	b-car2	0.100987987	CrtI	0.510622587	0.421620303	0.618412881
2D01	b-car2	0.100987987	CrtYB	0.327558514	0.307723791	0.348671709
2D025	b-car2	0.254320182	ERG10	0.606574901	0.586488069	0.627349695
2D025	b-car2	0.254320182	ERG13	0.945143974	0.636268757	1.40396196
2D025	b-car2	0.254320182	HMG1	0.712695375	0.520157132	0.976502418
2D025	b-car2	0.254320182	HMG2	0.783795511	0.679986608	0.903452207
2D025	b-car2	0.254320182	ERG12	0.868720959	0.637982412	1.18291052
2D025	b-car2	0.254320182	ERG8	0.805310876	0.577890633	1.12222896
2D025	b-car2	0.254320182	MVD1	0.75247128	0.661563896	0.855870507
2D025	b-car2	0.254320182	IDI1	1.09612244	0.894224478	1.34360491
2D025	b-car2	0.254320182	ERG20	0.818451955	0.596703149	1.12260779
2D025	b-car2	0.254320182	BTS1	0.96329769	0.760084591	1.22084101
2D025	b-car2	0.254320182	CrtE	0.245160473	0.177643592	0.33833845
2D025	b-car2	0.254320182	ERG9	0.615819914	0.557727898	0.679962698
2D025	b-car2	0.254320182	CrtI	0.370758772	0.333857486	0.411738759
2D025	b-car2	0.254320182	CrtYB	0.29191703	0.266678312	0.319544367
3D01	b-car3	0.100987987	ERG10	0.637751255	0.52223733	0.778815759
3D01	b-car3	0.100987987	ERG13	0.685935524	0.47639414	0.98764343
3D01	b-car3	0.100987987	HMG1	0.660416821	0.500084406	0.872153525
3D01	b-car3	0.100987987	HMG2	1.10797039	0.926772587	1.32459505
