pmid	reference	journal	strain	carbon_source	mode	hours	content_mg_per_gdcw	titre_mg_per_l	biomass_g_per_l	bioreactor	measurand	dfba_ready	titre_as_reported	notes	copies_crtE	copies_crtYB	copies_crtI	promoter	integration	copy_evidence
7765036	Yamano 1994	Biosci Biotechnol Biochem 58:1112	R7; *Erwinia uredovora* crtE/crtB/crtI/crtY on 2u episomal vector, 2 copies crtY	2% galactose, YNB	3 d, 30 °C, stationary	72	0.103			no	unverified	no	103 ug/g dry wt	AUDIT: paywalled; abstract names beta-carotene AND lycopene but describes no assay. Earlier beta_carotene call unfounded.						
17496128	Verwaal 2007	Appl Environ Microbiol 73:4342	CEN.PK113-6B; *X. dendrorhous* crtYB + crtI x2 + crtE + ScTHMG1 truncated, all genomically integrated, TDH3p	2% glucose, YNB	shake flask, 30 °C, 225 rpm, 72 h; culture volume and flask size NOT STATED	72	5.9			no	beta_carotene	yes	0.5 -> 5.9 mg/g (dw)	Verwaal 2007 -- a beta-carotene paper; 0.5 -> 5.9 mg/g dw, 72 h shake flask. GEOMETRY 2026-09-09 (PMC1932764): 'Cells were grown at 225 rpm and 30 degC in a shaking incubator', YNB + 2% glucose, 72 h -- and the paper states NO culture volume and NO flask size, so the aeration cannot be reconstructed. bioreactor=no is correct: this row is a shaking incubator throughout.	1	1	2	TDH3p	genomic (YIplac integrative, 3 loci)	NUMBER: 'Single-copy integration of the constructs was confirmed by Southern blotting'. The 0.5 -> 5.9 step IS the addition of one crtI copy.
19801484	Ukibe 2009	Appl Environ Microbiol 75:7205	INVSc1; crtI + crtYB on 2u plasmids, +/- BTS1	2% glucose, SC	20 mL in a 100 mL Erlenmeyer flask, 20 °C, 250 rpm, 5 d	120	0.018			no	beta_carotene	yes	~18 ug/g dw; ~390 ug/g dw with BTS1	Ukibe 2009 -- beta-carotene reported with and without BTS1. GEOMETRY 2026-09-09 (PMC2786542): 'a 100-ml Erlenmeyer flask containing 20 ml medium' at '20 degC in a rotary shaker (250 rpm)'. The rpm was missing from the cell. HPLC separates beta-carotene (RT 25.0 min) from astaxanthin, zeaxanthin, canthaxanthin and echinenone, so the assay is specific as recorded.	0	2u	2u	ADH1p	2u episomal high-copy	QUALITATIVE: '2u-based high-copy-number plasmids', no number, no Southern/qPCR. NOTE crtE ABSENT; BTS1 absent in the 0.018 strain -- adding BTS1 gives the 0.390 variant.
21573686	Lange 2011	Appl Microbiol Biotechnol 91:1611	G175 (YEplac-CaroSA); *X. dendrorhous* genes + *S. aureus* mvaK1 under adh1p, episomal	glucose; YPD and YNB	shake flask, 30 °C, 120 rpm, 48-96 h; culture volume and flask size NOT STATED	96	3.897		1.0	no	beta_carotene	yes	14.3 mg/L at 9 g CDM/L (YPD); 3,897 ug/g CDM at 1 g CDM/L (YNB)	PDF READ: HPLC, Table 2 separates beta-carotene from lycopene. Flasks 48-96 h, 30 C, 120 rpm; 'no lycopene was left after 96 h (Table 2)' fixes the reported values at 96 h. 3.897 mg/g CDM at 1 g CDM/L in YNB (0.67% YNB + 2% glucose). The 14.3 mg/L at 9 g CDM/L is the YPD run -- a different cultivation. MODE 2026-09-09: the cell read 'not stated in abstract' while this row's own note already carried the PDF's 30 C / 120 rpm / 48-96 h. Volume and flask size stay UNRESOLVED -- the PDF does not give them.	2u	2u	2u	TDH3p	2u episomal (YEplac195)	QUALITATIVE: plasmid dose never stated. PROMOTER CORRECTED 2026-09-02: the crt genes are on TDH3p; adh1p drives mvaK1 ONLY. The row previously recorded adh1p for the crt genes.
22080204	Yan 2012	Curr Microbiol 64:152	industrial wine yeast T73-63	grape juice	not stated	12	5.89			no	unverified	no	5.89 mg/g	PDF READ: carotenoid assay NOT stated. Time course to 12-18 h, not 72. Peak 4.82 mg/g at 12 h; the abstract's 5.89 is a different strain/condition.						
22086347	Yan 2012	Curr Microbiol 64:159	recombinant; HMG-CoA reductase overexpression + ergosterol inhibitor	not stated	not stated		2.05			no	unverified	no	2.05 mg/g dw control -> 6.29 mg/g dw with 100 mg/L ketoconazole	AUDIT+PDF: titre had been 100 = the KETOCONAZOLE DOSE. PDF read: OD600/dry weight is the GROWTH assay; carotenoid assay not stated. Grape juice 150-260 g/L sugar.						
23718229	Li 2013	FEMS Microbiol Lett 345:94	codon optimisation of crtI (5 codons) and crtYB (8); tHMG1 vs *S. aureus* mva	UNVERIFIED	UNVERIFIED	72	0.390			no	beta_carotene	yes	~200% improvement; absolute titre UNVERIFIED — hard paywall, no accessible mirror	PDF READ: HPLC LC-20AT + photodiode array. 'After 72 h of growth, the yeast cells were harvested for the quantification of beta-carotene using HPLC'. Control 237 ug/g dw; tHMG1 310.8; mva 390 ug/g dw (the best, used here). A separate codon-optimisation series runs 85.6 -> 251.8 ug/g dw.	0	1	1	TDH3p	genomic at ura3-52 (pRS406M); mva on 2u	NUMBER by construction (integrative pRS406M, one cassette each), not Southern-confirmed. NO crtE in this strain at all.
23860829	Xie 2014	Biotechnol Bioeng 111:125	decentralized assembly, marker-recyclable integrative pMRI, GAL10-GAL1 bidirectional promoters	galactose (GAL system)	shake flask	72	7.41	72.57		no	both_reported	yes	11 mg/g DCW total carotenoids (72.57 mg/L); 7.41 mg/g DCW beta-carotene	PDF READ: BOTH assays. HPLC UV/VIS 450 nm -> 7.41 mg/g DCW beta-carotene; spectrophotometer A1%=2500 -> 11 mg/g DCW TOTAL. Shake flask, 'inoculated to an initial OD600 of 0.05', 'grown for 72 h', 230 rpm, 30 C. Carotenoid production in YPG (1% yeast extract, 2% peptone, 2% D-galactose).	1	2	2	GAL10-GAL1 bidirectional	genomic, pMRI marker-recyclable, 4 loci	NUMBER: Table I genotype names every locus. INTERNAL COPY LADDER: YXWP-14 0.03 -> YXWP-40 0.959 -> YXWP-47 1.947 -> YXWP-53 8.005 mg/gDCW.
24262517	Reyes 2014	Metab Eng 21:26	crtE/crtYB/crtI producer, adaptive laboratory evolution under periodic H2O2	not verified	not verified		18			no	total_carotenoid	no	6 -> up to 18 mg/g DCW carotenoids (not disambiguated)	Reyes 2014 -- 'carotenoids (not disambiguated)'.						
25423750	Wang 2014	Sheng Wu Gong Cheng Xue Bao 30:1204	BY4742-derived BW02	not stated	not stated		1.56			no	unverified	no	1.56 mg/g DCW							
