construct	stressor	dose_mM	replicate	od600_mean	od600_half_sd	rfu_mean	rfu_half_sd	per_cell	per_cell_half_sd
UPRE1	H2O2	0.0	1	0.3203333333333333	0.015134581446328656	1774.0	82.37819290726561	5539.1614659375045	40.501709611171734
UPRE1	H2O2	0.1	1	0.319	0.013083067937860255	1837.3333333333333	41.980815724434045	5778.120829505679	113.12722127182789
UPRE1	H2O2	0.2	1	0.3363333333333333	0.0034721111093332668	1900.3333333333333	50.07716268142817	5655.6729088521	184.75451795079772
UPRE1	H2O2	0.5	1	0.3376666666666666	0.012886254520051802	1799.6666666666667	40.66393433443886	5344.0163661629285	111.99600256447212
UPRE1	H2O2	1.0	1	0.288	0.0029439202887759515	1551.3333333333333	52.46321462595377	5383.29478489053	148.3080877157289
UPRE1	H2O2	2.0	1	0.1446666666666667	0.005390320542932076	299.0	23.940899454002697	2072.176632563782	168.81362050715407
UPRE1	H2O2	4.0	1	0.14533333333333334	0.00690812725868757	194.0	1.7795130420052185	1348.1418686202453	71.14387006923837
UPRE2	H2O2	0.0	1	0.31266666666666665	0.005792715732327594	1513.0	43.59090119126544	4836.477838971939	75.90757163311285
UPRE2	H2O2	0.1	1	0.3226666666666667	0.016177831196493	1585.3333333333333	110.91613448407264	4892.768617112332	114.28350210177855
UPRE2	H2O2	0.2	1	0.34800000000000003	0.004966554808583772	1696.0	32.45766473423496	4872.189348212734	24.478002767022893
UPRE2	H2O2	0.5	1	0.3216666666666667	0.006944222218666559	1591.6666666666667	45.76085177917425	4945.276275498636	38.989039694623
UPRE2	H2O2	1.0	1	0.3076666666666667	0.011404190263037345	1462.3333333333333	59.10630724005312	4750.64021906401	21.819281667546782
UPRE2	H2O2	2.0	1	0.15733333333333333	0.006059886320899286	243.0	6.123724356957945	1555.6883993190247	79.75684314666987
UPRE2	H2O2	4.0	1	0.164	0.0021602468994692888	181.0	1.632993161855452	1104.0306494210718	9.496062658317175
NativeYap1	DTT	0.0	1	0.3713333333333333	0.011032779442290253	1251.3333333333333	44.4996878890428	3367.872678170161	27.80861459431272
NativeYap1	DTT	0.1	1	0.39666666666666667	0.015035144015125216	1276.6666666666667	39.75200903378624	3221.871386919413	24.48751318407177
NativeYap1	DTT	0.2	1	0.416	0.0017795130420052202	1382.3333333333333	13.572848714334887	3322.6230389183547	19.44361878475008
NativeYap1	DTT	0.5	1	0.37399999999999994	0.0069402209378856775	1326.0	25.71964229922337	3545.2331130080493	2.9842078745680296
NativeYap1	DTT	1.0	1	0.267	0.00470814896394185	959.0	24.74200207474461	3589.672430445633	30.26685785969584
