construct	on_target_stressor	off_target_stressor	on_target_dose_mM	off_target_dose_mM	on_target_fold	on_target_half_sd	off_target_fold	off_target_half_sd	off_target_fold_derived	off_target_half_sd_derived
UPRE1	DTT	H2O2	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
UPRE1	DTT	H2O2	0.1	0.1	1.05967071639522	0.01123592164341928	1.0036503914423485	0.019575068900261675	1.0036503914423485	0.019575068900261675
UPRE1	DTT	H2O2	0.2	0.2	1.15728959110445	0.01615014080422048	1.0218080962687706	0.02246904639579691	1.0218080962687706	0.02246904639579691
UPRE1	DTT	H2O2	0.5	0.5	1.39095451770346	0.0189169030789289	0.9975971891222396	0.039277810244044024	0.9975971891222396	0.039277810244044024
UPRE1	DTT	H2O2	1.0	1.0	1.799979858330425	0.03654808344537702	0.9089933797720481	0.04159621125545834	0.9089933797720481	0.04159621125545834
UPRE1	DTT	H2O2	2.0	2.0	2.000899594182685	0.1091249705077955	0.5087976692751656	0.10744698579155448	0.5087976692751656	0.10744698579155448
UPRE1	DTT	H2O2	5.0	4.0	1.758913765039581	0.1201608856082748	0.26808425404494657	0.015053107239799884	0.26808425404494657	0.015053107239799886
UPRE2	DTT	H2O2	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
UPRE2	DTT	H2O2	0.1	0.1	1.070041023025	0.01942158304959388	1.0221311676658988	0.00999907998169036	1.0221311676658988	0.00999907998169036
UPRE2	DTT	H2O2	0.2	0.2	1.155325820722389	0.01357506911776821	1.020512070845782	0.008508318346328298	1.020512070845782	0.008508318346328298
UPRE2	DTT	H2O2	0.5	0.5	1.420475498758455	0.03981440397543451	1.0140403649218868	0.008357980730610394	1.0140403649218868	0.008357980730610394
UPRE2	DTT	H2O2	1.0	1.0	1.886465328985203	0.07028996608964021	0.8402750781960888	0.11290747342143603	0.8402750781960888	0.11290747342143605
UPRE2	DTT	H2O2	2.0	2.0	2.137672277586347	0.01663424835503	0.3463140936564297	0.01986224749409153	0.3463140936564297	0.019862247494091528
UPRE2	DTT	H2O2	5.0	4.0	1.982222136300154	0.06229567880809895	0.27370450583342887	0.03761124945514606	0.27370450583342887	0.037611249455146094
NativeYap1	H2O2	DTT	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
NativeYap1	H2O2	DTT	0.1	0.1	1.223904024860555	0.03708252934883929	1.0802742155185394	0.02157397198210889	1.0590754612587108	0.036419793930238364
NativeYap1	H2O2	DTT	0.2	0.2	1.346027539072101	0.04281730325933308	1.1026191463742325	0.009583417313799298	1.0632444775715326	0.028745215270546423
NativeYap1	H2O2	DTT	0.5	0.5	1.691636104352714	0.08715163762047182	1.14592024643916	0.04072019605114458	1.1435845020394917	0.04197132175114094
NativeYap1	H2O2	DTT	1.0	1.0	1.674930373032297	0.3068175087455692	1.1014332231617754	0.12443216949339149	1.2012582223842665	0.061177301454545086
NativeYap1	H2O2	DTT	2.0	2.0	-0.2189310753556935	0.06853813456323098	1.1583935535205494	0.12969585608252332	1.2538968386847553	0.06646556513825938
NativeYap1	H2O2	DTT	4.0	5.0	-0.2607862838987186	0.07602090264512458	0.9972239522155437	0.09448543909556424	1.078813067614045	0.03917628481071088
AlteredYap1	H2O2	DTT	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
AlteredYap1	H2O2	DTT	0.1	0.1	1.217931799402551	0.02170936690238668	1.0515518898219776	0.014936994326819433	1.035600064855122	0.023612861906863375
AlteredYap1	H2O2	DTT	0.2	0.2	1.33988393777909	0.03131055525365222	1.094956398698561	0.01459722515688662	1.0618517104073595	0.027305294053356088
AlteredYap1	H2O2	DTT	0.5	0.5	1.594978850601537	0.02647128620304146	1.0962646934867675	0.042842638572908744	1.1070830447651778	0.0400066517327701
AlteredYap1	H2O2	DTT	1.0	1.0	1.562860772247721	0.3054013619621477	1.0573471109546613	0.10854276602600457	1.1809067069095738	0.04464111248177016
AlteredYap1	H2O2	DTT	2.0	2.0	-0.1728668403047006	0.08874045376685882	1.1158546394728626	0.1318039482797987	1.1975954547944065	0.0879164615054817
AlteredYap1	H2O2	DTT	4.0	5.0	-0.2035528449560172	0.07344887153334367	0.9587627818322377	0.06069953331037637	1.0454239810590416	0.017966652265840377
