Drate	GlucoseUptake	O2uptake	CO2production	Ethanol	Glycerol	Acetate	Pyruvate	BiomassYield_g_per_g	CarbonRecovery_pct
0.025	0.30	0.80	0.80	0.00	0.00	0.00	0.00	0.45	98.9
0.05	0.60	1.30	1.40	0.00	0.00	0.00	0.00	0.47	95.0
0.10	1.10	2.50	2.70	0.00	0.00	0.00	0.00	0.48	96.0
0.15	1.70	3.90	4.20	0.00	0.00	0.00	0.00	0.49	102.4
0.20	2.30	5.30	5.70	0.00	0.00	0.00	0.00	0.48	100.9
0.25	2.80	7.00	7.50	0.00	0.00	0.00	0.00	0.48	102.6
0.28	3.40	7.40	8.00	0.11	0.00	0.08	0.01	0.46	97.0
0.30	4.50	6.10	8.80	2.30	0.00	0.41	0.01	0.37	99.1
0.35	8.60	5.10	14.90	9.50	0.05	0.62	0.03	0.23	99.4
0.40	11.10	3.70	18.90	13.90	0.15	0.60	0.05	0.20	97.9
