reaction_id,declared_gpr_genes,gpr_genes,branch,protein_species_id,protein_coefficient_h,kcat_per_s,is_reverse_arm,included_in_forward_span,association_basis,interpretation,source_model_sha256,source_sbml_sha256,boundary_basis
r_0986No1,ERG6,ERG6,sterol,prot_P25087__91__c__93__,0.025253,0.010999793203887765,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0242No1,ERG3,ERG3,sterol,prot_P32353__91__c__93__,0.018519,0.014999610010139735,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0233No1,ERG5,ERG5,sterol,prot_P54781__91__c__93__,0.018519,0.014999610010139735,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0667_REVNo1,IDI1,IDI1,MVA,prot_P15496__91__c__93__,0.0045849,0.06058535143138952,True,False,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0231No1,ERG24,ERG24,sterol,prot_P32462__91__c__93__,0.00429,0.06475006475006474,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_1010No1,ERG1,ERG1,sterol,prot_P32476__91__c__93__,0.003655,0.07599939200486397,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_1011No1,ERG1,ERG1,sterol,prot_P32476__91__c__93__,0.003655,0.07599939200486397,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0559No1,ERG13,ERG13,MVA,prot_P54839__91__c__93__,0.00066934,0.41500250661513993,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0560No1,ERG13,ERG13,MVA,prot_P54839__91__c__93__,0.00066934,0.41500250661513993,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0244No1,ERG4,ERG4,sterol,prot_P25340__91__c__93__,0.00040219,0.6906630641681238,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0236No1,ERG27,ERG27,sterol,prot_Q12452__91__c__93__,0.00038052,0.7299952112314143,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0237No1,ERG27,ERG27,sterol,prot_Q12452__91__c__93__,0.00038052,0.7299952112314143,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0355No1,ERG20,ERG20,prenyl_transferase,prot_P08524__91__c__93__,0.00025253,1.0999793203887767,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0462No1,ERG20,ERG20,prenyl_transferase,prot_P08524__91__c__93__,0.00025253,1.0999793203887767,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
