enzyme,kcat_per_s,mass_fraction_of_protein,enzyme_molar_mass_g_per_mol,total_protein_g_per_gdcw,growth_rate_per_h,enzyme_mmol_per_gdcw,vmax_mmol_per_gdcw_h,capacity_mmol_per_gdcw,reference_content_source,reference_content_mg_per_gdcw,reference_product_molar_mass_g_per_mol,reference_content_mmol_per_gdcw,fold_over_reference_content,reference_capacity_source,reference_capacity_mmol_per_gdcw,fold_over_reference_capacity,reference_basis,interpretation,kcat_basis,source_model_sha256,source_sbml_sha256,boundary_basis
crtYB,0.010999793203887765,0.0005,74736.0,0.49974,0.101,3.3433686576750164e-06,0.000132394909819626,0.0013108406912834256,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.010999793203887765,0.001,74736.0,0.49974,0.101,6.686737315350033e-06,0.000264789819639252,0.0026216813825668513,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.010999793203887765,0.005,74736.0,0.49974,0.101,3.343368657675016e-05,0.00132394909819626,0.013108406912834256,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.010999793203887765,0.01,74736.0,0.49974,0.101,6.686737315350032e-05,0.00264789819639252,0.02621681382566851,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.010999793203887765,0.05,74736.0,0.49974,0.101,0.00033433686576750165,0.013239490981962601,0.13108406912834258,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.014999610010139735,0.0005,74736.0,0.49974,0.101,3.3433686576750164e-06,0.00018053721354689865,0.0017874971638306796,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.014999610010139735,0.001,74736.0,0.49974,0.101,6.686737315350033e-06,0.0003610744270937973,0.003574994327661359,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.014999610010139735,0.005,74736.0,0.49974,0.101,3.343368657675016e-05,0.0018053721354689863,0.017874971638306793,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.014999610010139735,0.01,74736.0,0.49974,0.101,6.686737315350032e-05,0.0036107442709379725,0.035749943276613586,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.014999610010139735,0.05,74736.0,0.49974,0.101,0.00033433686576750165,0.018053721354689866,0.17874971638306797,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
