source_doi,supplement_id,experiment_id,measurement_block,replicate_label,strain_id,genotype,background,medium,nacl_molar,time_unit,time_unit_evidence,observable_id,unit,raw_unit,measurement_provenance,normalization,original_fit_status,split,statistic,source_sheet,source_cell,source_time_cell,sd_source_cell,time_native,time_relative_s,time_model_s,value,raw_value,sd,source_split
10.1371/journal.pcbi.1003084,s002,s002:Hog1PP_ALL:202,molar,,202,wild_type,W303,YPD,0.4,seconds,explicit_workbook_header,Hog1PP_measured,mol/L,mol/l,literature_scaled_western_blot,literature_molar_scale_assumed_90_percent_wt_peak,published_fitting_dataset,fit,mean,Hog1PP_ALL,C26,B26,D26,2700.0,-900.0,2700.0,2.550459849364985e-08,2.550459849364985e-08,1.2676677815092262e-08,fit
10.1371/journal.pcbi.1003084,s002,s002:Hog1PP_ALL:202,molar,,202,wild_type,W303,YPD,0.4,seconds,explicit_workbook_header,Hog1PP_measured,mol/L,mol/l,literature_scaled_western_blot,literature_molar_scale_assumed_90_percent_wt_peak,published_fitting_dataset,fit,mean,Hog1PP_ALL,C27,B27,D27,3600.0,0.0,3600.0,2.508459733698534e-08,2.508459733698534e-08,1.0147262113079212e-08,fit
10.1371/journal.pcbi.1003084,s002,s002:Hog1PP_ALL:202,molar,,202,wild_type,W303,YPD,0.4,seconds,explicit_workbook_header,Hog1PP_measured,mol/L,mol/l,literature_scaled_western_blot,literature_molar_scale_assumed_90_percent_wt_peak,published_fitting_dataset,fit,mean,Hog1PP_ALL,C28,B28,D28,3720.0,120.0,3720.0,3.6344917648231455e-07,3.6344917648231455e-07,5.6649698724306056e-08,fit
10.1371/journal.pcbi.1003084,s002,s002:Hog1PP_ALL:202,molar,,202,wild_type,W303,YPD,0.4,seconds,explicit_workbook_header,Hog1PP_measured,mol/L,mol/l,literature_scaled_western_blot,literature_molar_scale_assumed_90_percent_wt_peak,published_fitting_dataset,fit,mean,Hog1PP_ALL,C29,B29,D29,3900.0,300.0,3900.0,3.976956548656663e-07,3.976956548656663e-07,6.759157040283806e-08,fit
10.1371/journal.pcbi.1003084,s002,s002:Hog1PP_ALL:202,molar,,202,wild_type,W303,YPD,0.4,seconds,explicit_workbook_header,Hog1PP_measured,mol/L,mol/l,literature_scaled_western_blot,literature_molar_scale_assumed_90_percent_wt_peak,published_fitting_dataset,fit,mean,Hog1PP_ALL,C30,B30,D30,4200.0,600.0,4200.0,4.0559958601343576e-07,4.0559958601343576e-07,5.436397900723621e-08,fit
10.1371/journal.pcbi.1003084,s002,s002:Hog1PP_ALL:202,molar,,202,wild_type,W303,YPD,0.4,seconds,explicit_workbook_header,Hog1PP_measured,mol/L,mol/l,literature_scaled_western_blot,literature_molar_scale_assumed_90_percent_wt_peak,published_fitting_dataset,fit,mean,Hog1PP_ALL,C31,B31,D31,4500.0,900.0,4500.0,3.357663784367376e-07,3.357663784367376e-07,1.8506580867064932e-08,fit
10.1371/journal.pcbi.1003084,s002,s002:Hog1PP_ALL:202,molar,,202,wild_type,W303,YPD,0.4,seconds,explicit_workbook_header,Hog1PP_measured,mol/L,mol/l,literature_scaled_western_blot,literature_molar_scale_assumed_90_percent_wt_peak,published_fitting_dataset,fit,mean,Hog1PP_ALL,C32,B32,D32,4800.0,1200.0,4800.0,1.916500238618799e-07,1.916500238618799e-07,3.910410147198735e-08,fit
10.1371/journal.pcbi.1003084,s002,s002:Hog1PP_ALL:202,molar,,202,wild_type,W303,YPD,0.4,seconds,explicit_workbook_header,Hog1PP_measured,mol/L,mol/l,literature_scaled_western_blot,literature_molar_scale_assumed_90_percent_wt_peak,published_fitting_dataset,fit,mean,Hog1PP_ALL,C33,B33,D33,5400.0,1800.0,5400.0,6.493437743858822e-08,6.493437743858822e-08,2.927651257100311e-08,fit
10.1371/journal.pcbi.1003084,s002,s002:Hog1PP_ALL:202,molar,,202,wild_type,W303,YPD,0.4,seconds,explicit_workbook_header,Hog1PP_measured,mol/L,mol/l,literature_scaled_western_blot,literature_molar_scale_assumed_90_percent_wt_peak,published_fitting_dataset,fit,mean,Hog1PP_ALL,C34,B34,D34,6300.0,2700.0,6300.0,4.9500168012446574e-08,4.9500168012446574e-08,3.013752879731393e-08,fit
10.1371/journal.pcbi.1003084,s002,s002:Hog1PP_ALL:202,molar,,202,wild_type,W303,YPD,0.4,seconds,explicit_workbook_header,Hog1PP_measured,mol/L,mol/l,literature_scaled_western_blot,literature_molar_scale_assumed_90_percent_wt_peak,published_fitting_dataset,fit,mean,Hog1PP_ALL,C35,B35,D35,7200.0,3600.0,7200.0,5.266707447261248e-08,5.266707447261248e-08,3.942170662579966e-08,fit
