# Stress genes absent from yeast-GEM v9.0.2's 1161-gene list, and what was done about each.
#
# Absence was established by ORF against the fbc:geneProduct labels in data/gem/yeast-GEM.xml.gz
# (ystwin.fba.stress_genes.gene_label_map), never by symbol: symbols collide. "CTR1" as a bare
# string resolves in SGD to YGL077C (HNM1, choline transporter), which IS in the model; the copper
# transporter CTR1 is YPR124W, which is not. "CRH2" and "UTR2" are one gene, YEL040W. "VMA12" and
# "VPH2" are one gene, YKL119C. "UAP1" is YDL103C, present under its canonical symbol QRI1.
#
# Every function claim carries a GO molecular-function term and the SGD evidence line behind it,
# taken from the vendored data/external/sgd/gene_association.sgd.gaf.gz (generated 20260825).
# Nothing here is asserted without one, and that is enforced rather than promised: every triple
# below is looked up in that GAF by stress_genes.unsupported_claims(), which must come back empty
# and which must match on aspect F. It found one invented citation on its first run -- SMF2's
# manganese term is IBA in SGD, not the IDA this file claimed -- and that row now says IBA.
#
# Every stoichiometric coefficient below is 1: these are single mannosyl transfers, so there is
# no rate, kcat or yield anywhere in this file to invent.
# The one modelling choice that is ASSERTED rather than cited is MANPOL_G's compartments -- see
# its `basis` -- and it copies the shape yeast-GEM already uses at r_0005 and r_0006.
#
# verdict:
#   GPR_EXTEND      the reaction exists; only the gene-protein rule was missing or misassigned.
#   NEW_REACTION    the chemistry is genuinely absent; the reaction is added by this module.
#   REFUSED         adding it would be wrong. The reason is in `basis`. This list is the point.
#   ALREADY_PRESENT the brief listed it as absent and it is not. Recorded so nobody re-adds it.
#
# For GPR_EXTEND, `old_rule` is asserted against the loaded model before `new_rule` replaces it:
# a yeast-GEM whose rule has moved on refuses the edit instead of silently overwriting it.
# For NEW_REACTION, every row on one target must agree on reaction_name/stoichiometry/bounds/new_rule.
#
orf	symbol	verdict	target	reaction_name	stoichiometry	bounds	old_rule	new_rule	go_term	evidence	basis
YML028W	TSA1	GPR_EXTEND	r_0550	-	-	-	(YDR453C and YGR209C) or (YDR453C and YLR043C)	(YDR453C and YGR209C) or (YDR453C and YLR043C) or (YML028W and YGR209C) or (YML028W and YLR043C)	GO:0051920	IDA:PMID:17210445	Thioredoxin peroxidase activity, the exact chemistry of r_0550; the model carries only the minor paralogue TSA2 (YDR453C). Added as a TRX1/TRX2 pair, matching the existing clause shape. MEASURED, through the repo's own gene-level layer: at oxidative activity +0.5 bridge/regulation.eflux_layer scales r_0550 by 1.000 without this row and 1.500 with it (upper bound 1000 -> 1500 mmol/gDCW/h), because YAP1/SKN7's regulon names TSA1 and TRX2 but not TSA2. That is the false negative in one number.
YKR050W	TRK2	GPR_EXTEND	r_1249	-	-	-	YDR456W or YJL129C	YDR456W or YJL129C or YKR050W	GO:0015079	IDA:PMID:2072919	Potassium ion transmembrane transporter; the second half of the Trk1p-Trk2p system whose Trk1 (YJL129C) already carries r_1249.
YER145C	FTR1	GPR_EXTEND	r_1178	-	-	-	YMR319C or YMR058W	(YMR058W and YER145C) or YMR319C	GO:0005381	IDA:PMID:8599111	Ferrous iron transporter; SGD qualifies a second annotation contributes_to (PMID:16700543), i.e. a complex subunit, so it joins FET3 with AND. FET4 (YMR319C) stays an independent low-affinity route. KNOWN CONSEQUENCE, measured: an AND costs reach when a regulon names only one subunit. At hypoxia +0.5, whose regulon names FET3 and not FTR1, r_1178's E-Flux scale falls from 1.500 to 1.000. The iron and copper regulons name FTR1 and not FET3, so they did not reach r_1178 at all before this row and scale it 1.000 after -- against a reference capacity of 1000, which is the reaction's own upper bound, so no bound moves either way. A complex is limited by its scarcest subunit, so the partial regulon is the gap, not the AND.
YPR124W	CTR1	GPR_EXTEND	r_4589	-	-	-	YOL122C	YOL122C or YPR124W or YLR411W	GO:0005375	IMP:PMID:7929270	Copper ion transmembrane transporter. r_4589 carried only SMF1 (YOL122C), whose own annotated function is manganese transport (GO:0005384), so copper uptake had no correct gene at all. MEASURED: at copper activity +0.5 the CUP2/MAC1 regulon reaches r_4589 not at all without this row and scales it by 1.500 with it; the same two genes are in the AFT1/AFT2 iron regulon.
YLR411W	CTR3	GPR_EXTEND	r_4589	-	-	-	YOL122C	YOL122C or YPR124W or YLR411W	GO:0005375	IDA:PMID:10924521	Second high-affinity copper transporter, independent of CTR1, hence OR.
YHR050W	SMF2	GPR_EXTEND	r_4590	-	-	-	YOL130W	YOL130W or YHR050W	GO:0005384	IBA:GO_REF:0000033	Manganese transporter. r_4590 carried only ALR1 (YOL130W), whose annotated function is magnesium transport (GO:0015095), so alr1 deletion wrongly removed the cell's only manganese supply. EVIDENCE IS PHYLOGENETIC, and it is recorded as such: SGD's only aspect-F line for the manganese-specific term GO:0005384 on this ORF is IBA. The experimental support is one level less specific on each side -- GO:0022857 transmembrane transporter activity, IDA:PMID:10574989, and the process term GO:0006828 manganese ion transport, IMP:PMID:11602606.
YNL291C	MID1	GPR_EXTEND	r_4587	-	-	-	YOL122C	YOL122C or (YGR217W and YNL291C)	GO:0005262	IMP:PMID:9343395	Calcium channel activity. r_4587 carried only SMF1, a manganese transporter. Mid1p works only with Cch1p, so the clause is an AND.
YGR217W	CCH1	GPR_EXTEND	r_4587	-	-	-	YOL122C	YOL122C or (YGR217W and YNL291C)	GO:0005262	IMP:PMID:9343395	Obligate partner of MID1 in the high-affinity calcium influx system; the same paper annotates both. Introduced with MID1 rather than alone.
YPL050C	MNN9	NEW_REACTION	MANPOL_G	GDP-mannose:mannan alpha-mannosyltransferase (mannan polymerase)	s_0744:-1|s_1107:1|s_0740:1|s_0797:1	0,1000	-	(YPL050C and YML115C) or (YPL050C and YEL036C and YDR245W and YJL183W) or YER001W or YBR015C or YJL186W or YGL257C or YIL014W	GO:0000009	IDA:PMID:19249370	Alpha-1,6-mannosyltransferase, qualified contributes_to: a subunit of mannan polymerase I (with VAN1) and II (with ANP1/MNN10/MNN11), hence the two AND clauses. Yeast-GEM's only route to the 0.70204 mmol/gDCW mannan in r_4048 was Dol-P-Man via PMT (r_0362); the GDP-mannose route that builds the outer chain was missing entirely. ASSERTED compartments: the reaction draws GDP-mannose from [g] and leaves GDP and H+ there, but deposits the mannan repeat unit in [c], because yeast-GEM has no mannan species in [g]. That is the same shape as the model's own cell-wall synthases r_0005 and r_0006, which each consume UDP-D-glucose in [c] and deposit the beta-glucan in [ce] in one step. (r_0272, chitin synthase, is the same reaction shape but stays within [c], so it is a weaker precedent and is named here only for completeness.) Writing it in [er] instead was tried and measured at FVA [0, 0]: GDP-mannose[er] and GDP[er] have no transport in or out, so the model's whole ER glycosylation module is an unfed fragment. KNOWN CONSEQUENCE, measured: adding this route flips DPM1 (YPR183W) from 0.000000 to 0.085844 /h on deletion. DPM1 is essential in reality, and it was essential in yeast-GEM only because r_0362 was the sole mannan producer. Its real reason for being essential -- GPI anchoring and protein O-mannosylation -- cannot make it essential here, because the model's GPI-anchor and N-glycan branches both dead-end. That gap is upstream of this row and is not repaired by it.
YML115C	VAN1	NEW_REACTION	MANPOL_G	GDP-mannose:mannan alpha-mannosyltransferase (mannan polymerase)	s_0744:-1|s_1107:1|s_0740:1|s_0797:1	0,1000	-	(YPL050C and YML115C) or (YPL050C and YEL036C and YDR245W and YJL183W) or YER001W or YBR015C or YJL186W or YGL257C or YIL014W	GO:0000009	IDA:PMID:12235155	Alpha-1,6-mannosyltransferase, contributes_to; the other subunit of mannan polymerase I.
YEL036C	ANP1	NEW_REACTION	MANPOL_G	GDP-mannose:mannan alpha-mannosyltransferase (mannan polymerase)	s_0744:-1|s_1107:1|s_0740:1|s_0797:1	0,1000	-	(YPL050C and YML115C) or (YPL050C and YEL036C and YDR245W and YJL183W) or YER001W or YBR015C or YJL186W or YGL257C or YIL014W	GO:0000009	IDA:PMID:10037752	Alpha-1,6-mannosyltransferase, contributes_to; mannan polymerase II subunit.
YDR245W	MNN10	NEW_REACTION	MANPOL_G	GDP-mannose:mannan alpha-mannosyltransferase (mannan polymerase)	s_0744:-1|s_1107:1|s_0740:1|s_0797:1	0,1000	-	(YPL050C and YML115C) or (YPL050C and YEL036C and YDR245W and YJL183W) or YER001W or YBR015C or YJL186W or YGL257C or YIL014W	GO:0000009	IDA:PMID:10037752	Alpha-1,6-mannosyltransferase; mannan polymerase II subunit.
YJL183W	MNN11	NEW_REACTION	MANPOL_G	GDP-mannose:mannan alpha-mannosyltransferase (mannan polymerase)	s_0744:-1|s_1107:1|s_0740:1|s_0797:1	0,1000	-	(YPL050C and YML115C) or (YPL050C and YEL036C and YDR245W and YJL183W) or YER001W or YBR015C or YJL186W or YGL257C or YIL014W	GO:0000009	IDA:PMID:10635561	Alpha-1,6-mannosyltransferase; mannan polymerase II subunit.
YER001W	MNN1	NEW_REACTION	MANPOL_G	GDP-mannose:mannan alpha-mannosyltransferase (mannan polymerase)	s_0744:-1|s_1107:1|s_0740:1|s_0797:1	0,1000	-	(YPL050C and YML115C) or (YPL050C and YEL036C and YDR245W and YJL183W) or YER001W or YBR015C or YJL186W or YGL257C or YIL014W	GO:0000033	IMP:PMID:8146181	Alpha-1,3-mannosyltransferase acting alone on the same outer chain. In a lumped mannan repeat unit every GDP-mannose-dependent transfer onto the chain is one and the same reaction, so backbone and branch enzymes share it; the linkage distinction is not representable here and is not claimed. KNOWN CONSEQUENCE, measured: MNN1 is the only gene on this reaction that any module regulon names, so MANPOL_G enters the E-Flux layer of the cell_wall and oxidative modules and is scaled 1.500 at activity +0.5, lifting its upper bound 1000 -> 1500. That is inert -- FVA puts the reaction's own maximum at 0.060266 mmol/gDCW/h under the shipped default bounds -- but it is a bound this module moves and it is declared here rather than found later.
