strain	quantity	value	unit	formula	inputs	caveat
SCKK005	phb_content_glucose_phase	0.1333	mg_per_gdw	y_phb_glucose / y_biomass_glucose	0.02 mg (g glc)-1 / 0.15 g (g glc)-1	Pure unit cancellation on two Table 3 rows: PHB made per biomass made during the glucose phase. Equals cellular content only if PHB is neither degraded nor carried over
SCKK006	phb_content_glucose_phase	1.0000	mg_per_gdw	y_phb_glucose / y_biomass_glucose	0.13 mg (g glc)-1 / 0.13 g (g glc)-1	Pure unit cancellation on two Table 3 rows: PHB made per biomass made during the glucose phase. Equals cellular content only if PHB is neither degraded nor carried over
SCKK005	q_phb_glucose_phase	0.0360	mg_per_gdw_h	mu_max * y_phb_glucose / y_biomass_glucose	0.27 h-1 * 0.02 / 0.15	Applies the paper's own equation rp = mumax * Ysp / Ysx to its own Table 3. No molar mass assumed
SCKK006	q_phb_glucose_phase	0.2800	mg_per_gdw_h	mu_max * y_phb_glucose / y_biomass_glucose	0.28 h-1 * 0.13 / 0.13	Applies the paper's own equation rp = mumax * Ysp / Ysx to its own Table 3. No molar mass assumed
SCKK005	q_phb_glucose_phase	0.4182	umol_repeat_unit_per_gdw_h	(mu_max * y_phb_glucose / y_biomass_glucose) / 86.09	0.0360 mg (g DW h)-1 / 86.09 mg mmol-1	Assumes the mole basis is the 3-hydroxybutyrate REPEAT UNIT, 86.09 g/mol. Compare the reported value for SCKK006: 30.5x apart
SCKK006	q_phb_glucose_phase	3.2524	umol_repeat_unit_per_gdw_h	(mu_max * y_phb_glucose / y_biomass_glucose) / 86.09	0.2800 mg (g DW h)-1 / 86.09 mg mmol-1	Assumes the mole basis is the 3-hydroxybutyrate REPEAT UNIT, 86.09 g/mol. The paper's text reports 99.3 +/- 4 for this same quantity: 30.5x apart, unresolved
SCKK005	phb_titre_predicted_from_yields	1.94	mg_per_l	y_phb_glucose*S0 + y_phb_ethanol*(y_ethanol_glucose*S0)	0.02*20 + 0.22*(0.35*20)	Consistency check only, not an independent measurement. Measured maximum titre 1.85 mg/L, so this is 1.049x high
SCKK006	phb_titre_predicted_from_yields	45.23	mg_per_l	y_phb_glucose*S0 + y_phb_ethanol*(y_ethanol_glucose*S0)	0.13*20 + 6.09*(0.35*20)	Consistency check only, not an independent measurement. Measured maximum titre 43.11 mg/L, so this is 1.049x high -- the identical 4.9 percent offset as SCKK005
SCKK005	q_glucose_recomputed	1.80	g_per_gdw_h	mu_max / y_biomass_glucose	0.27 / 0.15	Consistency check of the paper's equation rs = mumax / Ysx against Table 3's tabulated 1.80 +/- 0.09. Exact
SCKK006	q_glucose_recomputed	2.1538	g_per_gdw_h	mu_max / y_biomass_glucose	0.28 / 0.13	Consistency check of the paper's equation rs = mumax / Ysx against Table 3's tabulated 2.24 +/- 0.33. Inside one SD
SCKK006	phb_content_implied_by_reported_q	30.53	mg_per_gdw	(99.3e-3 mmol (g DW h)-1 / 0.28 h-1) * 86.09	0.0993 / 0.28 * 86.09	What the REPORTED 99.3 umol/gDW/h implies at steady state. 3.05 percent of dry weight, and 30.5x the 1.00 mg/gDW that Table 3 gives. Recorded to show the size of the contradiction, NOT for use
