state_id	carbon_source	feed_glucose_g_per_l	feed_ethanol_g_per_l	feed_carbon_cmol_per_l	dilution_rate_per_h	mu_per_h	ysx_cmol_per_cmol	ysx_sd	ys_ethanol_cmol_per_cmol	ys_ethanol_sd	ys_phb_cmmol_per_cmol	ys_phb_sd	ethanol_accum_cmol_per_l	ethanol_accum_sd	phb_mg_per_gdw	phb_sd_mg_per_gdw	phb_mmol_per_gdcw	q_phb_mmol_per_gdcw_h
glc_D005	glucose	20	0	0.666	0.05	0.05	0.51	0.01	NA	NA	2.51	0.07	0	NA	4.33	0.19	0.0502962	0.00251481
glc_D010	glucose	20	0	0.666	0.1	0.1	0.57	0	NA	NA	3.67	0	0	NA	5.59	0	0.064932	0.0064932
glc_D015	glucose	20	0	0.666	0.15	0.15	0.36	0.02	0.02	0	2.44	0	NA	NA	5.94	0.64	0.0689976	0.0103496
glc_D020	glucose	20	0	0.666	0.2	0.2	0.29	0	0.1	0	1.92	0	NA	NA	5.59	0.23	0.064932	0.0129864
etoh_D005	ethanol	0	15.32	0.666	0.05	0.05	0.45	0.01	0	NA	8.50	0.23	0	NA	16.55	0.02	0.192241	0.00961203
etoh_D010	ethanol	0	15.32	0.666	0.1	0.1	0.37	0	NA	NA	4.94	0.58	0.0964	0	13.49	0	0.156696	0.0156696
etoh_D015	ethanol	0	15.32	0.666	0.15	0.15	0.12	0.01	NA	NA	0.46	0.05	0.2364	0	5.30	0.31	0.0615635	0.00923452
mix_D005	glucose_ethanol_1to2	6.35	10.21	0.666	0.05	0.05	0.48	0.02	0	NA	9.97	0.07	0	NA	18.34	0.53	0.213033	0.0106516
mix_D010	glucose_ethanol_1to2	6.35	10.21	0.666	0.1	0.1	0.38	0	NA	NA	7.41	0	0.2012	NA	12.41	0	0.144151	0.0144151
mix_D015	glucose_ethanol_1to2	6.35	10.21	0.666	0.15	0.15	0.30	0	NA	NA	2.57	0.1	0.1637	NA	7.50	0.19	0.0871181	0.0130677
mix_D020	glucose_ethanol_1to2	6.35	10.21	0.666	0.2	0.2	0.22	0	NA	NA	1.13	0	0.2769	NA	4.56	0	0.0529678	0.0105936
