elapsed_hms,temperature_c,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,A4,A5,A6,B4,B5,B6,C4,C5,C6,D4,D5,D6,E4,E5,E6,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F1,F2,F3,F4,F5,G1,G2,G3,G4,G5,H1,H2,H3,H4,H5,F6,F7,F8,F9,F10,G6,G7,G8,G9,G10,H6,H7,H8,H9,H10,F11,G11,H11
0:07:25,30.1,1.053,0.669,1.123,0.51,0.537,0.577,0.517,0.549,0.602,0.517,0.531,0.567,0.518,0.576,0.553,0.961,1.021,1.036,0.603,0.556,0.559,0.547,0.567,0.594,0.618,0.62,0.626,0.619,0.596,0.565,0.976,0.863,0.956,0.51,0.519,0.537,0.559,0.476,0.507,0.545,0.466,0.532,0.563,0.559,0.53,0.798,0.777,0.845,0.515,0.506,0.45,0.514,0.477,0.457,0.471,0.442,0.457,0.458,0.441,0.447,0.816,0.51,0.541,0.496,0.521,0.879,0.501,0.507,0.473,0.472,0.954,0.498,0.482,0.472,0.462,0.848,0.54,0.544,0.513,0.465,0.876,0.486,0.482,0.485,0.467,0.948,0.507,0.491,0.482,0.474,0.096,0.09,0.091
0:17:25,30.1,1.119,0.623,1.166,0.516,0.53,0.531,0.523,0.554,0.529,0.523,0.528,0.515,0.523,0.535,0.531,1.018,1.074,1.079,0.555,0.559,0.558,0.517,0.54,0.539,0.532,0.537,0.555,0.537,0.543,0.531,1.008,0.887,0.999,0.513,0.522,0.508,0.524,0.478,0.467,0.502,0.453,0.483,0.494,0.506,0.494,0.857,0.831,0.889,0.466,0.463,0.458,0.457,0.446,0.461,0.424,0.442,0.463,0.425,0.444,0.452,0.862,0.493,0.476,0.474,0.454,0.908,0.494,0.476,0.459,0.449,1.049,0.498,0.497,0.476,0.466,0.819,0.458,0.493,0.486,0.467,0.927,0.492,0.487,0.488,0.471,1.003,0.515,0.493,0.487,0.478,0.097,0.09,0.091
0:27:25,30.1,1.168,0.586,1.226,0.521,0.536,0.537,0.529,0.56,0.535,0.53,0.533,0.518,0.527,0.54,0.536,1.072,1.127,1.124,0.561,0.565,0.567,0.522,0.544,0.545,0.536,0.542,0.561,0.543,0.548,0.536,1.046,0.914,1.056,0.514,0.529,0.514,0.529,0.482,0.472,0.507,0.457,0.488,0.498,0.512,0.499,0.912,0.891,0.925,0.461,0.468,0.464,0.46,0.451,0.466,0.429,0.445,0.468,0.429,0.448,0.456,0.912,0.499,0.481,0.478,0.458,0.946,0.5,0.479,0.463,0.452,1.119,0.504,0.495,0.481,0.47,0.864,0.46,0.498,0.491,0.471,0.976,0.496,0.492,0.495,0.476,1.054,0.512,0.499,0.492,0.484,0.097,0.09,0.091
0:37:25,30.1,1.214,0.606,1.281,0.527,0.543,0.543,0.535,0.567,0.54,0.538,0.539,0.522,0.533,0.546,0.541,1.126,1.175,1.174,0.569,0.57,0.568,0.529,0.55,0.55,0.541,0.548,0.567,0.547,0.554,0.542,1.087,0.95,1.113,0.524,0.532,0.521,0.535,0.488,0.477,0.513,0.461,0.492,0.502,0.516,0.504,0.963,0.95,0.967,0.475,0.473,0.466,0.465,0.457,0.47,0.433,0.45,0.472,0.433,0.453,0.458,0.961,0.506,0.487,0.484,0.464,0.975,0.506,0.485,0.464,0.46,1.176,0.505,0.498,0.487,0.474,0.907,0.446,0.504,0.496,0.475,1.033,0.501,0.499,0.498,0.482,1.105,0.517,0.501,0.498,0.488,0.098,0.09,0.091
0:47:25,30.1,1.259,0.696,1.325,0.535,0.548,0.549,0.54,0.572,0.546,0.539,0.544,0.527,0.538,0.549,0.546,1.176,1.225,1.22,0.572,0.579,0.572,0.535,0.556,0.557,0.545,0.553,0.573,0.553,0.56,0.547,1.128,0.978,1.159,0.526,0.538,0.525,0.541,0.493,0.482,0.517,0.462,0.496,0.507,0.52,0.509,1.019,1.004,1.013,0.474,0.478,0.47,0.471,0.462,0.475,0.438,0.454,0.475,0.437,0.457,0.462,1.013,0.513,0.492,0.49,0.468,0.996,0.512,0.489,0.465,0.464,1.227,0.51,0.507,0.491,0.477,0.952,0.438,0.51,0.502,0.482,1.097,0.508,0.504,0.504,0.485,1.154,0.524,0.506,0.503,0.492,0.097,0.091,0.091
0:57:25,30.1,1.299,0.762,1.366,0.541,0.555,0.555,0.545,0.579,0.552,0.544,0.55,0.532,0.543,0.554,0.55,1.227,1.272,1.262,0.578,0.585,0.577,0.54,0.561,0.562,0.55,0.558,0.579,0.558,0.565,0.553,1.169,1.008,1.209,0.531,0.542,0.53,0.546,0.498,0.487,0.522,0.464,0.501,0.512,0.525,0.52,1.063,1.052,1.056,0.474,0.483,0.475,0.474,0.467,0.48,0.442,0.459,0.479,0.441,0.46,0.466,1.063,0.518,0.497,0.494,0.473,1.03,0.517,0.495,0.472,0.468,1.27,0.514,0.515,0.496,0.482,1.0,0.421,0.515,0.506,0.485,1.153,0.512,0.507,0.507,0.489,1.202,0.527,0.509,0.509,0.496,0.097,0.09,0.091
1:07:25,30.1,1.337,0.78,1.402,0.545,0.561,0.56,0.552,0.584,0.558,0.549,0.554,0.537,0.549,0.559,0.556,1.274,1.314,1.304,0.583,0.591,0.581,0.546,0.567,0.568,0.555,0.563,0.584,0.562,0.57,0.559,1.201,1.036,1.249,0.536,0.548,0.535,0.552,0.502,0.492,0.527,0.468,0.506,0.515,0.53,0.523,1.107,1.099,1.092,0.478,0.488,0.48,0.478,0.472,0.485,0.447,0.464,0.481,0.445,0.465,0.471,1.116,0.524,0.502,0.5,0.477,1.048,0.522,0.499,0.477,0.471,1.309,0.521,0.537,0.501,0.485,1.048,0.408,0.521,0.511,0.489,1.212,0.515,0.515,0.513,0.494,1.238,0.532,0.514,0.514,0.499,0.102,0.091,0.091
1:17:25,30.0,1.372,0.803,1.436,0.552,0.566,0.566,0.559,0.59,0.563,0.554,0.56,0.542,0.551,0.563,0.56,1.316,1.354,1.337,0.589,0.596,0.587,0.55,0.572,0.574,0.56,0.568,0.589,0.567,0.574,0.563,1.236,1.064,1.288,0.539,0.553,0.539,0.556,0.506,0.497,0.531,0.471,0.51,0.519,0.533,0.521,1.144,1.145,1.124,0.482,0.492,0.485,0.484,0.476,0.489,0.45,0.467,0.485,0.448,0.467,0.474,1.165,0.528,0.507,0.503,0.48,1.069,0.524,0.504,0.481,0.477,1.346,0.526,0.53,0.505,0.489,1.089,0.388,0.525,0.515,0.493,1.267,0.522,0.519,0.516,0.498,1.28,0.535,0.519,0.518,0.501,0.097,0.091,0.091
1:27:25,30.1,1.401,0.816,1.47,0.556,0.57,0.571,0.564,0.594,0.568,0.559,0.564,0.546,0.557,0.567,0.565,1.361,1.391,1.37,0.595,0.601,0.591,0.555,0.577,0.578,0.564,0.572,0.594,0.571,0.579,0.566,1.262,1.085,1.316,0.543,0.558,0.544,0.559,0.509,0.5,0.535,0.473,0.514,0.523,0.537,0.524,1.178,1.183,1.152,0.487,0.496,0.489,0.488,0.48,0.492,0.454,0.471,0.488,0.452,0.471,0.477,1.214,0.527,0.511,0.507,0.484,1.084,0.527,0.508,0.482,0.48,1.377,0.529,0.521,0.509,0.493,1.134,0.392,0.53,0.52,0.496,1.307,0.525,0.525,0.522,0.504,1.313,0.538,0.523,0.522,0.505,0.099,0.091,0.091
1:37:25,30.0,1.433,0.824,1.499,0.561,0.575,0.576,0.565,0.599,0.572,0.563,0.567,0.551,0.564,0.571,0.568,1.4,1.425,1.404,0.6,0.606,0.601,0.558,0.582,0.583,0.568,0.576,0.599,0.575,0.582,0.57,1.293,1.111,1.348,0.549,0.563,0.549,0.564,0.513,0.505,0.539,0.476,0.518,0.526,0.54,0.529,1.212,1.221,1.181,0.491,0.5,0.493,0.492,0.483,0.496,0.457,0.475,0.494,0.453,0.475,0.481,1.257,0.53,0.515,0.511,0.486,1.098,0.533,0.512,0.486,0.482,1.411,0.535,0.527,0.513,0.496,1.173,0.395,0.541,0.524,0.501,1.343,0.531,0.529,0.522,0.505,1.347,0.544,0.528,0.525,0.511,0.098,0.09,0.091
