elapsed_hms,temperature_c,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,A4,A5,A6,B4,B5,B6,C4,C5,C6,D4,D5,D6,E4,E5,E6,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F1,F2,F3,F4,F5,G1,G2,G3,G4,G5,H1,H2,H3,H4,H5,F6,F7,F8,F9,F10,G6,G7,G8,G9,G10,H6,H7,H8,H9,H10,F11,G11,H11
0:08:15,30.0,5579.0,4549.0,5985.0,4098.0,4297.0,4272.0,3897.0,4442.0,4269.0,3413.0,3697.0,3480.0,2353.0,2363.0,2424.0,5043.0,5373.0,5649.0,4729.0,4817.0,4589.0,4162.0,4393.0,4499.0,3722.0,3959.0,4132.0,2329.0,2534.0,2376.0,5263.0,4549.0,5098.0,3805.0,3870.0,3724.0,3817.0,3425.0,3503.0,3207.0,2918.0,3216.0,1986.0,2102.0,1964.0,5004.0,4224.0,5230.0,3949.0,4064.0,4019.0,3386.0,3580.0,3698.0,3177.0,3157.0,3464.0,1925.0,2092.0,2109.0,3982.0,4213.0,4255.0,3605.0,2160.0,4870.0,4254.0,4210.0,3413.0,2161.0,5535.0,4256.0,4438.0,3761.0,2319.0,4061.0,4514.0,4673.0,3698.0,2337.0,5289.0,4776.0,4643.0,3932.0,2490.0,5999.0,4792.0,4621.0,3868.0,2579.0,259.0,257.0,261.0
0:18:15,30.1,5931.0,4449.0,6381.0,4118.0,4382.0,4328.0,3957.0,4506.0,4343.0,3474.0,3720.0,3506.0,2351.0,2359.0,2429.0,5480.0,5799.0,6071.0,4780.0,4869.0,4644.0,4191.0,4495.0,4589.0,3761.0,3983.0,4128.0,2287.0,2474.0,2348.0,5544.0,4735.0,5323.0,3832.0,3895.0,3775.0,3854.0,3444.0,3540.0,3201.0,2946.0,3220.0,1946.0,2070.0,1955.0,5410.0,4643.0,5709.0,4042.0,4095.0,4053.0,3408.0,3626.0,3715.0,3188.0,3182.0,3525.0,1895.0,2077.0,2124.0,4219.0,4298.0,4329.0,3640.0,2139.0,4990.0,4299.0,4263.0,3493.0,2142.0,6079.0,4315.0,4511.0,3796.0,2290.0,4271.0,4399.0,4736.0,3725.0,2308.0,5683.0,4853.0,4744.0,3955.0,2474.0,6584.0,4833.0,4724.0,3874.0,2549.0,258.0,260.0,263.0
0:28:15,30.1,6346.0,4505.0,6917.0,4192.0,4445.0,4374.0,3992.0,4571.0,4389.0,3455.0,3773.0,3556.0,2339.0,2330.0,2421.0,5833.0,6235.0,6377.0,4861.0,4907.0,4734.0,4239.0,4475.0,4620.0,3798.0,3979.0,4174.0,2237.0,2462.0,2315.0,5754.0,4897.0,5658.0,3852.0,3998.0,3822.0,3913.0,3478.0,3584.0,3238.0,2955.0,3231.0,1929.0,2045.0,1893.0,5811.0,5101.0,5988.0,4013.0,4174.0,4139.0,3459.0,3694.0,3766.0,3221.0,3226.0,3539.0,1888.0,2029.0,2051.0,4468.0,4316.0,4366.0,3730.0,2119.0,5205.0,4365.0,4281.0,3498.0,2135.0,6684.0,4354.0,4575.0,3849.0,2285.0,4520.0,4468.0,4804.0,3766.0,2275.0,6170.0,4953.0,4836.0,4032.0,2448.0,6978.0,4800.0,4772.0,3970.0,2530.0,260.0,252.0,258.0
0:38:15,30.1,6690.0,4757.0,7528.0,4290.0,4500.0,4463.0,4053.0,4634.0,4489.0,3543.0,3796.0,3561.0,2319.0,2310.0,2390.0,6269.0,6534.0,6755.0,4909.0,4972.0,4764.0,4298.0,4525.0,4700.0,3841.0,4068.0,4209.0,2194.0,2419.0,2257.0,6053.0,5076.0,6030.0,3941.0,3995.0,3899.0,3953.0,3510.0,3650.0,3272.0,2975.0,3302.0,1887.0,2007.0,1880.0,6237.0,5592.0,6205.0,4105.0,4182.0,4167.0,3467.0,3709.0,3817.0,3272.0,3251.0,3580.0,1833.0,2014.0,2021.0,4790.0,4405.0,4425.0,3766.0,2087.0,5156.0,4397.0,4328.0,3547.0,2107.0,7117.0,4378.0,4646.0,3857.0,2257.0,4798.0,4398.0,4895.0,3791.0,2279.0,6714.0,4947.0,4928.0,4057.0,2454.0,7485.0,4917.0,4835.0,3986.0,2525.0,256.0,256.0,262.0
0:48:15,30.0,7038.0,5119.0,7891.0,4359.0,4592.0,4522.0,4119.0,4689.0,4537.0,3579.0,3870.0,3676.0,2293.0,2323.0,2404.0,6694.0,7037.0,7181.0,4953.0,5047.0,4833.0,4333.0,4583.0,4762.0,3886.0,4130.0,4289.0,2172.0,2382.0,2233.0,6308.0,5238.0,6370.0,3959.0,4073.0,3942.0,3991.0,3572.0,3651.0,3308.0,3008.0,3337.0,1857.0,1976.0,1851.0,6641.0,6079.0,6580.0,4159.0,4251.0,4216.0,3512.0,3791.0,3884.0,3302.0,3309.0,3617.0,1792.0,1987.0,1994.0,5135.0,4425.0,4504.0,3835.0,2062.0,5309.0,4490.0,4458.0,3575.0,2098.0,7629.0,4454.0,4680.0,3931.0,2228.0,5138.0,4425.0,4944.0,3851.0,2258.0,7257.0,5028.0,4956.0,4121.0,2419.0,8085.0,4955.0,4870.0,4071.0,2507.0,252.0,253.0,264.0
0:58:15,30.1,7514.0,5500.0,8364.0,4431.0,4684.0,4583.0,4183.0,4789.0,4639.0,3624.0,3885.0,3697.0,2303.0,2277.0,2364.0,7151.0,7496.0,7715.0,5057.0,5159.0,4865.0,4385.0,4656.0,4848.0,3889.0,4176.0,4370.0,2159.0,2345.0,2196.0,6709.0,5516.0,6824.0,3996.0,4109.0,3971.0,4086.0,3602.0,3767.0,3346.0,3060.0,3368.0,1821.0,1955.0,1836.0,7113.0,6641.0,6897.0,4205.0,4305.0,4299.0,3572.0,3839.0,3936.0,3334.0,3317.0,3653.0,1805.0,1938.0,1970.0,5565.0,4541.0,4586.0,3837.0,2049.0,5620.0,4512.0,4500.0,3647.0,2073.0,8070.0,4510.0,4762.0,4003.0,2222.0,5443.0,4356.0,5032.0,3938.0,2251.0,7983.0,5073.0,5077.0,4177.0,2390.0,8630.0,4992.0,4996.0,4102.0,2527.0,247.0,258.0,253.0
1:08:15,30.0,8156.0,5680.0,8865.0,4496.0,4764.0,4668.0,4268.0,4884.0,4679.0,3640.0,3965.0,3754.0,2295.0,2282.0,2350.0,7692.0,8043.0,8175.0,5118.0,5245.0,4982.0,4484.0,4785.0,4920.0,3933.0,4197.0,4377.0,2095.0,2339.0,2179.0,7123.0,5730.0,7193.0,4080.0,4167.0,4032.0,4134.0,3689.0,3782.0,3380.0,3053.0,3427.0,1822.0,1926.0,1815.0,7540.0,7172.0,7221.0,4275.0,4381.0,4330.0,3607.0,3915.0,3974.0,3419.0,3357.0,3721.0,1803.0,1897.0,1976.0,5979.0,4601.0,4641.0,3936.0,2027.0,5717.0,4589.0,4603.0,3668.0,2077.0,8556.0,4532.0,4850.0,4007.0,2184.0,5875.0,4322.0,5143.0,3959.0,2254.0,8765.0,5141.0,5164.0,4275.0,2415.0,9358.0,5078.0,5042.0,4189.0,2513.0,242.0,250.0,258.0
1:18:15,30.0,8764.0,5987.0,9334.0,4589.0,4831.0,4734.0,4321.0,4957.0,4795.0,3729.0,4043.0,3796.0,2275.0,2293.0,2343.0,8314.0,8614.0,8772.0,5222.0,5325.0,5068.0,4537.0,4820.0,4980.0,3994.0,4244.0,4445.0,2092.0,2307.0,2151.0,7517.0,6042.0,7659.0,4118.0,4230.0,4086.0,4191.0,3722.0,3844.0,3428.0,3118.0,3471.0,1776.0,1905.0,1788.0,8016.0,7794.0,7619.0,4345.0,4466.0,4422.0,3671.0,3953.0,4043.0,3411.0,3406.0,3771.0,1744.0,1901.0,1938.0,6513.0,4616.0,4724.0,3945.0,1999.0,6008.0,4655.0,4664.0,3734.0,2045.0,8948.0,4631.0,4980.0,4114.0,2202.0,6312.0,4163.0,5230.0,3991.0,2229.0,9505.0,5214.0,5249.0,4316.0,2402.0,9994.0,5156.0,5154.0,4231.0,2488.0,255.0,255.0,259.0
1:28:15,30.0,9428.0,6307.0,9922.0,4665.0,4931.0,4801.0,4382.0,5068.0,4853.0,3786.0,4106.0,3868.0,2278.0,2298.0,2346.0,8973.0,9281.0,9279.0,5323.0,5364.0,5091.0,4601.0,4870.0,5087.0,4038.0,4314.0,4513.0,2048.0,2314.0,2114.0,7986.0,6393.0,8105.0,4188.0,4340.0,4143.0,4261.0,3770.0,3904.0,3456.0,3187.0,3527.0,1757.0,1877.0,1747.0,8607.0,8443.0,8035.0,4388.0,4509.0,4458.0,3709.0,4029.0,4106.0,3497.0,3477.0,3831.0,1733.0,1880.0,1933.0,7012.0,4660.0,4816.0,4034.0,1985.0,6205.0,4690.0,4679.0,3789.0,2033.0,9347.0,4668.0,5035.0,4106.0,2179.0,6843.0,4241.0,5333.0,4066.0,2209.0,10284.0,5259.0,5351.0,4415.0,2393.0,10634.0,5181.0,5217.0,4282.0,2464.0,253.0,258.0,260.0
1:38:15,30.0,10181.0,6606.0,10553.0,4731.0,4974.0,4880.0,4442.0,5141.0,4915.0,3826.0,4133.0,3902.0,2287.0,2263.0,2360.0,9725.0,9844.0,9978.0,5422.0,5482.0,5198.0,4652.0,4956.0,5200.0,4092.0,4382.0,4565.0,2019.0,2281.0,2092.0,8364.0,6763.0,8609.0,4250.0,4337.0,4200.0,4330.0,3815.0,3961.0,3495.0,3212.0,3546.0,1729.0,1866.0,1752.0,9064.0,9057.0,8460.0,4456.0,4551.0,4509.0,3768.0,4066.0,4146.0,3558.0,3522.0,3886.0,1714.0,1873.0,1877.0,7605.0,4727.0,4879.0,4084.0,1959.0,6273.0,4744.0,4761.0,3838.0,2031.0,9850.0,4753.0,5109.0,4205.0,2154.0,7304.0,4275.0,5385.0,4135.0,2199.0,10970.0,5343.0,5380.0,4404.0,2397.0,11204.0,5244.0,5342.0,4343.0,2468.0,248.0,257.0,272.0
