elapsed_hms,temperature_c,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,F7,F8,F9,G7,G8,G9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F10,F11,F12,G10,G11,G12,H7,H8,H9
0:08:15,30.0,1776.0,1733.0,1712.0,1761.0,1706.0,1716.0,1679.0,1725.0,1728.0,1660.0,1673.0,1625.0,1905.0,1884.0,1892.0,1759.0,1772.0,1790.0,1930.0,1796.0,1774.0,1267.0,1261.0,1292.0,1279.0,1302.0,1261.0,1262.0,1235.0,1259.0,1290.0,1282.0,1243.0,1454.0,1487.0,1488.0,1417.0,1417.0,1415.0,1455.0,1335.0,1319.0,368.0,389.0,353.0
0:18:15,30.0,1850.0,1784.0,1767.0,1806.0,1745.0,1781.0,1732.0,1787.0,1824.0,1709.0,1751.0,1608.0,1796.0,1733.0,1792.0,1704.0,1646.0,1659.0,1737.0,1702.0,1710.0,1283.0,1300.0,1334.0,1310.0,1355.0,1328.0,1295.0,1280.0,1337.0,1328.0,1329.0,1316.0,1331.0,1290.0,1375.0,1245.0,1245.0,1312.0,1277.0,1220.0,1296.0,363.0,373.0,356.0
0:28:15,30.0,1924.0,1847.0,1845.0,1930.0,1844.0,1816.0,1811.0,1885.0,1902.0,1788.0,1812.0,1651.0,1819.0,1801.0,1860.0,1787.0,1738.0,1749.0,1863.0,1751.0,1810.0,1319.0,1393.0,1390.0,1397.0,1404.0,1383.0,1360.0,1324.0,1375.0,1412.0,1392.0,1395.0,1404.0,1368.0,1453.0,1314.0,1304.0,1377.0,1343.0,1273.0,1400.0,357.0,369.0,353.0
0:38:15,30.0,2016.0,1947.0,1942.0,2009.0,1904.0,1927.0,1894.0,1988.0,1967.0,1892.0,1888.0,1680.0,1928.0,1889.0,1978.0,1911.0,1863.0,1837.0,1973.0,1902.0,1951.0,1411.0,1453.0,1451.0,1434.0,1473.0,1439.0,1432.0,1384.0,1440.0,1476.0,1461.0,1463.0,1482.0,1435.0,1552.0,1381.0,1375.0,1463.0,1431.0,1339.0,1444.0,350.0,367.0,350.0
0:48:15,30.0,2142.0,2022.0,2020.0,2091.0,1996.0,2017.0,1985.0,2085.0,2031.0,1964.0,2008.0,1725.0,2048.0,1990.0,2070.0,2020.0,1981.0,1954.0,2117.0,2023.0,2061.0,1452.0,1506.0,1514.0,1506.0,1505.0,1520.0,1485.0,1446.0,1486.0,1534.0,1524.0,1534.0,1536.0,1506.0,1615.0,1472.0,1438.0,1525.0,1489.0,1427.0,1536.0,363.0,364.0,355.0
0:58:15,30.0,2218.0,2108.0,2128.0,2191.0,2093.0,2139.0,2091.0,2160.0,2136.0,2051.0,2113.0,1815.0,2150.0,2086.0,2197.0,2141.0,2096.0,2060.0,2185.0,2139.0,2163.0,1534.0,1551.0,1574.0,1578.0,1569.0,1562.0,1525.0,1502.0,1554.0,1589.0,1582.0,1589.0,1621.0,1582.0,1691.0,1563.0,1510.0,1625.0,1575.0,1489.0,1588.0,365.0,370.0,364.0
1:08:15,30.0,2310.0,2177.0,2190.0,2274.0,2186.0,2227.0,2136.0,2238.0,2237.0,2165.0,2219.0,1836.0,2272.0,2226.0,2296.0,2292.0,2202.0,2194.0,2370.0,2260.0,2312.0,1560.0,1629.0,1641.0,1633.0,1599.0,1625.0,1590.0,1564.0,1597.0,1673.0,1663.0,1655.0,1707.0,1663.0,1779.0,1653.0,1579.0,1716.0,1643.0,1561.0,1696.0,362.0,361.0,353.0
1:18:15,30.0,2391.0,2313.0,2319.0,2379.0,2241.0,2330.0,2248.0,2303.0,2321.0,2233.0,2323.0,1874.0,2404.0,2383.0,2456.0,2457.0,2346.0,2337.0,2507.0,2406.0,2405.0,1672.0,1696.0,1701.0,1683.0,1674.0,1692.0,1641.0,1634.0,1671.0,1773.0,1734.0,1730.0,1807.0,1772.0,1899.0,1734.0,1684.0,1812.0,1728.0,1644.0,1761.0,348.0,363.0,357.0
1:28:15,30.1,2467.0,2373.0,2402.0,2464.0,2324.0,2427.0,2318.0,2376.0,2418.0,2346.0,2444.0,1955.0,2576.0,2504.0,2611.0,2590.0,2476.0,2477.0,2682.0,2574.0,2580.0,1710.0,1744.0,1790.0,1744.0,1737.0,1730.0,1718.0,1698.0,1739.0,1830.0,1830.0,1781.0,1934.0,1892.0,2006.0,1835.0,1801.0,1926.0,1828.0,1762.0,1895.0,354.0,362.0,341.0
1:38:15,30.1,2577.0,2459.0,2491.0,2559.0,2421.0,2520.0,2417.0,2497.0,2521.0,2451.0,2574.0,2012.0,2660.0,2656.0,2779.0,2720.0,2675.0,2645.0,2858.0,2711.0,2738.0,1783.0,1818.0,1870.0,1811.0,1813.0,1807.0,1793.0,1754.0,1790.0,1900.0,1911.0,1896.0,2067.0,2015.0,2110.0,1943.0,1885.0,2043.0,1937.0,1841.0,2001.0,358.0,359.0,352.0
