elapsed_hms,temperature_c,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,A4,A5,A6,B4,B5,B6,C4,C5,C6,D4,D5,D6,E4,E5,E6,F4,F5,F6,G4,G5,G6,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,F7,F8,F9,G7,G8,G9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F10,F11,F12,G10,G11,G12,H1,H2,H3
0:08:18,30.1,0.257,0.241,0.222,0.256,0.239,0.229,0.272,0.24,0.251,0.265,0.255,0.267,0.283,0.255,0.265,0.296,0.279,0.26,0.284,0.285,0.266,0.239,0.256,0.259,0.236,0.24,0.259,0.239,0.247,0.255,0.251,0.259,0.259,0.287,0.263,0.256,0.281,0.262,0.239,0.279,0.273,0.276,0.146,0.142,0.143,0.14,0.143,0.145,0.143,0.133,0.138,0.143,0.143,0.145,0.145,0.139,0.136,0.148,0.15,0.136,0.141,0.154,0.14,0.195,0.197,0.185,0.171,0.192,0.191,0.198,0.176,0.19,0.194,0.192,0.195,0.21,0.195,0.202,0.226,0.196,0.201,0.203,0.248,0.191,0.094,0.101,0.097
0:18:18,30.0,0.263,0.254,0.232,0.265,0.252,0.24,0.293,0.252,0.261,0.283,0.272,0.279,0.284,0.267,0.276,0.305,0.286,0.27,0.278,0.303,0.294,0.251,0.265,0.273,0.248,0.249,0.258,0.25,0.254,0.263,0.262,0.259,0.266,0.295,0.269,0.268,0.279,0.271,0.26,0.289,0.284,0.3,0.152,0.145,0.149,0.143,0.146,0.148,0.147,0.137,0.143,0.147,0.148,0.148,0.148,0.142,0.139,0.148,0.153,0.139,0.144,0.156,0.142,0.202,0.206,0.194,0.176,0.201,0.199,0.202,0.189,0.199,0.2,0.199,0.2,0.215,0.2,0.207,0.228,0.201,0.208,0.211,0.264,0.196,0.096,0.101,0.097
0:28:18,30.0,0.278,0.269,0.246,0.281,0.263,0.253,0.292,0.276,0.275,0.306,0.281,0.297,0.311,0.281,0.287,0.332,0.312,0.283,0.302,0.323,0.297,0.263,0.276,0.286,0.258,0.26,0.267,0.257,0.267,0.276,0.287,0.27,0.283,0.304,0.281,0.295,0.291,0.286,0.255,0.304,0.301,0.295,0.157,0.153,0.154,0.148,0.151,0.153,0.15,0.142,0.145,0.152,0.152,0.153,0.152,0.145,0.143,0.151,0.156,0.142,0.145,0.159,0.145,0.211,0.216,0.214,0.183,0.209,0.207,0.211,0.187,0.206,0.206,0.209,0.233,0.224,0.206,0.231,0.238,0.21,0.211,0.216,0.254,0.208,0.095,0.101,0.098
0:38:18,30.0,0.291,0.287,0.262,0.296,0.278,0.268,0.294,0.279,0.289,0.304,0.296,0.302,0.323,0.297,0.305,0.331,0.319,0.299,0.314,0.327,0.324,0.284,0.298,0.299,0.271,0.274,0.281,0.27,0.283,0.293,0.294,0.284,0.293,0.319,0.308,0.322,0.305,0.327,0.275,0.324,0.338,0.306,0.163,0.157,0.16,0.154,0.157,0.158,0.156,0.147,0.15,0.155,0.155,0.156,0.154,0.148,0.145,0.153,0.156,0.143,0.147,0.159,0.147,0.221,0.227,0.214,0.191,0.217,0.216,0.219,0.211,0.215,0.214,0.217,0.212,0.228,0.212,0.231,0.24,0.222,0.212,0.212,0.257,0.199,0.096,0.1,0.098
0:48:18,30.1,0.319,0.304,0.297,0.32,0.313,0.296,0.331,0.315,0.303,0.343,0.319,0.325,0.325,0.311,0.328,0.345,0.327,0.311,0.34,0.326,0.311,0.297,0.323,0.317,0.283,0.288,0.295,0.296,0.297,0.313,0.298,0.315,0.31,0.342,0.31,0.311,0.316,0.327,0.291,0.328,0.331,0.336,0.17,0.164,0.165,0.161,0.164,0.165,0.163,0.151,0.161,0.16,0.159,0.159,0.157,0.151,0.148,0.154,0.157,0.143,0.148,0.16,0.147,0.232,0.239,0.226,0.2,0.227,0.229,0.228,0.217,0.227,0.222,0.225,0.219,0.237,0.233,0.239,0.257,0.208,0.215,0.214,0.261,0.222,0.096,0.1,0.098
0:58:18,30.1,0.34,0.32,0.324,0.343,0.335,0.3,0.348,0.33,0.319,0.365,0.346,0.364,0.335,0.349,0.352,0.339,0.32,0.327,0.324,0.366,0.322,0.305,0.319,0.33,0.298,0.302,0.316,0.292,0.308,0.317,0.306,0.319,0.321,0.351,0.332,0.336,0.351,0.346,0.307,0.361,0.355,0.349,0.176,0.17,0.173,0.166,0.169,0.17,0.166,0.155,0.161,0.164,0.162,0.164,0.158,0.153,0.149,0.154,0.158,0.146,0.151,0.161,0.147,0.243,0.253,0.241,0.215,0.239,0.237,0.239,0.215,0.235,0.229,0.224,0.224,0.245,0.226,0.248,0.256,0.208,0.216,0.214,0.263,0.238,0.096,0.101,0.098
1:08:18,30.1,0.341,0.36,0.308,0.361,0.344,0.318,0.354,0.354,0.337,0.359,0.359,0.36,0.351,0.364,0.366,0.372,0.334,0.336,0.336,0.376,0.333,0.318,0.343,0.346,0.313,0.317,0.333,0.32,0.321,0.331,0.32,0.33,0.335,0.35,0.33,0.342,0.342,0.355,0.309,0.375,0.366,0.352,0.184,0.178,0.181,0.173,0.176,0.177,0.172,0.16,0.177,0.167,0.167,0.168,0.16,0.155,0.152,0.155,0.158,0.145,0.149,0.16,0.149,0.256,0.265,0.281,0.234,0.253,0.272,0.26,0.223,0.246,0.238,0.235,0.231,0.245,0.227,0.249,0.261,0.212,0.217,0.216,0.263,0.214,0.096,0.101,0.098
1:18:18,30.1,0.36,0.349,0.323,0.382,0.362,0.333,0.358,0.361,0.357,0.389,0.39,0.392,0.364,0.367,0.364,0.374,0.374,0.35,0.347,0.363,0.344,0.335,0.361,0.366,0.326,0.331,0.346,0.323,0.335,0.347,0.336,0.355,0.352,0.363,0.341,0.37,0.354,0.366,0.32,0.381,0.38,0.361,0.191,0.185,0.188,0.18,0.183,0.184,0.178,0.166,0.174,0.173,0.171,0.173,0.161,0.157,0.154,0.157,0.158,0.146,0.151,0.16,0.153,0.267,0.279,0.265,0.249,0.266,0.269,0.299,0.23,0.258,0.247,0.237,0.237,0.246,0.233,0.242,0.261,0.209,0.219,0.216,0.264,0.208,0.096,0.101,0.098
1:28:18,30.1,0.376,0.373,0.341,0.397,0.375,0.355,0.377,0.379,0.377,0.411,0.398,0.406,0.397,0.373,0.373,0.383,0.381,0.367,0.372,0.366,0.355,0.35,0.366,0.38,0.34,0.347,0.35,0.339,0.349,0.363,0.349,0.364,0.368,0.375,0.367,0.383,0.359,0.376,0.329,0.386,0.384,0.37,0.199,0.194,0.196,0.193,0.19,0.191,0.2,0.172,0.183,0.188,0.176,0.178,0.163,0.159,0.155,0.176,0.159,0.146,0.154,0.164,0.148,0.279,0.295,0.276,0.251,0.28,0.29,0.301,0.24,0.29,0.257,0.244,0.247,0.252,0.261,0.259,0.278,0.21,0.22,0.217,0.266,0.207,0.095,0.101,0.098
1:38:18,30.1,0.401,0.385,0.358,0.42,0.386,0.366,0.396,0.404,0.398,0.44,0.421,0.432,0.418,0.394,0.387,0.416,0.407,0.375,0.364,0.386,0.381,0.366,0.383,0.399,0.357,0.364,0.369,0.356,0.365,0.381,0.366,0.38,0.385,0.388,0.378,0.384,0.37,0.395,0.336,0.391,0.382,0.378,0.208,0.202,0.205,0.194,0.199,0.2,0.194,0.18,0.188,0.183,0.183,0.183,0.164,0.16,0.157,0.165,0.162,0.152,0.152,0.161,0.148,0.293,0.313,0.292,0.255,0.292,0.306,0.286,0.25,0.281,0.269,0.253,0.254,0.254,0.253,0.235,0.268,0.211,0.221,0.218,0.266,0.206,0.096,0.101,0.098
