elapsed_hms,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,A4,A5,A6,B4,B5,B6,C4,C5,C6,D4,D5,D6,E4,E5,E6,F4,F5,F6,G4,G5,G6,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,F7,F8,F9,G7,G8,G9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F10,F11,F12,G10,G11,G12,H1,H2,H3
0:08:18,0.16,0.144,0.125,0.159,0.142,0.132,0.175,0.143,0.154,0.168,0.158,0.17,0.186,0.158,0.168,0.199,0.182,0.163,0.187,0.188,0.169,0.142,0.159,0.162,0.139,0.143,0.162,0.142,0.149,0.158,0.154,0.162,0.162,0.19,0.166,0.159,0.184,0.165,0.142,0.182,0.176,0.179,0.049,0.045,0.046,0.043,0.046,0.048,0.046,0.036,0.041,0.046,0.046,0.048,0.048,0.042,0.039,0.051,0.053,0.039,0.044,0.056,0.043,0.098,0.1,0.088,0.074,0.095,0.094,0.101,0.079,0.093,0.097,0.095,0.097,0.113,0.098,0.105,0.129,0.099,0.104,0.106,0.151,0.094,-0.003,0.004,-0.001
0:18:18,0.166,0.156,0.134,0.167,0.154,0.142,0.195,0.154,0.163,0.185,0.174,0.181,0.186,0.169,0.178,0.207,0.188,0.172,0.181,0.205,0.196,0.153,0.167,0.175,0.15,0.151,0.16,0.152,0.156,0.165,0.164,0.161,0.168,0.197,0.171,0.171,0.181,0.173,0.162,0.191,0.186,0.202,0.054,0.048,0.051,0.046,0.048,0.05,0.049,0.039,0.045,0.049,0.05,0.05,0.05,0.045,0.042,0.051,0.055,0.041,0.046,0.058,0.045,0.104,0.108,0.096,0.078,0.103,0.101,0.104,0.092,0.101,0.102,0.101,0.102,0.117,0.102,0.109,0.13,0.103,0.11,0.113,0.166,0.098,-0.002,0.004,-0.001
0:28:18,0.18,0.171,0.148,0.183,0.165,0.155,0.194,0.178,0.177,0.208,0.183,0.199,0.213,0.182,0.189,0.234,0.214,0.185,0.203,0.225,0.199,0.165,0.178,0.187,0.16,0.162,0.169,0.159,0.169,0.178,0.189,0.171,0.185,0.205,0.183,0.197,0.193,0.188,0.157,0.206,0.202,0.196,0.058,0.055,0.056,0.049,0.053,0.055,0.052,0.044,0.047,0.054,0.053,0.054,0.054,0.047,0.044,0.053,0.058,0.044,0.047,0.06,0.046,0.113,0.118,0.116,0.085,0.111,0.109,0.113,0.089,0.108,0.108,0.111,0.135,0.126,0.108,0.133,0.14,0.112,0.113,0.118,0.156,0.11,-0.003,0.003,0.0
0:38:18,0.193,0.189,0.164,0.199,0.18,0.17,0.196,0.181,0.191,0.206,0.198,0.204,0.225,0.199,0.207,0.233,0.221,0.201,0.216,0.229,0.226,0.186,0.2,0.201,0.173,0.176,0.183,0.172,0.185,0.195,0.196,0.186,0.195,0.221,0.21,0.224,0.207,0.229,0.177,0.226,0.24,0.208,0.065,0.059,0.062,0.056,0.059,0.06,0.058,0.049,0.052,0.057,0.057,0.058,0.056,0.05,0.047,0.055,0.058,0.045,0.05,0.061,0.049,0.123,0.129,0.116,0.093,0.119,0.118,0.121,0.113,0.117,0.116,0.119,0.115,0.13,0.114,0.133,0.142,0.124,0.115,0.114,0.159,0.101,-0.002,0.002,0.0
0:48:18,0.221,0.206,0.199,0.222,0.215,0.198,0.233,0.217,0.205,0.245,0.221,0.227,0.227,0.213,0.229,0.247,0.229,0.213,0.242,0.228,0.212,0.199,0.225,0.219,0.185,0.19,0.197,0.198,0.199,0.215,0.2,0.216,0.212,0.244,0.212,0.213,0.218,0.229,0.193,0.23,0.232,0.238,0.071,0.066,0.067,0.062,0.066,0.067,0.065,0.053,0.063,0.062,0.061,0.061,0.058,0.053,0.05,0.055,0.058,0.045,0.05,0.062,0.049,0.134,0.141,0.128,0.102,0.129,0.131,0.13,0.119,0.129,0.123,0.127,0.121,0.139,0.135,0.141,0.159,0.11,0.117,0.116,0.162,0.124,-0.002,0.002,0.0
0:58:18,0.242,0.222,0.226,0.245,0.237,0.202,0.25,0.232,0.221,0.267,0.248,0.266,0.237,0.251,0.254,0.241,0.221,0.229,0.226,0.268,0.224,0.207,0.221,0.232,0.2,0.204,0.218,0.194,0.21,0.219,0.208,0.221,0.223,0.253,0.234,0.238,0.253,0.248,0.209,0.263,0.257,0.251,0.078,0.072,0.075,0.068,0.071,0.072,0.068,0.057,0.062,0.066,0.064,0.066,0.06,0.055,0.051,0.056,0.06,0.048,0.053,0.063,0.049,0.145,0.154,0.143,0.117,0.141,0.139,0.141,0.117,0.137,0.131,0.126,0.126,0.147,0.128,0.15,0.158,0.11,0.118,0.116,0.165,0.14,-0.002,0.003,0.0
1:08:18,0.243,0.262,0.21,0.263,0.246,0.22,0.256,0.256,0.239,0.261,0.261,0.262,0.254,0.266,0.268,0.274,0.236,0.238,0.238,0.278,0.235,0.22,0.245,0.248,0.215,0.219,0.235,0.222,0.223,0.233,0.222,0.232,0.237,0.253,0.232,0.244,0.244,0.257,0.211,0.277,0.268,0.254,0.086,0.08,0.083,0.075,0.078,0.079,0.074,0.062,0.079,0.069,0.069,0.07,0.062,0.057,0.054,0.057,0.06,0.047,0.051,0.062,0.051,0.158,0.167,0.183,0.136,0.155,0.174,0.162,0.125,0.148,0.14,0.137,0.133,0.147,0.129,0.151,0.163,0.114,0.119,0.118,0.165,0.116,-0.002,0.003,0.0
1:18:18,0.261,0.251,0.225,0.283,0.264,0.235,0.26,0.263,0.258,0.29,0.291,0.294,0.266,0.269,0.266,0.276,0.276,0.252,0.249,0.265,0.245,0.236,0.263,0.268,0.228,0.233,0.248,0.225,0.237,0.249,0.238,0.256,0.254,0.265,0.243,0.272,0.256,0.268,0.222,0.282,0.281,0.263,0.093,0.087,0.089,0.082,0.085,0.086,0.08,0.068,0.076,0.075,0.073,0.075,0.063,0.058,0.056,0.059,0.06,0.047,0.053,0.061,0.054,0.169,0.181,0.166,0.151,0.168,0.171,0.201,0.131,0.16,0.149,0.138,0.139,0.148,0.135,0.144,0.162,0.111,0.121,0.118,0.166,0.11,-0.002,0.003,0.0
1:28:18,0.278,0.275,0.243,0.299,0.277,0.258,0.279,0.281,0.279,0.313,0.3,0.308,0.3,0.275,0.276,0.285,0.283,0.27,0.274,0.268,0.258,0.252,0.268,0.282,0.242,0.249,0.252,0.241,0.251,0.265,0.251,0.266,0.27,0.277,0.269,0.285,0.261,0.278,0.231,0.289,0.286,0.272,0.101,0.096,0.098,0.095,0.092,0.094,0.102,0.075,0.085,0.09,0.078,0.08,0.065,0.061,0.057,0.078,0.062,0.048,0.056,0.066,0.05,0.181,0.197,0.179,0.153,0.182,0.192,0.204,0.142,0.192,0.159,0.147,0.149,0.154,0.163,0.161,0.18,0.112,0.122,0.119,0.168,0.109,-0.003,0.003,0.0
1:38:18,0.303,0.287,0.26,0.322,0.288,0.268,0.298,0.306,0.3,0.342,0.323,0.334,0.32,0.296,0.289,0.318,0.309,0.277,0.266,0.288,0.283,0.268,0.285,0.301,0.259,0.266,0.271,0.258,0.267,0.283,0.268,0.282,0.287,0.29,0.28,0.286,0.272,0.297,0.238,0.293,0.284,0.28,0.11,0.104,0.107,0.096,0.101,0.102,0.096,0.082,0.09,0.085,0.085,0.085,0.066,0.062,0.059,0.067,0.064,0.054,0.054,0.063,0.05,0.195,0.215,0.194,0.157,0.194,0.208,0.188,0.152,0.183,0.171,0.155,0.156,0.156,0.155,0.137,0.17,0.113,0.123,0.12,0.168,0.108,-0.002,0.003,0.0
1:48:18,0.32,0.315,0.282,0.35,0.316,0.288,0.318,0.322,0.323,0.372,0.331,0.349,0.321,0.31,0.304,0.323,0.293,0.286,0.295,0.294,0.303,0.287,0.304,0.322,0.275,0.285,0.29,0.283,0.286,0.302,0.284,0.3,0.307,0.302,0.299,0.31,0.281,0.305,0.246,0.298,0.291,0.289,0.12,0.112,0.116,0.104,0.109,0.11,0.103,0.089,0.098,0.091,0.09,0.092,0.068,0.064,0.063,0.059,0.062,0.049,0.056,0.063,0.051,0.209,0.231,0.212,0.171,0.213,0.221,0.201,0.163,0.198,0.183,0.163,0.167,0.152,0.15,0.141,0.139,0.114,0.124,0.12,0.17,0.111,-0.002,0.002,0.0
1:58:18,0.347,0.335,0.304,0.373,0.329,0.309,0.339,0.343,0.345,0.394,0.356,0.361,0.335,0.318,0.318,0.34,0.298,0.296,0.287,0.335,0.309,0.307,0.326,0.343,0.295,0.304,0.311,0.291,0.305,0.325,0.304,0.318,0.327,0.314,0.303,0.315,0.291,0.293,0.253,0.309,0.3,0.301,0.133,0.123,0.127,0.113,0.118,0.119,0.112,0.097,0.111,0.107,0.103,0.102,0.069,0.066,0.062,0.075,0.065,0.048,0.061,0.063,0.053,0.226,0.252,0.23,0.187,0.227,0.239,0.217,0.176,0.216,0.196,0.173,0.178,0.158,0.173,0.145,0.156,0.116,0.124,0.123,0.174,0.117,-0.002,0.002,0.0
2:08:18,0.365,0.354,0.324,0.393,0.362,0.335,0.364,0.376,0.369,0.411,0.385,0.387,0.35,0.332,0.335,0.351,0.322,0.306,0.304,0.32,0.317,0.329,0.345,0.366,0.316,0.325,0.332,0.31,0.327,0.349,0.326,0.339,0.349,0.326,0.314,0.328,0.298,0.309,0.26,0.321,0.306,0.301,0.144,0.133,0.141,0.122,0.132,0.129,0.122,0.105,0.114,0.105,0.105,0.106,0.071,0.069,0.064,0.062,0.063,0.052,0.053,0.068,0.051,0.243,0.273,0.249,0.219,0.242,0.239,0.235,0.188,0.231,0.211,0.184,0.186,0.162,0.186,0.15,0.139,0.115,0.125,0.122,0.171,0.114,-0.002,0.002,0.0
2:18:18,0.398,0.377,0.348,0.421,0.375,0.354,0.386,0.399,0.395,0.45,0.41,0.403,0.363,0.345,0.347,0.357,0.338,0.314,0.305,0.33,0.318,0.351,0.368,0.386,0.335,0.347,0.353,0.337,0.349,0.373,0.348,0.36,0.373,0.336,0.323,0.342,0.306,0.312,0.267,0.322,0.309,0.309,0.171,0.146,0.149,0.133,0.14,0.14,0.132,0.127,0.132,0.113,0.112,0.114,0.074,0.071,0.07,0.071,0.063,0.049,0.054,0.066,0.052,0.26,0.296,0.269,0.229,0.261,0.261,0.254,0.203,0.25,0.228,0.197,0.198,0.168,0.198,0.162,0.155,0.116,0.126,0.122,0.172,0.113,-0.003,0.003,0.0
2:28:18,0.42,0.409,0.372,0.441,0.395,0.383,0.41,0.419,0.418,0.46,0.421,0.433,0.368,0.365,0.361,0.362,0.346,0.322,0.336,0.325,0.316,0.372,0.396,0.409,0.358,0.368,0.373,0.357,0.371,0.397,0.37,0.38,0.397,0.348,0.333,0.356,0.313,0.314,0.273,0.332,0.321,0.316,0.17,0.159,0.171,0.144,0.15,0.152,0.143,0.132,0.134,0.121,0.121,0.123,0.076,0.084,0.071,0.063,0.065,0.05,0.058,0.066,0.052,0.278,0.318,0.292,0.259,0.281,0.29,0.274,0.219,0.27,0.245,0.21,0.212,0.174,0.207,0.165,0.139,0.117,0.126,0.124,0.176,0.118,-0.002,0.003,0.0
2:38:18,0.448,0.425,0.393,0.469,0.428,0.398,0.434,0.435,0.443,0.486,0.454,0.455,0.383,0.37,0.374,0.373,0.353,0.327,0.325,0.333,0.322,0.394,0.417,0.434,0.378,0.391,0.396,0.384,0.396,0.42,0.392,0.404,0.423,0.358,0.352,0.37,0.318,0.317,0.279,0.332,0.324,0.328,0.185,0.172,0.173,0.155,0.164,0.163,0.156,0.142,0.15,0.13,0.131,0.132,0.076,0.078,0.071,0.061,0.064,0.053,0.063,0.072,0.052,0.298,0.341,0.314,0.276,0.295,0.305,0.294,0.235,0.288,0.263,0.226,0.226,0.181,0.201,0.17,0.139,0.117,0.126,0.123,0.172,0.112,-0.002,0.003,0.0
2:48:18,0.468,0.448,0.416,0.496,0.442,0.419,0.459,0.455,0.467,0.522,0.481,0.484,0.39,0.386,0.387,0.371,0.356,0.333,0.334,0.342,0.341,0.418,0.437,0.457,0.399,0.409,0.418,0.405,0.416,0.443,0.415,0.426,0.447,0.368,0.364,0.383,0.324,0.321,0.284,0.339,0.328,0.334,0.2,0.187,0.188,0.173,0.191,0.177,0.171,0.16,0.16,0.141,0.153,0.162,0.078,0.091,0.076,0.077,0.063,0.05,0.055,0.064,0.053,0.317,0.364,0.337,0.299,0.313,0.325,0.313,0.252,0.309,0.284,0.243,0.243,0.19,0.22,0.181,0.14,0.121,0.128,0.125,0.176,0.159,-0.002,0.002,0.0
