construct,dose_mM,elapsed_min,signal
UPRE1,0.0,0.0,2897.7685185185182
UPRE1,0.1,0.0,2903.900820589633
UPRE1,0.2,0.0,2852.4808524808527
UPRE1,0.5,0.0,2797.321502440638
UPRE1,1.0,0.0,2664.4249029406237
UPRE1,2.0,0.0,2681.2644764983143
UPRE1,5.0,0.0,2621.300877486494
UPRE1,0.0,10.0,2929.24818293457
UPRE1,0.1,10.0,2914.1725694395004
UPRE1,0.2,10.0,2846.708097628343
UPRE1,0.5,10.0,2887.255001238617
UPRE1,1.0,10.0,2774.5835218860557
UPRE1,2.0,10.0,2882.711202263512
UPRE1,5.0,10.0,2613.874855965833
UPRE1,0.0,20.0,2892.2079974711555
UPRE1,0.1,20.0,2952.7629547724737
UPRE1,0.2,20.0,2911.2799765625837
UPRE1,0.5,20.0,2889.1219883218814
UPRE1,1.0,20.0,2926.9654011438047
UPRE1,2.0,20.0,2863.03658079359
UPRE1,5.0,20.0,2602.588824435991
UPRE1,0.0,30.0,2986.067175418033
UPRE1,0.1,30.0,3021.6950766906425
UPRE1,0.2,30.0,3119.303574601574
UPRE1,0.5,30.0,3225.229642705371
UPRE1,1.0,30.0,3182.2257826977075
UPRE1,2.0,30.0,3252.5762489928024
UPRE1,5.0,30.0,2810.3844898730317
UPRE1,0.0,40.0,2855.0530626157183
UPRE1,0.1,40.0,2929.6380947543744
UPRE1,0.2,40.0,3042.772740260778
UPRE1,0.5,40.0,3222.9064041746824
UPRE1,1.0,40.0,3540.598878223611
UPRE1,2.0,40.0,3547.6646492504915
UPRE1,5.0,40.0,3069.0567770327634
UPRE1,0.0,50.0,2876.811976168372
UPRE1,0.1,50.0,3025.778609894056
UPRE1,0.2,50.0,3222.493628751235
UPRE1,0.5,50.0,3299.5119564648
UPRE1,1.0,50.0,3731.248500135476
UPRE1,2.0,50.0,4128.651503251941
UPRE1,5.0,50.0,3433.3061698460915
UPRE1,0.0,60.0,3063.9272213770378
UPRE1,0.1,60.0,3175.8020715360967
UPRE1,0.2,60.0,3374.1065202231525
UPRE1,0.5,60.0,3790.627163093601
UPRE1,1.0,60.0,4143.493208282193
UPRE1,2.0,60.0,4507.18153152638
UPRE1,5.0,60.0,3781.5271401687874
UPRE1,0.0,70.0,3241.212213724921
UPRE1,0.1,70.0,3275.4986903847894
UPRE1,0.2,70.0,3527.5514245140207
UPRE1,0.5,70.0,3776.869055478573
UPRE1,1.0,70.0,4678.746121810102
UPRE1,2.0,70.0,4841.672417759374
UPRE1,5.0,70.0,4260.858399584733
UPRE1,0.0,80.0,3270.0527075533737
UPRE1,0.1,80.0,3377.771441298762
UPRE1,0.2,80.0,3664.3579637495372
UPRE1,0.5,80.0,4080.749023784168
UPRE1,1.0,80.0,5077.619675010979
UPRE1,2.0,80.0,5319.591217278899
UPRE1,5.0,80.0,4573.441920145214
UPRE1,0.0,90.0,3302.2425909168246
UPRE1,0.1,90.0,3506.7920834062948
UPRE1,0.2,90.0,3739.8393063414783
UPRE1,0.5,90.0,4180.452648195181
UPRE1,1.0,90.0,5401.319496399515
UPRE1,2.0,90.0,5596.8640385054705
UPRE1,5.0,90.0,4895.611070766827
UPRE1,0.0,100.0,3394.074355510526
UPRE1,0.1,100.0,3530.2413602571833
UPRE1,0.2,100.0,3845.7450709080604
UPRE1,0.5,100.0,4413.068149257267
UPRE1,1.0,100.0,5824.805075572057
UPRE1,2.0,100.0,6231.3309284642455
UPRE1,5.0,100.0,5080.144593497745
UPRE1,0.0,110.0,3468.630795665235
UPRE1,0.1,110.0,3691.1637469284865
UPRE1,0.2,110.0,3964.1195879953325
UPRE1,0.5,110.0,4640.323820971497
UPRE1,1.0,110.0,6280.487499608874
UPRE1,2.0,110.0,6675.178455202143
UPRE1,5.0,110.0,5418.36164957381
UPRE1,0.0,120.0,3556.506252143845
UPRE1,0.1,120.0,3751.2207494712625
UPRE1,0.2,120.0,4065.363879907212
UPRE1,0.5,120.0,4796.366474519589
UPRE1,1.0,120.0,6620.965139877207
UPRE1,2.0,120.0,6997.312340023337
UPRE1,5.0,120.0,5839.959495544856
UPRE1,0.0,130.0,3562.1253926573627
UPRE1,0.1,130.0,3860.7418441429472
UPRE1,0.2,130.0,4173.0031063535835
UPRE1,0.5,130.0,4908.179574599716
UPRE1,1.0,130.0,6914.936426722373
UPRE1,2.0,130.0,7366.082784072812
UPRE1,5.0,130.0,6290.753810920837
UPRE1,0.0,140.0,3663.8447276273605
UPRE1,0.1,140.0,3977.473970716621
UPRE1,0.2,140.0,4313.668444457566
UPRE1,0.5,140.0,5166.582405916514
UPRE1,1.0,140.0,7263.1676975423425
UPRE1,2.0,140.0,7708.813979257981
UPRE1,5.0,140.0,6503.921114047697
UPRE1,0.0,150.0,3781.974014796758
UPRE1,0.1,150.0,4143.427609388499
UPRE1,0.2,150.0,4500.620258331234
UPRE1,0.5,150.0,5302.389156802601
UPRE1,1.0,150.0,7625.218898126285
UPRE1,2.0,150.0,8082.97232281464
UPRE1,5.0,150.0,6953.398061224148
UPRE1,0.0,160.0,3919.6174196174197
UPRE1,0.1,160.0,4314.681441786164
UPRE1,0.2,160.0,4698.455276496171
UPRE1,0.5,160.0,5397.975644057149
UPRE1,1.0,160.0,7879.052259411339
UPRE1,2.0,160.0,8492.348158449495
UPRE1,5.0,160.0,7077.183048798391
UPRE1,0.0,170.0,4057.76401975181
UPRE1,0.1,170.0,4405.8024218493165
UPRE1,0.2,170.0,4837.084469505971
UPRE1,0.5,170.0,5674.70083565823
UPRE1,1.0,170.0,8138.275791821132
UPRE1,2.0,170.0,8765.910912897627
UPRE1,5.0,170.0,7469.727186720563
UPRE1,0.0,180.0,4246.203427115795
UPRE1,0.1,180.0,4617.269932031503
UPRE1,0.2,180.0,5044.147427731264
UPRE1,0.5,180.0,5774.497782369171
UPRE1,1.0,180.0,8367.456170372063
UPRE1,2.0,180.0,9081.426476653583
UPRE1,5.0,180.0,7609.290453154397
UPRE1,0.0,190.0,4356.536545335799
UPRE1,0.1,190.0,4845.177783405318
UPRE1,0.2,190.0,5195.392585721033
UPRE1,0.5,190.0,6009.510398187762
UPRE1,1.0,190.0,8584.188724078227
UPRE1,2.0,190.0,9304.128308157522
UPRE1,5.0,190.0,7900.88473561814
UPRE1,0.0,200.0,4518.144577369804
UPRE1,0.1,200.0,4969.420440246473
UPRE1,0.2,200.0,5432.275547718972
UPRE1,0.5,200.0,6232.008492028272
UPRE1,1.0,200.0,8745.193748169937
UPRE1,2.0,200.0,9667.06128473683
UPRE1,5.0,200.0,8082.464960054094
