elapsed_hms,temperature_c,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,A4,A5,A6,B4,B5,B6,C4,C5,C6,D4,D5,D6,E4,E5,E6,F4,F5,F6,G4,G5,G6,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,F7,F8,F9,G7,G8,G9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F10,F11,F12,G10,G11,G12,H1,H2,H3
0:09:08,30.0,870.0,822.0,777.0,867.0,839.0,779.0,884.0,836.0,849.0,878.0,831.0,907.0,893.0,831.0,866.0,942.0,873.0,868.0,867.0,893.0,889.0,741.0,835.0,853.0,774.0,798.0,847.0,811.0,819.0,834.0,811.0,846.0,835.0,861.0,847.0,854.0,875.0,823.0,798.0,920.0,871.0,894.0,445.0,441.0,436.0,444.0,440.0,443.0,442.0,421.0,438.0,446.0,443.0,444.0,446.0,438.0,442.0,431.0,430.0,419.0,404.0,404.0,401.0,462.0,463.0,446.0,438.0,460.0,454.0,450.0,457.0,450.0,456.0,459.0,470.0,470.0,463.0,457.0,422.0,434.0,430.0,402.0,417.0,410.0,413.0,410.0,405.0
0:19:08,30.0,895.0,880.0,795.0,905.0,868.0,811.0,918.0,860.0,904.0,935.0,886.0,972.0,939.0,868.0,906.0,1004.0,931.0,930.0,911.0,923.0,917.0,780.0,867.0,904.0,800.0,821.0,868.0,832.0,827.0,885.0,854.0,884.0,870.0,905.0,893.0,908.0,915.0,858.0,843.0,941.0,900.0,927.0,450.0,451.0,452.0,465.0,454.0,449.0,459.0,431.0,450.0,458.0,467.0,456.0,447.0,444.0,448.0,407.0,429.0,416.0,413.0,402.0,393.0,480.0,479.0,463.0,463.0,472.0,479.0,470.0,474.0,488.0,485.0,484.0,496.0,476.0,483.0,486.0,417.0,426.0,430.0,391.0,415.0,397.0,415.0,408.0,410.0
0:29:08,30.0,942.0,900.0,838.0,958.0,914.0,851.0,975.0,906.0,953.0,1005.0,932.0,1004.0,1013.0,940.0,990.0,1076.0,980.0,985.0,957.0,953.0,953.0,814.0,906.0,957.0,833.0,852.0,897.0,878.0,865.0,912.0,889.0,913.0,919.0,946.0,944.0,946.0,977.0,916.0,867.0,1006.0,941.0,982.0,464.0,451.0,465.0,470.0,479.0,477.0,474.0,452.0,467.0,482.0,477.0,475.0,460.0,451.0,450.0,415.0,416.0,412.0,387.0,389.0,389.0,498.0,500.0,481.0,490.0,500.0,506.0,505.0,499.0,513.0,511.0,505.0,532.0,512.0,514.0,516.0,427.0,427.0,425.0,398.0,411.0,389.0,418.0,408.0,409.0
0:39:08,30.0,997.0,954.0,892.0,1020.0,947.0,906.0,1019.0,966.0,999.0,1079.0,1011.0,1084.0,1120.0,1012.0,1089.0,1171.0,1082.0,1087.0,1007.0,1051.0,1040.0,862.0,958.0,996.0,889.0,899.0,940.0,896.0,909.0,971.0,964.0,977.0,984.0,1042.0,1024.0,1043.0,1061.0,1013.0,941.0,1073.0,1027.0,1030.0,483.0,468.0,483.0,499.0,495.0,492.0,504.0,487.0,494.0,498.0,491.0,486.0,459.0,466.0,460.0,407.0,422.0,406.0,395.0,395.0,391.0,510.0,516.0,510.0,522.0,543.0,551.0,556.0,539.0,561.0,557.0,551.0,558.0,531.0,556.0,537.0,423.0,450.0,432.0,389.0,391.0,385.0,409.0,400.0,403.0
0:49:08,30.0,1050.0,1011.0,949.0,1085.0,1033.0,966.0,1090.0,1033.0,1086.0,1190.0,1082.0,1183.0,1239.0,1140.0,1212.0,1291.0,1185.0,1188.0,1096.0,1129.0,1084.0,912.0,1002.0,1052.0,931.0,937.0,986.0,951.0,956.0,1010.0,1025.0,1070.0,1068.0,1139.0,1132.0,1130.0,1150.0,1091.0,1021.0,1147.0,1092.0,1113.0,499.0,483.0,493.0,539.0,526.0,531.0,539.0,515.0,531.0,536.0,525.0,524.0,475.0,478.0,483.0,403.0,411.0,412.0,393.0,387.0,385.0,550.0,538.0,530.0,572.0,598.0,606.0,615.0,599.0,619.0,591.0,608.0,602.0,578.0,601.0,576.0,422.0,451.0,425.0,377.0,396.0,382.0,410.0,404.0,407.0
0:59:08,30.1,1110.0,1076.0,1014.0,1183.0,1081.0,1021.0,1190.0,1110.0,1176.0,1313.0,1196.0,1285.0,1365.0,1271.0,1343.0,1424.0,1320.0,1325.0,1221.0,1237.0,1208.0,971.0,1047.0,1117.0,983.0,1000.0,1076.0,1006.0,1008.0,1063.0,1091.0,1143.0,1141.0,1269.0,1244.0,1267.0,1286.0,1214.0,1139.0,1276.0,1206.0,1208.0,521.0,509.0,516.0,585.0,556.0,564.0,578.0,542.0,575.0,550.0,546.0,540.0,500.0,499.0,490.0,404.0,421.0,402.0,386.0,386.0,386.0,580.0,594.0,557.0,608.0,624.0,646.0,683.0,650.0,683.0,649.0,660.0,660.0,620.0,636.0,607.0,420.0,448.0,432.0,366.0,384.0,375.0,409.0,406.0,401.0
1:09:08,30.0,1183.0,1146.0,1061.0,1258.0,1178.0,1088.0,1256.0,1216.0,1264.0,1444.0,1300.0,1434.0,1539.0,1426.0,1502.0,1619.0,1467.0,1489.0,1353.0,1372.0,1309.0,1016.0,1115.0,1178.0,1045.0,1062.0,1127.0,1079.0,1098.0,1138.0,1183.0,1240.0,1232.0,1399.0,1379.0,1409.0,1422.0,1369.0,1258.0,1400.0,1322.0,1319.0,536.0,518.0,535.0,607.0,594.0,605.0,615.0,578.0,608.0,591.0,594.0,584.0,500.0,518.0,508.0,393.0,414.0,401.0,381.0,381.0,376.0,605.0,615.0,594.0,669.0,698.0,713.0,743.0,699.0,722.0,708.0,712.0,721.0,650.0,692.0,652.0,432.0,438.0,429.0,362.0,374.0,373.0,400.0,402.0,405.0
1:19:08,30.1,1245.0,1224.0,1129.0,1350.0,1251.0,1171.0,1338.0,1270.0,1355.0,1546.0,1415.0,1553.0,1694.0,1601.0,1661.0,1804.0,1632.0,1662.0,1478.0,1516.0,1448.0,1065.0,1181.0,1243.0,1100.0,1122.0,1188.0,1149.0,1154.0,1221.0,1265.0,1350.0,1356.0,1541.0,1528.0,1566.0,1588.0,1513.0,1364.0,1521.0,1422.0,1429.0,550.0,528.0,551.0,645.0,626.0,630.0,655.0,616.0,650.0,626.0,614.0,616.0,530.0,537.0,532.0,402.0,407.0,405.0,377.0,371.0,371.0,615.0,650.0,618.0,711.0,740.0,757.0,794.0,748.0,789.0,761.0,749.0,774.0,689.0,728.0,696.0,420.0,441.0,411.0,348.0,364.0,357.0,405.0,405.0,399.0
1:29:08,30.1,1304.0,1303.0,1193.0,1442.0,1326.0,1250.0,1440.0,1373.0,1458.0,1707.0,1543.0,1708.0,1883.0,1771.0,1861.0,1975.0,1818.0,1861.0,1644.0,1644.0,1568.0,1119.0,1244.0,1320.0,1171.0,1206.0,1267.0,1213.0,1219.0,1274.0,1398.0,1448.0,1454.0,1719.0,1671.0,1760.0,1732.0,1648.0,1531.0,1669.0,1561.0,1591.0,567.0,549.0,569.0,653.0,657.0,658.0,679.0,647.0,678.0,678.0,652.0,652.0,535.0,551.0,556.0,393.0,407.0,391.0,374.0,373.0,382.0,637.0,691.0,643.0,743.0,777.0,803.0,848.0,786.0,833.0,825.0,801.0,833.0,747.0,795.0,728.0,412.0,438.0,414.0,346.0,358.0,365.0,402.0,397.0,399.0
1:39:08,30.1,1383.0,1354.0,1268.0,1538.0,1418.0,1325.0,1550.0,1464.0,1565.0,1862.0,1663.0,1855.0,2069.0,1938.0,2074.0,2178.0,2020.0,2050.0,1739.0,1794.0,1762.0,1201.0,1286.0,1378.0,1241.0,1272.0,1346.0,1296.0,1301.0,1387.0,1486.0,1571.0,1558.0,1891.0,1873.0,1908.0,1938.0,1857.0,1691.0,1843.0,1703.0,1738.0,581.0,570.0,581.0,696.0,688.0,687.0,726.0,678.0,720.0,706.0,694.0,692.0,554.0,590.0,576.0,397.0,408.0,397.0,374.0,369.0,370.0,682.0,714.0,675.0,787.0,831.0,847.0,903.0,831.0,879.0,892.0,840.0,898.0,802.0,851.0,769.0,405.0,435.0,412.0,353.0,363.0,346.0,408.0,397.0,396.0
