elapsed_hms,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,A4,A5,A6,B4,B5,B6,C4,C5,C6,D4,D5,D6,E4,E5,E6,F4,F5,F6,G4,G5,G6,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,F7,F8,F9,G7,G8,G9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F10,F11,F12,G10,G11,G12,H1,H2,H3
0:09:08,461.0,413.0,368.0,458.0,430.0,370.0,475.0,427.0,440.0,469.0,422.0,498.0,484.0,422.0,457.0,533.0,464.0,459.0,458.0,484.0,480.0,332.0,426.0,444.0,365.0,389.0,438.0,402.0,410.0,425.0,402.0,437.0,426.0,452.0,438.0,445.0,466.0,414.0,389.0,511.0,462.0,485.0,36.0,32.0,27.0,35.0,31.0,34.0,33.0,12.0,29.0,37.0,34.0,35.0,37.0,29.0,33.0,22.0,21.0,10.0,-5.0,-5.0,-8.0,53.0,54.0,37.0,29.0,51.0,45.0,41.0,48.0,41.0,47.0,50.0,61.0,61.0,54.0,48.0,13.0,25.0,21.0,-7.0,8.0,1.0,4.0,1.0,-4.0
0:19:08,484.0,469.0,384.0,494.0,457.0,400.0,507.0,449.0,493.0,524.0,475.0,561.0,528.0,457.0,495.0,593.0,520.0,519.0,500.0,512.0,506.0,369.0,456.0,493.0,389.0,410.0,457.0,421.0,416.0,474.0,443.0,473.0,459.0,494.0,482.0,497.0,504.0,447.0,432.0,530.0,489.0,516.0,39.0,40.0,41.0,54.0,43.0,38.0,48.0,20.0,39.0,47.0,56.0,45.0,36.0,33.0,37.0,-4.0,18.0,5.0,2.0,-9.0,-18.0,69.0,68.0,52.0,52.0,61.0,68.0,59.0,63.0,77.0,74.0,73.0,85.0,65.0,72.0,75.0,6.0,15.0,19.0,-20.0,4.0,-14.0,4.0,-3.0,-1.0
0:29:08,530.0,488.0,426.0,546.0,502.0,439.0,563.0,494.0,541.0,593.0,520.0,592.0,601.0,528.0,578.0,664.0,568.0,573.0,545.0,541.0,541.0,402.0,494.0,545.0,421.0,440.0,485.0,466.0,453.0,500.0,477.0,501.0,507.0,534.0,532.0,534.0,565.0,504.0,455.0,594.0,529.0,570.0,52.0,39.0,53.0,58.0,67.0,65.0,62.0,40.0,55.0,70.0,65.0,63.0,48.0,39.0,38.0,3.0,4.0,0.0,-25.0,-23.0,-23.0,86.0,88.0,69.0,78.0,88.0,94.0,93.0,87.0,101.0,99.0,93.0,120.0,100.0,102.0,104.0,15.0,15.0,13.0,-14.0,-1.0,-23.0,6.0,-4.0,-3.0
0:39:08,593.0,550.0,488.0,616.0,543.0,502.0,615.0,562.0,595.0,675.0,607.0,680.0,716.0,608.0,685.0,767.0,678.0,683.0,603.0,647.0,636.0,458.0,554.0,592.0,485.0,495.0,536.0,492.0,505.0,567.0,560.0,573.0,580.0,638.0,620.0,639.0,657.0,609.0,537.0,669.0,623.0,626.0,79.0,64.0,79.0,95.0,91.0,88.0,100.0,83.0,90.0,94.0,87.0,82.0,55.0,62.0,56.0,3.0,18.0,2.0,-9.0,-9.0,-13.0,106.0,112.0,106.0,118.0,139.0,147.0,152.0,135.0,157.0,153.0,147.0,154.0,127.0,152.0,133.0,19.0,46.0,28.0,-15.0,-13.0,-19.0,5.0,-4.0,-1.0
0:49:08,643.0,604.0,542.0,678.0,626.0,559.0,683.0,626.0,679.0,783.0,675.0,776.0,832.0,733.0,805.0,884.0,778.0,781.0,689.0,722.0,677.0,505.0,595.0,645.0,524.0,530.0,579.0,544.0,549.0,603.0,618.0,663.0,661.0,732.0,725.0,723.0,743.0,684.0,614.0,740.0,685.0,706.0,92.0,76.0,86.0,132.0,119.0,124.0,132.0,108.0,124.0,129.0,118.0,117.0,68.0,71.0,76.0,-4.0,4.0,5.0,-14.0,-20.0,-22.0,143.0,131.0,123.0,165.0,191.0,199.0,208.0,192.0,212.0,184.0,201.0,195.0,171.0,194.0,169.0,15.0,44.0,18.0,-30.0,-11.0,-25.0,3.0,-3.0,0.0
0:59:08,705.0,671.0,609.0,778.0,676.0,616.0,785.0,705.0,771.0,908.0,791.0,880.0,960.0,866.0,938.0,1019.0,915.0,920.0,816.0,832.0,803.0,566.0,642.0,712.0,578.0,595.0,671.0,601.0,603.0,658.0,686.0,738.0,736.0,864.0,839.0,862.0,881.0,809.0,734.0,871.0,801.0,803.0,116.0,104.0,111.0,180.0,151.0,159.0,173.0,137.0,170.0,145.0,141.0,135.0,95.0,94.0,85.0,-1.0,16.0,-3.0,-19.0,-19.0,-19.0,175.0,189.0,152.0,203.0,219.0,241.0,278.0,245.0,278.0,244.0,255.0,255.0,215.0,231.0,202.0,15.0,43.0,27.0,-39.0,-21.0,-30.0,4.0,1.0,-4.0
1:09:08,781.0,744.0,659.0,856.0,776.0,686.0,854.0,814.0,862.0,1042.0,898.0,1032.0,1137.0,1024.0,1100.0,1217.0,1065.0,1087.0,951.0,970.0,907.0,614.0,713.0,776.0,643.0,660.0,725.0,677.0,696.0,736.0,781.0,838.0,830.0,997.0,977.0,1007.0,1020.0,967.0,856.0,998.0,920.0,917.0,134.0,116.0,133.0,205.0,192.0,203.0,213.0,176.0,206.0,189.0,192.0,182.0,98.0,116.0,106.0,-9.0,12.0,-1.0,-21.0,-21.0,-26.0,203.0,213.0,192.0,267.0,296.0,311.0,341.0,297.0,320.0,306.0,310.0,319.0,248.0,290.0,250.0,30.0,36.0,27.0,-40.0,-28.0,-29.0,-2.0,0.0,3.0
1:19:08,842.0,821.0,726.0,947.0,848.0,768.0,935.0,867.0,952.0,1143.0,1012.0,1150.0,1291.0,1198.0,1258.0,1401.0,1229.0,1259.0,1075.0,1113.0,1045.0,662.0,778.0,840.0,697.0,719.0,785.0,746.0,751.0,818.0,862.0,947.0,953.0,1138.0,1125.0,1163.0,1185.0,1110.0,961.0,1118.0,1019.0,1026.0,147.0,125.0,148.0,242.0,223.0,227.0,252.0,213.0,247.0,223.0,211.0,213.0,127.0,134.0,129.0,-1.0,4.0,2.0,-26.0,-32.0,-32.0,212.0,247.0,215.0,308.0,337.0,354.0,391.0,345.0,386.0,358.0,346.0,371.0,286.0,325.0,293.0,17.0,38.0,8.0,-55.0,-39.0,-46.0,2.0,2.0,-4.0
1:29:08,905.0,904.0,794.0,1043.0,927.0,851.0,1041.0,974.0,1059.0,1308.0,1144.0,1309.0,1484.0,1372.0,1462.0,1576.0,1419.0,1462.0,1245.0,1245.0,1169.0,720.0,845.0,921.0,772.0,807.0,868.0,814.0,820.0,875.0,999.0,1049.0,1055.0,1320.0,1272.0,1361.0,1333.0,1249.0,1132.0,1270.0,1162.0,1192.0,168.0,150.0,170.0,254.0,258.0,259.0,280.0,248.0,279.0,279.0,253.0,253.0,136.0,152.0,157.0,-6.0,8.0,-8.0,-25.0,-26.0,-17.0,238.0,292.0,244.0,344.0,378.0,404.0,449.0,387.0,434.0,426.0,402.0,434.0,348.0,396.0,329.0,13.0,39.0,15.0,-53.0,-41.0,-34.0,3.0,-2.0,0.0
1:39:08,983.0,954.0,868.0,1138.0,1018.0,925.0,1150.0,1064.0,1165.0,1462.0,1263.0,1455.0,1669.0,1538.0,1674.0,1778.0,1620.0,1650.0,1339.0,1394.0,1362.0,801.0,886.0,978.0,841.0,872.0,946.0,896.0,901.0,987.0,1086.0,1171.0,1158.0,1491.0,1473.0,1508.0,1538.0,1457.0,1291.0,1443.0,1303.0,1338.0,181.0,170.0,181.0,296.0,288.0,287.0,326.0,278.0,320.0,306.0,294.0,292.0,154.0,190.0,176.0,-3.0,8.0,-3.0,-26.0,-31.0,-30.0,282.0,314.0,275.0,387.0,431.0,447.0,503.0,431.0,479.0,492.0,440.0,498.0,402.0,451.0,369.0,5.0,35.0,12.0,-47.0,-37.0,-54.0,8.0,-3.0,-4.0
