elapsed_hms,temperature_c,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,A4,A5,A6,B4,B5,B6,C4,C5,C6,D4,D5,D6,E4,E5,E6,F4,F5,F6,G4,G5,G6,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,F7,F8,F9,G7,G8,G9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F10,F11,F12,G10,G11,G12,H4,H5,H6
0:09:08,30.0,1020.0,1053.0,1036.0,1006.0,1017.0,981.0,1080.0,1079.0,1033.0,984.0,975.0,991.0,1076.0,1033.0,1026.0,1043.0,997.0,1040.0,1019.0,1011.0,1028.0,921.0,908.0,955.0,916.0,908.0,967.0,930.0,924.0,944.0,929.0,951.0,948.0,945.0,929.0,938.0,945.0,970.0,939.0,944.0,915.0,940.0,935.0,915.0,903.0,931.0,897.0,906.0,914.0,887.0,925.0,929.0,912.0,978.0,937.0,902.0,880.0,863.0,843.0,857.0,842.0,845.0,836.0,856.0,868.0,873.0,865.0,873.0,858.0,879.0,861.0,873.0,869.0,864.0,847.0,832.0,847.0,854.0,794.0,779.0,796.0,810.0,801.0,832.0,857.0,869.0,853.0
0:19:08,30.0,1035.0,1068.0,1060.0,1023.0,1027.0,1027.0,1121.0,1096.0,1054.0,1017.0,1021.0,1032.0,1129.0,1074.0,1059.0,1085.0,1036.0,1099.0,1028.0,1029.0,1064.0,963.0,929.0,939.0,960.0,948.0,999.0,951.0,950.0,970.0,962.0,983.0,966.0,969.0,952.0,960.0,980.0,994.0,967.0,961.0,936.0,970.0,935.0,923.0,948.0,955.0,931.0,934.0,938.0,912.0,952.0,942.0,940.0,1006.0,902.0,907.0,864.0,850.0,847.0,842.0,838.0,834.0,843.0,861.0,868.0,894.0,850.0,879.0,856.0,903.0,877.0,893.0,881.0,858.0,858.0,813.0,818.0,850.0,787.0,774.0,789.0,811.0,776.0,807.0,854.0,873.0,851.0
0:29:08,30.0,1073.0,1101.0,1101.0,1049.0,1065.0,1038.0,1121.0,1123.0,1079.0,1030.0,1135.0,1069.0,1155.0,1126.0,1099.0,1108.0,1065.0,1144.0,1058.0,1046.0,1092.0,991.0,964.0,985.0,978.0,962.0,1021.0,969.0,961.0,987.0,986.0,1015.0,981.0,1005.0,967.0,992.0,1014.0,1032.0,987.0,972.0,937.0,1010.0,958.0,942.0,962.0,1013.0,975.0,976.0,988.0,957.0,1016.0,994.0,987.0,1049.0,921.0,933.0,876.0,839.0,845.0,827.0,797.0,802.0,815.0,881.0,897.0,915.0,888.0,893.0,879.0,927.0,910.0,907.0,933.0,890.0,893.0,821.0,831.0,858.0,785.0,768.0,776.0,781.0,775.0,795.0,866.0,869.0,843.0
0:39:08,30.0,1098.0,1130.0,1138.0,1085.0,1090.0,1063.0,1181.0,1147.0,1121.0,1070.0,1063.0,1120.0,1200.0,1176.0,1146.0,1174.0,1109.0,1202.0,1103.0,1099.0,1122.0,996.0,992.0,1013.0,990.0,982.0,1068.0,987.0,993.0,1015.0,1042.0,1050.0,1041.0,1063.0,1048.0,1077.0,1082.0,1081.0,1039.0,1040.0,964.0,1032.0,986.0,982.0,1025.0,1081.0,1023.0,1013.0,1027.0,1000.0,1082.0,1026.0,1039.0,1088.0,922.0,957.0,881.0,829.0,832.0,840.0,804.0,782.0,794.0,906.0,922.0,935.0,927.0,951.0,942.0,975.0,939.0,964.0,964.0,931.0,933.0,835.0,851.0,878.0,777.0,769.0,768.0,765.0,751.0,773.0,861.0,871.0,841.0
0:49:08,30.0,1136.0,1194.0,1179.0,1111.0,1123.0,1084.0,1240.0,1214.0,1190.0,1140.0,1278.0,1193.0,1291.0,1240.0,1226.0,1228.0,1173.0,1278.0,1164.0,1140.0,1175.0,1036.0,1027.0,1047.0,1009.0,1001.0,1090.0,1047.0,1026.0,1064.0,1096.0,1104.0,1087.0,1105.0,1122.0,1115.0,1138.0,1126.0,1085.0,1085.0,1030.0,1076.0,1025.0,1022.0,1050.0,1150.0,1073.0,1078.0,1093.0,1081.0,1172.0,1095.0,1079.0,1148.0,941.0,1000.0,897.0,812.0,820.0,804.0,788.0,761.0,785.0,930.0,958.0,960.0,976.0,1005.0,993.0,1039.0,1005.0,1021.0,1002.0,983.0,966.0,851.0,848.0,914.0,773.0,764.0,758.0,761.0,746.0,764.0,855.0,862.0,844.0
0:59:08,30.0,1168.0,1233.0,1238.0,1153.0,1210.0,1169.0,1313.0,1256.0,1233.0,1208.0,1258.0,1238.0,1406.0,1349.0,1296.0,1334.0,1266.0,1387.0,1221.0,1239.0,1247.0,1062.0,1051.0,1075.0,1030.0,1046.0,1119.0,1073.0,1063.0,1093.0,1150.0,1169.0,1150.0,1149.0,1203.0,1192.0,1236.0,1210.0,1194.0,1147.0,1082.0,1121.0,1082.0,1059.0,1091.0,1265.0,1164.0,1166.0,1189.0,1136.0,1263.0,1174.0,1149.0,1221.0,963.0,1042.0,908.0,808.0,795.0,802.0,750.0,766.0,770.0,974.0,973.0,997.0,1026.0,1033.0,1036.0,1105.0,1063.0,1092.0,1056.0,1030.0,1007.0,857.0,886.0,931.0,762.0,748.0,768.0,743.0,746.0,746.0,854.0,855.0,831.0
1:09:08,30.0,1242.0,1300.0,1301.0,1215.0,1241.0,1181.0,1378.0,1351.0,1302.0,1295.0,1266.0,1323.0,1527.0,1447.0,1375.0,1447.0,1378.0,1468.0,1323.0,1324.0,1340.0,1110.0,1094.0,1135.0,1090.0,1084.0,1163.0,1131.0,1119.0,1140.0,1225.0,1254.0,1232.0,1246.0,1296.0,1289.0,1314.0,1319.0,1276.0,1256.0,1175.0,1203.0,1136.0,1138.0,1191.0,1358.0,1218.0,1267.0,1285.0,1201.0,1361.0,1246.0,1204.0,1337.0,984.0,1076.0,924.0,790.0,792.0,800.0,762.0,748.0,781.0,990.0,1010.0,1057.0,1094.0,1116.0,1073.0,1191.0,1143.0,1176.0,1097.0,1079.0,1031.0,882.0,887.0,950.0,760.0,744.0,758.0,744.0,734.0,745.0,852.0,847.0,838.0
1:19:08,30.0,1302.0,1376.0,1363.0,1262.0,1302.0,1250.0,1460.0,1418.0,1389.0,1402.0,1366.0,1414.0,1666.0,1614.0,1511.0,1581.0,1503.0,1609.0,1434.0,1465.0,1443.0,1144.0,1131.0,1188.0,1125.0,1116.0,1226.0,1173.0,1154.0,1204.0,1306.0,1328.0,1301.0,1347.0,1395.0,1367.0,1428.0,1433.0,1389.0,1366.0,1252.0,1315.0,1182.0,1169.0,1283.0,1452.0,1299.0,1354.0,1356.0,1288.0,1457.0,1359.0,1278.0,1403.0,1012.0,1109.0,944.0,787.0,787.0,800.0,747.0,755.0,750.0,1047.0,1063.0,1072.0,1158.0,1168.0,1147.0,1300.0,1199.0,1251.0,1147.0,1139.0,1097.0,886.0,910.0,983.0,756.0,731.0,736.0,730.0,726.0,734.0,846.0,845.0,835.0
1:29:08,30.0,1374.0,1400.0,1440.0,1332.0,1389.0,1319.0,1557.0,1488.0,1476.0,1503.0,1448.0,1514.0,1803.0,1742.0,1644.0,1702.0,1620.0,1754.0,1562.0,1544.0,1558.0,1211.0,1172.0,1225.0,1181.0,1187.0,1278.0,1197.0,1197.0,1249.0,1372.0,1441.0,1384.0,1501.0,1504.0,1486.0,1555.0,1543.0,1521.0,1464.0,1363.0,1429.0,1232.0,1223.0,1366.0,1520.0,1377.0,1443.0,1451.0,1359.0,1577.0,1450.0,1357.0,1512.0,1008.0,1152.0,951.0,768.0,783.0,775.0,750.0,740.0,738.0,1081.0,1100.0,1116.0,1200.0,1230.0,1203.0,1380.0,1276.0,1310.0,1233.0,1194.0,1153.0,878.0,932.0,1002.0,742.0,714.0,738.0,729.0,713.0,726.0,843.0,861.0,836.0
1:39:08,30.0,1453.0,1490.0,1512.0,1408.0,1462.0,1386.0,1646.0,1564.0,1548.0,1603.0,1612.0,1641.0,1965.0,1903.0,1765.0,1876.0,1774.0,1924.0,1654.0,1677.0,1662.0,1246.0,1236.0,1291.0,1226.0,1218.0,1360.0,1265.0,1257.0,1307.0,1482.0,1483.0,1472.0,1594.0,1645.0,1618.0,1703.0,1691.0,1669.0,1585.0,1464.0,1548.0,1308.0,1290.0,1480.0,1619.0,1455.0,1537.0,1540.0,1423.0,1664.0,1542.0,1407.0,1583.0,1033.0,1220.0,968.0,763.0,777.0,773.0,723.0,727.0,745.0,1114.0,1133.0,1143.0,1262.0,1271.0,1245.0,1464.0,1356.0,1380.0,1257.0,1239.0,1206.0,896.0,957.0,1029.0,735.0,736.0,734.0,724.0,725.0,730.0,854.0,865.0,828.0
