construct,dose_mM,elapsed_min,signal
UPRE1,0.0,0.0,2765.9487522871277
UPRE1,0.1,0.0,2852.8584139695254
UPRE1,0.2,0.0,2870.9401124791
UPRE1,0.5,0.0,2826.894640720448
UPRE1,1.0,0.0,2796.5093197772935
UPRE1,2.0,0.0,2554.116465863454
UPRE1,5.0,0.0,2504.320662082617
UPRE1,0.0,10.0,2798.1854319078498
UPRE1,0.1,10.0,2880.6808015745214
UPRE1,0.2,10.0,2533.6590223944877
UPRE1,0.5,10.0,2701.9146452460373
UPRE1,1.0,10.0,2504.757586598251
UPRE1,2.0,10.0,2447.0736457805647
UPRE1,5.0,10.0,2185.125448028674
UPRE1,0.0,20.0,2711.945146236008
UPRE1,0.1,20.0,2285.5836041319913
UPRE1,0.2,20.0,2422.7665165165167
UPRE1,0.5,20.0,2384.9668550010197
UPRE1,1.0,20.0,2242.4331981005525
UPRE1,2.0,20.0,2288.0111931850342
UPRE1,5.0,20.0,1833.6093017746407
UPRE1,0.0,30.0,2409.45934986135
UPRE1,0.1,30.0,2382.5662651066705
UPRE1,0.2,30.0,2504.273932906899
UPRE1,0.5,30.0,2095.7055163373893
UPRE1,1.0,30.0,2477.672043576522
UPRE1,2.0,30.0,2348.109144967151
UPRE1,5.0,30.0,2017.1522011033933
UPRE1,0.0,40.0,2646.316262353998
UPRE1,0.1,40.0,2721.7379578819005
UPRE1,0.2,40.0,2317.855648150703
UPRE1,0.5,40.0,2324.044676306368
UPRE1,1.0,40.0,2563.0961866062657
UPRE1,2.0,40.0,2508.041006975491
UPRE1,5.0,40.0,2215.839967916028
UPRE1,0.0,50.0,2787.621176502275
UPRE1,0.1,50.0,2811.146364604598
UPRE1,0.2,50.0,2659.860807945523
UPRE1,0.5,50.0,2849.504501517724
UPRE1,1.0,50.0,2559.0092037305135
UPRE1,2.0,50.0,2780.132064061537
UPRE1,5.0,50.0,2697.4100444939045
UPRE1,0.0,60.0,3015.964865819209
UPRE1,0.1,60.0,2928.0275034155297
UPRE1,0.2,60.0,2970.1305409748834
UPRE1,0.5,60.0,3137.1632136053086
UPRE1,1.0,60.0,3663.970939320745
UPRE1,2.0,60.0,2944.0927644118387
UPRE1,5.0,60.0,2872.1761572737764
UPRE1,0.0,70.0,2952.1981968017776
UPRE1,0.1,70.0,2875.961272718499
UPRE1,0.2,70.0,3091.923151635265
UPRE1,0.5,70.0,2942.783877932767
UPRE1,1.0,70.0,3575.5122070911543
UPRE1,2.0,70.0,3349.604448767944
UPRE1,5.0,70.0,3183.5371121108224
UPRE1,0.0,80.0,2709.514178413077
UPRE1,0.1,80.0,2696.60786841694
UPRE1,0.2,80.0,2938.6568330116716
UPRE1,0.5,80.0,3286.2114418054593
