elapsed_hms,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,A4,A5,A6,B4,B5,B6,C4,C5,C6,D4,D5,D6,E4,E5,E6,F4,F5,F6,G4,G5,G6,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,F7,F8,F9,G7,G8,G9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F10,F11,F12,G10,G11,G12,H1,H2,H3
0:09:08,231.0,246.0,252.0,228.0,241.0,258.0,253.0,257.0,216.0,239.0,220.0,235.0,224.0,264.0,257.0,259.0,231.0,227.0,228.0,243.0,201.0,215.0,300.0,230.0,248.0,259.0,227.0,220.0,230.0,264.0,258.0,259.0,224.0,297.0,351.0,259.0,374.0,268.0,247.0,251.0,261.0,221.0,43.0,49.0,33.0,57.0,47.0,59.0,37.0,42.0,40.0,51.0,34.0,43.0,49.0,34.0,31.0,5.0,20.0,16.0,16.0,12.0,15.0,75.0,81.0,57.0,70.0,70.0,52.0,58.0,74.0,74.0,58.0,73.0,78.0,47.0,67.0,62.0,27.0,33.0,44.0,40.0,51.0,41.0,-48.0,25.0,22.0
0:19:08,260.0,256.0,288.0,248.0,266.0,288.0,283.0,273.0,290.0,257.0,244.0,272.0,279.0,306.0,262.0,290.0,280.0,258.0,289.0,323.0,233.0,248.0,403.0,249.0,252.0,291.0,281.0,271.0,288.0,390.0,278.0,311.0,274.0,339.0,394.0,356.0,438.0,337.0,308.0,351.0,306.0,301.0,49.0,48.0,42.0,71.0,64.0,64.0,54.0,52.0,48.0,67.0,52.0,52.0,37.0,36.0,40.0,12.0,24.0,19.0,31.0,9.0,12.0,72.0,86.0,82.0,66.0,76.0,72.0,78.0,93.0,79.0,74.0,92.0,82.0,63.0,72.0,60.0,27.0,47.0,34.0,26.0,37.0,38.0,-45.0,26.0,19.0
0:29:08,266.0,282.0,313.0,282.0,257.0,339.0,307.0,348.0,304.0,293.0,316.0,339.0,317.0,370.0,341.0,321.0,355.0,337.0,338.0,351.0,309.0,248.0,406.0,299.0,313.0,285.0,352.0,252.0,322.0,445.0,287.0,349.0,310.0,339.0,418.0,324.0,302.0,248.0,286.0,373.0,304.0,237.0,54.0,45.0,62.0,73.0,69.0,73.0,81.0,50.0,59.0,83.0,53.0,57.0,45.0,53.0,24.0,-3.0,2.0,-2.0,31.0,-5.0,-2.0,92.0,91.0,74.0,85.0,97.0,91.0,80.0,110.0,94.0,82.0,103.0,101.0,60.0,85.0,79.0,19.0,35.0,18.0,10.0,23.0,38.0,-48.0,30.0,18.0
0:39:08,313.0,302.0,367.0,299.0,294.0,345.0,339.0,358.0,313.0,304.0,352.0,364.0,358.0,404.0,344.0,373.0,383.0,372.0,344.0,365.0,324.0,281.0,414.0,282.0,276.0,315.0,331.0,292.0,290.0,486.0,272.0,319.0,280.0,316.0,332.0,327.0,365.0,261.0,338.0,318.0,342.0,266.0,77.0,68.0,67.0,135.0,112.0,107.0,96.0,81.0,86.0,102.0,83.0,96.0,53.0,65.0,31.0,7.0,3.0,15.0,24.0,-16.0,3.0,102.0,120.0,106.0,132.0,139.0,113.0,126.0,137.0,136.0,116.0,132.0,131.0,88.0,96.0,90.0,8.0,29.0,25.0,14.0,22.0,42.0,-43.0,25.0,19.0
0:49:08,337.0,326.0,402.0,329.0,326.0,401.0,374.0,382.0,346.0,344.0,369.0,413.0,403.0,449.0,361.0,429.0,426.0,411.0,360.0,395.0,368.0,363.0,455.0,309.0,345.0,353.0,482.0,412.0,328.0,337.0,379.0,341.0,340.0,381.0,451.0,361.0,402.0,301.0,376.0,342.0,379.0,307.0,119.0,86.0,88.0,166.0,158.0,154.0,156.0,143.0,129.0,170.0,114.0,121.0,74.0,74.0,60.0,14.0,6.0,10.0,7.0,-18.0,-3.0,118.0,130.0,115.0,162.0,162.0,148.0,165.0,194.0,163.0,161.0,185.0,155.0,113.0,118.0,120.0,20.0,29.0,16.0,0.0,11.0,47.0,-35.0,17.0,18.0
0:59:08,351.0,333.0,426.0,324.0,348.0,413.0,393.0,350.0,300.0,370.0,413.0,424.0,425.0,494.0,400.0,498.0,444.0,437.0,378.0,381.0,388.0,430.0,451.0,336.0,355.0,412.0,523.0,457.0,332.0,369.0,428.0,386.0,354.0,426.0,438.0,397.0,442.0,340.0,427.0,361.0,457.0,323.0,125.0,88.0,100.0,191.0,185.0,181.0,189.0,173.0,162.0,194.0,153.0,172.0,73.0,72.0,67.0,-4.0,2.0,14.0,-4.0,-27.0,-16.0,118.0,132.0,150.0,167.0,179.0,169.0,198.0,219.0,183.0,183.0,220.0,181.0,153.0,145.0,144.0,6.0,16.0,20.0,-1.0,7.0,22.0,-45.0,28.0,16.0
1:09:08,403.0,356.0,409.0,353.0,381.0,388.0,420.0,364.0,330.0,416.0,435.0,390.0,475.0,535.0,449.0,542.0,445.0,493.0,420.0,404.0,426.0,466.0,505.0,365.0,411.0,447.0,530.0,505.0,381.0,393.0,408.0,424.0,424.0,497.0,488.0,454.0,506.0,404.0,484.0,399.0,509.0,382.0,111.0,101.0,130.0,214.0,224.0,218.0,211.0,197.0,183.0,229.0,200.0,207.0,78.0,84.0,74.0,-2.0,1.0,9.0,-5.0,-27.0,-13.0,120.0,137.0,148.0,198.0,184.0,185.0,222.0,251.0,230.0,213.0,258.0,213.0,174.0,169.0,156.0,-2.0,16.0,22.0,-1.0,1.0,16.0,-44.0,28.0,15.0
1:19:08,416.0,375.0,434.0,377.0,388.0,416.0,409.0,401.0,368.0,456.0,479.0,439.0,472.0,516.0,505.0,630.0,511.0,534.0,468.0,468.0,482.0,509.0,534.0,414.0,447.0,510.0,517.0,535.0,445.0,451.0,449.0,501.0,489.0,578.0,578.0,544.0,587.0,450.0,563.0,481.0,563.0,448.0,134.0,118.0,134.0,244.0,252.0,248.0,230.0,220.0,230.0,270.0,234.0,248.0,90.0,113.0,105.0,-1.0,0.0,11.0,1.0,-6.0,-18.0,155.0,169.0,163.0,234.0,211.0,207.0,252.0,249.0,233.0,257.0,303.0,251.0,197.0,192.0,179.0,15.0,33.0,10.0,15.0,8.0,17.0,-46.0,25.0,21.0
1:29:08,385.0,415.0,435.0,398.0,425.0,429.0,423.0,414.0,383.0,494.0,438.0,472.0,517.0,557.0,562.0,675.0,569.0,561.0,537.0,561.0,521.0,543.0,559.0,446.0,458.0,536.0,571.0,581.0,492.0,490.0,500.0,551.0,532.0,632.0,626.0,607.0,624.0,515.0,635.0,519.0,637.0,511.0,128.0,117.0,121.0,237.0,263.0,249.0,226.0,244.0,261.0,281.0,255.0,270.0,97.0,106.0,93.0,-15.0,-11.0,-16.0,-29.0,-39.0,-22.0,152.0,152.0,170.0,237.0,213.0,217.0,258.0,259.0,255.0,276.0,326.0,276.0,187.0,193.0,184.0,-10.0,0.0,11.0,-10.0,-14.0,14.0,-51.0,24.0,27.0
1:39:08,421.0,425.0,486.0,419.0,439.0,468.0,458.0,453.0,416.0,549.0,482.0,516.0,603.0,671.0,660.0,766.0,666.0,635.0,599.0,627.0,549.0,582.0,588.0,481.0,492.0,595.0,648.0,638.0,527.0,544.0,544.0,636.0,614.0,722.0,726.0,695.0,706.0,578.0,692.0,585.0,733.0,554.0,151.0,134.0,146.0,273.0,293.0,292.0,250.0,277.0,272.0,335.0,295.0,302.0,103.0,140.0,123.0,-7.0,-19.0,-9.0,-13.0,-27.0,-18.0,170.0,188.0,169.0,239.0,239.0,238.0,298.0,305.0,280.0,327.0,336.0,303.0,223.0,240.0,223.0,-10.0,13.0,11.0,-15.0,-2.0,12.0,-41.0,23.0,19.0
