elapsed_hms,temperature_c,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,A4,A5,A6,B4,B5,B6,C4,C5,C6,D4,D5,D6,E4,E5,E6,F4,F5,F6,G4,G5,G6,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,F7,F8,F9,G7,G8,G9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F10,F11,F12,G10,G11,G12,H1,H2,H3
0:09:08,30.0,639.0,654.0,660.0,636.0,649.0,666.0,661.0,665.0,624.0,647.0,628.0,643.0,632.0,672.0,665.0,667.0,639.0,635.0,636.0,651.0,609.0,623.0,708.0,638.0,656.0,667.0,635.0,628.0,638.0,672.0,666.0,667.0,632.0,705.0,759.0,667.0,782.0,676.0,655.0,659.0,669.0,629.0,451.0,457.0,441.0,465.0,455.0,467.0,445.0,450.0,448.0,459.0,442.0,451.0,457.0,442.0,439.0,413.0,428.0,424.0,424.0,420.0,423.0,483.0,489.0,465.0,478.0,478.0,460.0,466.0,482.0,482.0,466.0,481.0,486.0,455.0,475.0,470.0,435.0,441.0,452.0,448.0,459.0,449.0,360.0,433.0,430.0
0:19:08,30.0,663.0,659.0,691.0,651.0,669.0,691.0,686.0,676.0,693.0,660.0,647.0,675.0,682.0,709.0,665.0,693.0,683.0,661.0,692.0,726.0,636.0,651.0,806.0,652.0,655.0,694.0,684.0,674.0,691.0,793.0,681.0,714.0,677.0,742.0,797.0,759.0,841.0,740.0,711.0,754.0,709.0,704.0,452.0,451.0,445.0,474.0,467.0,467.0,457.0,455.0,451.0,470.0,455.0,455.0,440.0,439.0,443.0,415.0,427.0,422.0,434.0,412.0,415.0,475.0,489.0,485.0,469.0,479.0,475.0,481.0,496.0,482.0,477.0,495.0,485.0,466.0,475.0,463.0,430.0,450.0,437.0,429.0,440.0,441.0,358.0,429.0,422.0
0:29:08,30.0,673.0,689.0,720.0,689.0,664.0,746.0,714.0,755.0,711.0,700.0,723.0,746.0,724.0,777.0,748.0,728.0,762.0,744.0,745.0,758.0,716.0,655.0,813.0,706.0,720.0,692.0,759.0,659.0,729.0,852.0,694.0,756.0,717.0,746.0,825.0,731.0,709.0,655.0,693.0,780.0,711.0,644.0,461.0,452.0,469.0,480.0,476.0,480.0,488.0,457.0,466.0,490.0,460.0,464.0,452.0,460.0,431.0,404.0,409.0,405.0,438.0,402.0,405.0,499.0,498.0,481.0,492.0,504.0,498.0,487.0,517.0,501.0,489.0,510.0,508.0,467.0,492.0,486.0,426.0,442.0,425.0,417.0,430.0,445.0,359.0,437.0,425.0
0:39:08,30.0,716.0,705.0,770.0,702.0,697.0,748.0,742.0,761.0,716.0,707.0,755.0,767.0,761.0,807.0,747.0,776.0,786.0,775.0,747.0,768.0,727.0,684.0,817.0,685.0,679.0,718.0,734.0,695.0,693.0,889.0,675.0,722.0,683.0,719.0,735.0,730.0,768.0,664.0,741.0,721.0,745.0,669.0,480.0,471.0,470.0,538.0,515.0,510.0,499.0,484.0,489.0,505.0,486.0,499.0,456.0,468.0,434.0,410.0,406.0,418.0,427.0,387.0,406.0,505.0,523.0,509.0,535.0,542.0,516.0,529.0,540.0,539.0,519.0,535.0,534.0,491.0,499.0,493.0,411.0,432.0,428.0,417.0,425.0,445.0,360.0,428.0,422.0
0:49:08,30.0,736.0,725.0,801.0,728.0,725.0,800.0,773.0,781.0,745.0,743.0,768.0,812.0,802.0,848.0,760.0,828.0,825.0,810.0,759.0,794.0,767.0,762.0,854.0,708.0,744.0,752.0,881.0,811.0,727.0,736.0,778.0,740.0,739.0,780.0,850.0,760.0,801.0,700.0,775.0,741.0,778.0,706.0,518.0,485.0,487.0,565.0,557.0,553.0,555.0,542.0,528.0,569.0,513.0,520.0,473.0,473.0,459.0,413.0,405.0,409.0,406.0,381.0,396.0,517.0,529.0,514.0,561.0,561.0,547.0,564.0,593.0,562.0,560.0,584.0,554.0,512.0,517.0,519.0,419.0,428.0,415.0,399.0,410.0,446.0,364.0,416.0,417.0
0:59:08,30.1,756.0,738.0,831.0,729.0,753.0,818.0,798.0,755.0,705.0,775.0,818.0,829.0,830.0,899.0,805.0,903.0,849.0,842.0,783.0,786.0,793.0,835.0,856.0,741.0,760.0,817.0,928.0,862.0,737.0,774.0,833.0,791.0,759.0,831.0,843.0,802.0,847.0,745.0,832.0,766.0,862.0,728.0,530.0,493.0,505.0,596.0,590.0,586.0,594.0,578.0,567.0,599.0,558.0,577.0,478.0,477.0,472.0,401.0,407.0,419.0,401.0,378.0,389.0,523.0,537.0,555.0,572.0,584.0,574.0,603.0,624.0,588.0,588.0,625.0,586.0,558.0,550.0,549.0,411.0,421.0,425.0,404.0,412.0,427.0,360.0,433.0,421.0
1:09:08,30.1,804.0,757.0,810.0,754.0,782.0,789.0,821.0,765.0,731.0,817.0,836.0,791.0,876.0,936.0,850.0,943.0,846.0,894.0,821.0,805.0,827.0,867.0,906.0,766.0,812.0,848.0,931.0,906.0,782.0,794.0,809.0,825.0,825.0,898.0,889.0,855.0,907.0,805.0,885.0,800.0,910.0,783.0,512.0,502.0,531.0,615.0,625.0,619.0,612.0,598.0,584.0,630.0,601.0,608.0,479.0,485.0,475.0,399.0,402.0,410.0,396.0,374.0,388.0,521.0,538.0,549.0,599.0,585.0,586.0,623.0,652.0,631.0,614.0,659.0,614.0,575.0,570.0,557.0,399.0,417.0,423.0,400.0,402.0,417.0,357.0,429.0,416.0
1:19:08,30.1,809.0,768.0,827.0,770.0,781.0,809.0,802.0,794.0,761.0,849.0,872.0,832.0,865.0,909.0,898.0,1023.0,904.0,927.0,861.0,861.0,875.0,902.0,927.0,807.0,840.0,903.0,910.0,928.0,838.0,844.0,842.0,894.0,882.0,971.0,971.0,937.0,980.0,843.0,956.0,874.0,956.0,841.0,527.0,511.0,527.0,637.0,645.0,641.0,623.0,613.0,623.0,663.0,627.0,641.0,483.0,506.0,498.0,392.0,393.0,404.0,394.0,387.0,375.0,548.0,562.0,556.0,627.0,604.0,600.0,645.0,642.0,626.0,650.0,696.0,644.0,590.0,585.0,572.0,408.0,426.0,403.0,408.0,401.0,410.0,347.0,418.0,414.0
1:29:08,30.1,788.0,818.0,838.0,801.0,828.0,832.0,826.0,817.0,786.0,897.0,841.0,875.0,920.0,960.0,965.0,1078.0,972.0,964.0,940.0,964.0,924.0,946.0,962.0,849.0,861.0,939.0,974.0,984.0,895.0,893.0,903.0,954.0,935.0,1035.0,1029.0,1010.0,1027.0,918.0,1038.0,922.0,1040.0,914.0,531.0,520.0,524.0,640.0,666.0,652.0,629.0,647.0,664.0,684.0,658.0,673.0,500.0,509.0,496.0,388.0,392.0,387.0,374.0,364.0,381.0,555.0,555.0,573.0,640.0,616.0,620.0,661.0,662.0,658.0,679.0,729.0,679.0,590.0,596.0,587.0,393.0,403.0,414.0,393.0,389.0,417.0,352.0,427.0,430.0
1:39:08,30.1,821.0,825.0,886.0,819.0,839.0,868.0,858.0,853.0,816.0,949.0,882.0,916.0,1003.0,1071.0,1060.0,1166.0,1066.0,1035.0,999.0,1027.0,949.0,982.0,988.0,881.0,892.0,995.0,1048.0,1038.0,927.0,944.0,944.0,1036.0,1014.0,1122.0,1126.0,1095.0,1106.0,978.0,1092.0,985.0,1133.0,954.0,551.0,534.0,546.0,673.0,693.0,692.0,650.0,677.0,672.0,735.0,695.0,702.0,503.0,540.0,523.0,393.0,381.0,391.0,387.0,373.0,382.0,570.0,588.0,569.0,639.0,639.0,638.0,698.0,705.0,680.0,727.0,736.0,703.0,623.0,640.0,623.0,390.0,413.0,411.0,385.0,398.0,412.0,359.0,423.0,419.0
