elapsed_hms,temperature_c,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:08:18,30.0,0.2077,0.2048,0.1967,0.1911,0.1892,0.1775,0.1965,0.2107,0.1959,0.1848,0.1794,0.1769,0.1999,0.2016,0.1967,0.1961,0.1859,0.2002,0.1946,0.1953,0.2072,0.1852,0.176,0.1716,0.202,0.1952,0.2143,0.1899,0.1944,0.1955,0.1952,0.195,0.1905,0.171,0.1836,0.1789,0.1915,0.1996,0.2082,0.1973,0.2028,0.2049,0.2121,0.1989,0.201,0.1705,0.168,0.1887,0.2047,0.1875,0.1964,0.2012,0.1911,0.1985,0.1884,0.2059,0.1881,0.1741,0.1822,0.1754,0.2075,0.193,0.2003,0.1873,0.1908,0.194,0.2042,0.1979,0.2025,0.178,0.1869,0.1813,0.1879,0.2003,0.1963,0.2016,0.1877,0.2137,0.1787,0.1948,0.2043,0.1681,0.1826,0.1853,0.087,0.0899,0.0884,0.0903,0.0907,0.0895,0.0888,0.0886,0.0895,0.0911,0.0901,0.0903
0:18:18,30.0,0.2208,0.2176,0.2066,0.2016,0.2008,0.1881,0.2098,0.2202,0.2152,0.1904,0.1872,0.2006,0.2148,0.2131,0.225,0.2096,0.1989,0.2376,0.2057,0.2865,0.2709,0.1927,0.2032,0.186,0.213,0.2053,0.2263,0.2007,0.2055,0.2053,0.2868,0.2206,0.2508,0.1793,0.2193,0.1867,0.201,0.2171,0.2208,0.2086,0.213,0.218,0.2289,0.208,0.2116,0.18,0.1842,0.1955,0.2174,0.2254,0.204,0.213,0.2047,0.2117,0.1987,0.2166,0.1965,0.1814,0.1877,0.1826,0.2252,0.2497,0.2125,0.2034,0.205,0.2095,0.2142,0.2084,0.2151,0.1868,0.1948,0.1893,0.2365,0.2195,0.2091,0.2182,0.2178,0.2364,0.1888,0.2269,0.2147,0.1774,0.1912,0.1938,0.0871,0.0916,0.0887,0.0903,0.0906,0.0895,0.0887,0.0885,0.0895,0.091,0.0901,0.0902
0:28:18,30.0,0.2425,0.2364,0.2188,0.2474,0.2409,0.2043,0.2446,0.234,0.2774,0.2071,0.2007,0.2655,0.2726,0.2707,0.2508,0.2472,0.2047,0.2948,0.2741,0.3183,0.3184,0.2152,0.2161,0.2563,0.2868,0.2586,0.2696,0.2674,0.2758,0.2495,0.3198,0.2997,0.2857,0.2076,0.2939,0.2005,0.2482,0.2703,0.3063,0.2573,0.2918,0.2917,0.3194,0.2512,0.2683,0.1883,0.2685,0.2008,0.3358,0.2222,0.2521,0.2384,0.2746,0.2855,0.2221,0.2256,0.2123,0.1875,0.1938,0.1849,0.2474,0.2995,0.2322,0.2802,0.2696,0.2794,0.2735,0.2615,0.2555,0.2019,0.2111,0.203,0.258,0.2228,0.228,0.3021,0.2885,0.3091,0.2338,0.2605,0.2309,0.1861,0.1995,0.1984,0.0872,0.0903,0.0893,0.0903,0.0904,0.0893,0.0885,0.0884,0.0894,0.0909,0.09,0.0901
0:38:18,30.0,0.2483,0.2883,0.2324,0.2744,0.2751,0.2075,0.2257,0.246,0.3307,0.2177,0.2058,0.2377,0.3127,0.2972,0.2337,0.2968,0.2266,0.3042,0.3084,0.3325,0.333,0.2639,0.2251,0.2654,0.3159,0.2711,0.2847,0.2801,0.2873,0.3025,0.3246,0.3264,0.3146,0.2557,0.2959,0.2095,0.3374,0.2998,0.3293,0.2956,0.2947,0.3118,0.3435,0.2907,0.3142,0.2469,0.2798,0.2636,0.3451,0.2298,0.2675,0.2568,0.2921,0.2993,0.2166,0.317,0.2073,0.1944,0.239,0.2022,0.2546,0.2979,0.2506,0.274,0.2486,0.2885,0.3038,0.2873,0.2896,0.2037,0.2597,0.208,0.2607,0.2537,0.2629,0.3148,0.2966,0.3211,0.252,0.2503,0.285,0.1975,0.2057,0.2013,0.0877,0.0916,0.0895,0.0903,0.0903,0.0892,0.0884,0.0883,0.0893,0.0909,0.09,0.09
0:48:18,30.0,0.2591,0.298,0.2469,0.2863,0.2925,0.2173,0.2422,0.2542,0.333,0.2203,0.2142,0.2757,0.3061,0.2905,0.2446,0.3119,0.2265,0.2714,0.3219,0.259,0.3102,0.2533,0.2126,0.2497,0.2838,0.2865,0.3022,0.2809,0.3256,0.319,0.3078,0.3342,0.3422,0.2662,0.2939,0.2124,0.326,0.2644,0.3063,0.2991,0.3411,0.322,0.3581,0.2273,0.3289,0.2456,0.2774,0.2385,0.315,0.2994,0.2436,0.2508,0.3048,0.3011,0.2197,0.3293,0.2046,0.2387,0.249,0.1928,0.2667,0.277,0.2547,0.267,0.2938,0.2853,0.2981,0.2862,0.2779,0.1979,0.2507,0.2077,0.2737,0.246,0.2841,0.31,0.3,0.3354,0.2524,0.2377,0.2845,0.241,0.2229,0.2114,0.0871,0.0918,0.0898,0.0903,0.0902,0.0893,0.0884,0.0882,0.0893,0.0909,0.09,0.09
0:58:18,30.1,0.2751,0.2973,0.2622,0.2672,0.2978,0.2322,0.2968,0.2665,0.3215,0.2327,0.2283,0.2671,0.2959,0.3201,0.2596,0.3402,0.2386,0.2636,0.3145,0.2671,0.3207,0.2914,0.2289,0.2874,0.3419,0.3219,0.2832,0.3198,0.3329,0.3392,0.3314,0.3354,0.3188,0.2795,0.3103,0.2235,0.329,0.2606,0.2764,0.3031,0.3494,0.3306,0.3609,0.2349,0.3318,0.2554,0.2802,0.3085,0.3416,0.327,0.2573,0.2657,0.3178,0.3183,0.2243,0.3296,0.2463,0.2586,0.2656,0.2073,0.2744,0.3006,0.3124,0.2745,0.2857,0.2895,0.3042,0.3079,0.2887,0.1982,0.2723,0.2059,0.2937,0.2558,0.2815,0.3199,0.2818,0.33,0.2742,0.2559,0.2813,0.232,0.21,0.2047,0.0868,0.0912,0.0895,0.0903,0.0902,0.0892,0.0883,0.088,0.0893,0.0908,0.09,0.09
1:08:18,30.0,0.2892,0.3053,0.2786,0.2951,0.298,0.2449,0.3227,0.277,0.3367,0.2476,0.2406,0.2468,0.3179,0.3573,0.3101,0.339,0.2499,0.2661,0.3115,0.2594,0.3534,0.3162,0.2339,0.2588,0.361,0.3513,0.3546,0.3191,0.3337,0.3295,0.3148,0.3324,0.3194,0.2902,0.3069,0.2349,0.3266,0.2731,0.2828,0.3216,0.3537,0.3402,0.3741,0.2405,0.351,0.2895,0.2746,0.3206,0.3328,0.2755,0.2712,0.2725,0.3204,0.3276,0.2165,0.3353,0.2171,0.2668,0.2668,0.2874,0.2863,0.3069,0.287,0.2847,0.2898,0.2945,0.3155,0.3039,0.2872,0.249,0.2733,0.2446,0.2887,0.271,0.2843,0.3089,0.2906,0.3143,0.278,0.2213,0.3103,0.2361,0.2289,0.2222,0.0866,0.0913,0.0897,0.0903,0.0901,0.0891,0.0882,0.088,0.0892,0.0908,0.09,0.0899
1:18:18,30.0,0.3054,0.3478,0.2983,0.2735,0.3281,0.2571,0.3553,0.292,0.3521,0.2622,0.2537,0.2909,0.3536,0.3594,0.3674,0.3508,0.2624,0.2893,0.3513,0.2724,0.3721,0.3105,0.2479,0.3062,0.2862,0.3378,0.3988,0.3399,0.356,0.3514,0.29,0.3369,0.3511,0.2872,0.3273,0.2449,0.2843,0.2884,0.2998,0.3352,0.3607,0.2895,0.3634,0.2484,0.3411,0.284,0.2648,0.2856,0.3041,0.2873,0.2819,0.3145,0.3236,0.3307,0.2207,0.3451,0.2128,0.2676,0.2639,0.2019,0.303,0.2767,0.2869,0.288,0.2941,0.2953,0.3228,0.3142,0.3145,0.2011,0.2592,0.2022,0.3019,0.2853,0.2797,0.2847,0.2635,0.3061,0.2855,0.2241,0.3164,0.2396,0.2326,0.2096,0.0864,0.0919,0.0892,0.0903,0.0901,0.0891,0.0882,0.088,0.0892,0.0909,0.0901,0.09
1:28:18,30.0,0.3181,0.3665,0.3134,0.2891,0.3465,0.2691,0.3643,0.3059,0.3538,0.2817,0.2688,0.3162,0.3564,0.364,0.3535,0.3566,0.2747,0.3059,0.3565,0.2843,0.3832,0.3345,0.2603,0.328,0.3191,0.3078,0.4166,0.351,0.3619,0.3632,0.2747,0.2734,0.2674,0.2996,0.3431,0.2559,0.2947,0.3005,0.3194,0.2901,0.3737,0.3039,0.3558,0.2556,0.3191,0.2906,0.2558,0.2686,0.3211,0.2993,0.3342,0.328,0.3288,0.3368,0.2201,0.3371,0.2144,0.2634,0.2704,0.2405,0.3143,0.2912,0.3019,0.2972,0.2831,0.2897,0.3167,0.3089,0.3174,0.2166,0.2648,0.2165,0.3036,0.2926,0.2987,0.2968,0.2746,0.3031,0.2755,0.2239,0.3034,0.2556,0.2461,0.2118,0.0865,0.0917,0.0893,0.0903,0.09,0.089,0.0881,0.0879,0.0891,0.0907,0.0899,0.0899
1:38:18,30.1,0.3352,0.3809,0.3296,0.3002,0.3095,0.2842,0.3623,0.3176,0.3655,0.2929,0.2814,0.3461,0.3789,0.3907,0.3928,0.306,0.2878,0.3196,0.366,0.2968,0.3278,0.3491,0.2724,0.3375,0.3395,0.3497,0.4249,0.358,0.3729,0.3046,0.2877,0.363,0.3495,0.2814,0.351,0.2673,0.3116,0.3149,0.3335,0.3674,0.312,0.3186,0.341,0.2632,0.3124,0.2951,0.2815,0.2998,0.3339,0.3117,0.3577,0.3275,0.337,0.3266,0.2273,0.3294,0.2168,0.279,0.2909,0.2101,0.3278,0.2996,0.3138,0.3022,0.3073,0.3128,0.3183,0.3073,0.3219,0.2082,0.2675,0.2142,0.2909,0.3167,0.3201,0.3239,0.3142,0.3188,0.2851,0.2244,0.3134,0.2483,0.2464,0.217,0.0865,0.0909,0.0894,0.0903,0.09,0.089,0.088,0.0878,0.0891,0.0907,0.0899,0.0898
1:48:18,30.1,0.3515,0.3909,0.3462,0.315,0.357,0.2976,0.3669,0.33,0.3778,0.307,0.2945,0.3476,0.3922,0.404,0.3499,0.3343,0.3001,0.3332,0.3762,0.3106,0.3215,0.3579,0.2843,0.34,0.356,0.3717,0.4322,0.3678,0.3821,0.3362,0.2993,0.3749,0.359,0.3249,0.3542,0.2799,0.3274,0.3298,0.3431,0.3614,0.3255,0.3341,0.3856,0.2699,0.3618,0.2971,0.2757,0.2721,0.346,0.3249,0.3624,0.3437,0.3433,0.3271,0.2258,0.3472,0.2182,0.2846,0.2705,0.2055,0.3392,0.3114,0.3304,0.3112,0.3139,0.3208,0.3163,0.3121,0.322,0.2244,0.2767,0.2064,0.3011,0.3178,0.3275,0.3349,0.3096,0.3277,0.2827,0.232,0.3148,0.2243,0.2406,0.2095,0.087,0.0909,0.0893,0.0902,0.0898,0.0889,0.088,0.0877,0.0891,0.0907,0.0899,0.0898
