construct,dose_mM,elapsed_min,signal
UPRE1,0.0,0.0,3158.4403876493125
UPRE1,0.1,0.0,3162.183570000679
UPRE1,0.2,0.0,3110.9848869317634
UPRE1,0.5,0.0,3246.636928190326
UPRE1,1.0,0.0,3207.8640814273
UPRE1,2.0,0.0,3217.6470588235293
UPRE1,5.0,0.0,3314.293730960397
UPRE1,0.0,10.0,3086.714500777001
UPRE1,0.1,10.0,3022.6009758742202
UPRE1,0.2,10.0,3250.089312537044
UPRE1,0.5,10.0,3258.5340007215004
UPRE1,1.0,10.0,3155.7944373401533
UPRE1,2.0,10.0,2901.2524592728573
UPRE1,5.0,10.0,2877.058259201116
UPRE1,0.0,20.0,3078.532578532579
UPRE1,0.1,20.0,2565.950532737972
UPRE1,0.2,20.0,2529.8635800098264
UPRE1,0.5,20.0,2604.3585288363906
UPRE1,1.0,20.0,2750.5431819283936
UPRE1,2.0,20.0,2841.6493019648583
UPRE1,5.0,20.0,2904.6633928395568
UPRE1,0.0,30.0,2936.7345884839015
UPRE1,0.1,30.0,2599.2783271370718
UPRE1,0.2,30.0,2594.218305800959
UPRE1,0.5,30.0,2331.707629288275
UPRE1,1.0,30.0,2805.554022873194
UPRE1,2.0,30.0,2972.7081493385836
UPRE1,5.0,30.0,2866.6126502559014
UPRE1,0.0,40.0,2903.28798839477
UPRE1,0.1,40.0,2859.064126372745
UPRE1,0.2,40.0,2862.163327737399
UPRE1,0.5,40.0,2833.849878934625
UPRE1,1.0,40.0,3107.3977873977874
UPRE1,2.0,40.0,3304.544951005569
UPRE1,5.0,40.0,2985.655890003716
UPRE1,0.0,50.0,2989.6864755502647
UPRE1,0.1,50.0,2967.8820847618804
UPRE1,0.2,50.0,2784.918514513011
UPRE1,0.5,50.0,3284.0737092285076
UPRE1,1.0,50.0,3166.8611889200124
UPRE1,2.0,50.0,3298.3995237879158
UPRE1,5.0,50.0,3111.636229573374
UPRE1,0.0,60.0,3096.7019400352733
UPRE1,0.1,60.0,2668.3592598370747
UPRE1,0.2,60.0,2526.145673594225
UPRE1,0.5,60.0,3513.872025121025
UPRE1,1.0,60.0,3738.907517067221
UPRE1,2.0,60.0,3699.3064346252067
UPRE1,5.0,60.0,3655.7509157509157
UPRE1,0.0,70.0,3079.3003073704826
UPRE1,0.1,70.0,2656.1562870915386
UPRE1,0.2,70.0,3013.1796658825683
UPRE1,0.5,70.0,3934.997464740969
UPRE1,1.0,70.0,4289.979523718528
UPRE1,2.0,70.0,4305.7533979685495
UPRE1,5.0,70.0,3969.8301167430072
UPRE1,0.0,80.0,3095.463023227357
UPRE1,0.1,80.0,2881.9123822494607
UPRE1,0.2,80.0,3161.815895705115
UPRE1,0.5,80.0,4179.522225267526
UPRE1,1.0,80.0,4360.683008835717
UPRE1,2.0,80.0,4618.348905313066
UPRE1,5.0,80.0,4163.599486416115
UPRE1,0.0,90.0,3132.266782936118
UPRE1,0.1,90.0,2881.663581767847
UPRE1,0.2,90.0,3195.27586606684
UPRE1,0.5,90.0,4361.965961828201
UPRE1,1.0,90.0,4523.7493747228
UPRE1,2.0,90.0,5078.415990798945
UPRE1,5.0,90.0,4546.016819727085
UPRE1,0.0,100.0,3334.878069202777
UPRE1,0.1,100.0,3199.6369095037585
UPRE1,0.2,100.0,3385.459310518642
UPRE1,0.5,100.0,4646.632162192808
UPRE1,1.0,100.0,4945.191918152414
UPRE1,2.0,100.0,5495.114101653521
UPRE1,5.0,100.0,4951.603587797482
UPRE1,0.0,110.0,3415.4257026849277
UPRE1,0.1,110.0,3330.5616359896417
UPRE1,0.2,110.0,3488.0732424274215
UPRE1,0.5,110.0,4868.332211261696
UPRE1,1.0,110.0,5279.061399261348
UPRE1,2.0,110.0,5824.8713279619515
UPRE1,5.0,110.0,5135.537420903122
UPRE1,0.0,120.0,3557.2586801152247
UPRE1,0.1,120.0,3557.1615659832037
UPRE1,0.2,120.0,3664.5981226688587
UPRE1,0.5,120.0,5094.085706366408
