elapsed_hms,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,A4,A5,A6,B4,B5,B6,C4,C5,C6,D4,D5,D6,E4,E5,E6,F4,F5,F6,G4,G5,G6,A7,A8,A9,B7,B8,B9,C7,C8,C9,D7,D8,D9,E7,E8,E9,F7,F8,F9,G7,G8,G9,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F10,F11,F12,G10,G11,G12,H1,H2,H3
0:09:08,378.0,373.0,333.0,354.0,359.0,337.0,353.0,348.0,376.0,339.0,368.0,376.0,368.0,316.0,352.0,382.0,354.0,344.0,325.0,356.0,376.0,321.0,311.0,303.0,337.0,311.0,351.0,312.0,321.0,335.0,326.0,341.0,383.0,344.0,315.0,328.0,306.0,328.0,346.0,340.0,304.0,348.0,135.0,166.0,155.0,149.0,146.0,154.0,168.0,149.0,142.0,180.0,182.0,142.0,121.0,136.0,120.0,121.0,119.0,116.0,89.0,102.0,123.0,137.0,128.0,130.0,140.0,129.0,116.0,130.0,141.0,139.0,120.0,107.0,155.0,107.0,106.0,101.0,96.0,111.0,106.0,79.0,96.0,111.0,-3.0,-1.0,4.0
0:19:08,409.0,385.0,369.0,369.0,392.0,405.0,417.0,376.0,431.0,367.0,411.0,434.0,410.0,399.0,383.0,399.0,408.0,398.0,362.0,387.0,383.0,347.0,335.0,328.0,365.0,328.0,391.0,358.0,335.0,351.0,334.0,366.0,404.0,360.0,349.0,359.0,350.0,355.0,377.0,363.0,348.0,389.0,181.0,191.0,159.0,181.0,182.0,203.0,234.0,189.0,179.0,200.0,190.0,163.0,124.0,131.0,114.0,106.0,117.0,106.0,76.0,100.0,97.0,138.0,146.0,174.0,152.0,161.0,144.0,127.0,165.0,143.0,130.0,124.0,167.0,107.0,104.0,100.0,86.0,91.0,85.0,76.0,87.0,101.0,-7.0,5.0,1.0
0:29:08,476.0,434.0,415.0,441.0,457.0,452.0,472.0,421.0,494.0,444.0,475.0,520.0,524.0,431.0,471.0,466.0,480.0,472.0,398.0,426.0,442.0,416.0,393.0,359.0,405.0,367.0,457.0,416.0,399.0,438.0,423.0,458.0,484.0,425.0,422.0,441.0,426.0,434.0,466.0,459.0,418.0,482.0,208.0,254.0,217.0,214.0,221.0,245.0,269.0,254.0,232.0,256.0,246.0,219.0,128.0,141.0,132.0,101.0,105.0,93.0,70.0,94.0,87.0,188.0,173.0,200.0,203.0,197.0,197.0,161.0,226.0,166.0,142.0,163.0,174.0,92.0,104.0,116.0,78.0,80.0,87.0,64.0,68.0,74.0,2.0,0.0,-1.0
0:39:08,518.0,494.0,439.0,493.0,515.0,448.0,532.0,486.0,535.0,519.0,543.0,556.0,565.0,458.0,523.0,515.0,543.0,513.0,469.0,479.0,508.0,451.0,448.0,417.0,472.0,408.0,469.0,463.0,453.0,468.0,484.0,498.0,530.0,476.0,473.0,498.0,461.0,477.0,529.0,499.0,457.0,534.0,212.0,269.0,252.0,275.0,272.0,291.0,317.0,298.0,274.0,308.0,278.0,256.0,140.0,173.0,137.0,110.0,100.0,106.0,58.0,57.0,71.0,218.0,187.0,233.0,242.0,235.0,236.0,224.0,254.0,216.0,205.0,199.0,241.0,110.0,130.0,123.0,68.0,91.0,72.0,54.0,58.0,52.0,2.0,0.0,-2.0
0:49:08,524.0,524.0,488.0,517.0,576.0,516.0,581.0,542.0,605.0,558.0,574.0,620.0,661.0,558.0,574.0,572.0,599.0,574.0,512.0,508.0,569.0,491.0,488.0,430.0,532.0,419.0,530.0,511.0,505.0,528.0,547.0,557.0,603.0,509.0,534.0,581.0,528.0,544.0,576.0,557.0,513.0,595.0,238.0,251.0,284.0,342.0,319.0,354.0,378.0,372.0,331.0,364.0,298.0,309.0,158.0,173.0,161.0,91.0,89.0,96.0,53.0,48.0,60.0,207.0,208.0,256.0,291.0,243.0,285.0,270.0,312.0,263.0,253.0,245.0,295.0,140.0,132.0,121.0,73.0,84.0,83.0,50.0,51.0,51.0,2.0,-4.0,2.0
0:59:08,581.0,569.0,538.0,610.0,611.0,563.0,635.0,598.0,636.0,642.0,600.0,686.0,734.0,657.0,643.0,663.0,676.0,693.0,565.0,562.0,617.0,539.0,543.0,455.0,561.0,470.0,565.0,561.0,559.0,562.0,618.0,630.0,671.0,582.0,628.0,652.0,571.0,626.0,659.0,628.0,565.0,661.0,284.0,299.0,311.0,379.0,360.0,384.0,438.0,433.0,389.0,437.0,351.0,361.0,173.0,184.0,176.0,84.0,86.0,78.0,39.0,42.0,61.0,244.0,225.0,286.0,352.0,302.0,349.0,319.0,380.0,310.0,278.0,281.0,338.0,154.0,147.0,141.0,63.0,73.0,65.0,47.0,52.0,41.0,-4.0,2.0,3.0
1:09:08,644.0,622.0,603.0,627.0,667.0,614.0,664.0,644.0,710.0,694.0,699.0,740.0,814.0,731.0,719.0,756.0,757.0,750.0,664.0,703.0,738.0,585.0,574.0,517.0,626.0,539.0,578.0,624.0,593.0,631.0,682.0,707.0,750.0,681.0,708.0,743.0,689.0,722.0,734.0,706.0,640.0,730.0,321.0,310.0,329.0,438.0,394.0,455.0,494.0,473.0,443.0,504.0,407.0,409.0,181.0,205.0,179.0,76.0,90.0,78.0,54.0,42.0,63.0,270.0,260.0,313.0,403.0,338.0,397.0,364.0,445.0,355.0,341.0,316.0,384.0,170.0,160.0,152.0,73.0,71.0,78.0,42.0,51.0,44.0,-3.0,1.0,2.0
1:19:08,712.0,690.0,685.0,708.0,732.0,716.0,701.0,715.0,809.0,749.0,786.0,847.0,876.0,850.0,869.0,890.0,849.0,840.0,755.0,796.0,822.0,599.0,627.0,581.0,687.0,587.0,659.0,673.0,663.0,699.0,748.0,800.0,786.0,814.0,811.0,844.0,785.0,820.0,847.0,744.0,683.0,823.0,352.0,348.0,357.0,500.0,454.0,532.0,535.0,556.0,508.0,554.0,481.0,482.0,176.0,226.0,194.0,70.0,77.0,70.0,45.0,43.0,60.0,308.0,290.0,330.0,454.0,406.0,451.0,422.0,492.0,407.0,394.0,365.0,450.0,176.0,162.0,151.0,37.0,67.0,57.0,40.0,47.0,46.0,-2.0,0.0,3.0
1:29:08,773.0,742.0,724.0,773.0,796.0,754.0,788.0,743.0,872.0,856.0,890.0,958.0,1025.0,952.0,1012.0,1029.0,955.0,970.0,845.0,866.0,898.0,657.0,672.0,628.0,730.0,643.0,719.0,730.0,721.0,756.0,791.0,877.0,859.0,942.0,917.0,955.0,919.0,903.0,968.0,873.0,771.0,931.0,391.0,382.0,387.0,550.0,495.0,599.0,581.0,573.0,504.0,597.0,534.0,520.0,180.0,230.0,201.0,62.0,64.0,76.0,40.0,28.0,49.0,347.0,320.0,344.0,492.0,438.0,477.0,449.0,525.0,435.0,431.0,417.0,510.0,172.0,163.0,177.0,45.0,66.0,51.0,39.0,38.0,30.0,0.0,-2.0,3.0
1:39:08,840.0,809.0,774.0,855.0,876.0,850.0,861.0,857.0,965.0,950.0,1003.0,1075.0,1164.0,1026.0,1135.0,1180.0,1101.0,1143.0,947.0,1021.0,1033.0,721.0,708.0,671.0,756.0,696.0,786.0,821.0,798.0,786.0,984.0,933.0,983.0,1070.0,1019.0,1061.0,1038.0,1069.0,1137.0,1024.0,936.0,1052.0,426.0,402.0,418.0,595.0,566.0,625.0,636.0,650.0,617.0,651.0,610.0,567.0,231.0,245.0,205.0,68.0,61.0,67.0,34.0,31.0,44.0,364.0,346.0,372.0,551.0,472.0,507.0,453.0,572.0,494.0,482.0,449.0,575.0,192.0,169.0,162.0,38.0,62.0,40.0,38.0,43.0,27.0,-1.0,2.0,-1.0
