export,source_set,channel,fluorophore,optics,sheet,derived,blank_subtracted,n_times,n_wells,readings_file,dose_response_file,source_sha256,source_bytes
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,newprotocol,OD600[1],OD600,600,OD600 (Raw),False,False,25,87,20260722_ERandOxidativeStress_NewProtocol_ANALYSED__OD600_1.csv,20260722_ERandOxidativeStress_NewProtocol_ANALYSED__dose_response.csv,ff3f45a5c19b4f29166ac6e61aa5bcb05022ec5ba0bae750cbd78208861e8c23,341863
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,newprotocol,OD600[2],OD600,,OD600 (Raw),False,True,25,87,20260722_ERandOxidativeStress_NewProtocol_ANALYSED__OD600_2.csv,20260722_ERandOxidativeStress_NewProtocol_ANALYSED__dose_response.csv,ff3f45a5c19b4f29166ac6e61aa5bcb05022ec5ba0bae750cbd78208861e8c23,341863
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,newprotocol,mCitrine[1],mCitrine,"480,530",mCitrine (Raw),False,False,25,87,20260722_ERandOxidativeStress_NewProtocol_ANALYSED__mCitrine_1.csv,20260722_ERandOxidativeStress_NewProtocol_ANALYSED__dose_response.csv,ff3f45a5c19b4f29166ac6e61aa5bcb05022ec5ba0bae750cbd78208861e8c23,341863
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,newprotocol,mCitrine[2],mCitrine,,mCitrine (Raw),False,True,25,87,20260722_ERandOxidativeStress_NewProtocol_ANALYSED__mCitrine_2.csv,20260722_ERandOxidativeStress_NewProtocol_ANALYSED__dose_response.csv,ff3f45a5c19b4f29166ac6e61aa5bcb05022ec5ba0bae750cbd78208861e8c23,341863
20260728_ER&OxidativeStress_NewProtocol_Replicate2.xlsx,newprotocol,OD600,OD600,600,OD600 (Raw),False,False,25,87,20260728_ERandOxidativeStress_NewProtocol_Replicate2__OD600.csv,,571cbb9cc5b9eaf6e293c72eb97856c983211d1c65c68aef6098fffa8670806e,101344
20260728_ER&OxidativeStress_NewProtocol_Replicate2.xlsx,newprotocol,mCitrine,mCitrine,"480,530",mCitrine (Raw),False,False,25,87,20260728_ERandOxidativeStress_NewProtocol_Replicate2__mCitrine.csv,,571cbb9cc5b9eaf6e293c72eb97856c983211d1c65c68aef6098fffa8670806e,101344
20260803_ER&oxidativestress_Replicate3.xlsx,newprotocol,OD600[1],OD600,600,Raw OD,False,False,25,87,20260803_ERandoxidativestress_Replicate3__OD600_1.csv,20260803_ERandoxidativestress_Replicate3__dose_response.csv,0235dee3ae08e245de3ed8e718622b75aee1ffe6f90be0436111c789b34a9def,338431
20260803_ER&oxidativestress_Replicate3.xlsx,newprotocol,OD600[2],OD600,,BLANK (OLD)OD,False,True,25,87,20260803_ERandoxidativestress_Replicate3__OD600_2.csv,20260803_ERandoxidativestress_Replicate3__dose_response.csv,0235dee3ae08e245de3ed8e718622b75aee1ffe6f90be0436111c789b34a9def,338431
20260803_ER&oxidativestress_Replicate3.xlsx,newprotocol,mCitrine[1],mCitrine,,Blank mCitrine,False,True,25,87,20260803_ERandoxidativestress_Replicate3__mCitrine_1.csv,20260803_ERandoxidativestress_Replicate3__dose_response.csv,0235dee3ae08e245de3ed8e718622b75aee1ffe6f90be0436111c789b34a9def,338431
20260803_ER&oxidativestress_Replicate3.xlsx,newprotocol,mCitrine[2],mCitrine,"480,530",mCitrine,False,False,25,87,20260803_ERandoxidativestress_Replicate3__mCitrine_2.csv,20260803_ERandoxidativestress_Replicate3__dose_response.csv,0235dee3ae08e245de3ed8e718622b75aee1ffe6f90be0436111c789b34a9def,338431
