id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd00001	h2o	H2O	H2O	18.0	Primary Database	XLYOFNOQVPJJNP-UHFFFAOYSA-N	0	1	0	null	0	-37.54	0.18	1:1:15.70	1:1:-1.80	null	null	Name: H20; H2O; H3O+; HO-; Hydroxide ion; OH; OH-; Water; hydrogen oxide; hydroxide; hydroxide ion; hydroxyl; hydroxyl ion; oxonium; water|AraCyc: OH; WATER|BiGG: h2o; oh1|BrachyCyc: WATER|KEGG: C00001; C01328|MetaCyc: OH; OXONIUM; WATER	O	GC|EQ|EQU
cpd00002	atp	ATP	C10H13N5O13P3	504.0	Primary Database	ZKHQWZAMYRWXGA-KQYNXXCUSA-K	-3	1	0	null	0	-548.85	0.36	1:14:12.60;1:22:3.29;1:26:0.90;1:29:7.42;1:30:1.55	1:6:-7.46;1:9:-1.06;1:14:-3.85;1:15:4.93	null	null	Name: ATP; Adenosine 5'-triphosphate; adenosine-5'-triphosphate; adenosine-triphosphate; adenylpyrophosphate|AraCyc: ATP|BiGG: atp|BrachyCyc: ATP|KEGG: C00002|MetaCyc: ATP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	GC|EQ|EQU
cpd00003	nad	NAD	C21H26N7O14P2	662.0	Primary Database	BAWFJGJZGIEFAR-NNYOXOHSSA-M	-1	1	0	null	0	-286.41	1.59	1:6:11.94;1:17:1.85;1:18:2.28;1:25:11.38;1:35:12.70	1:6:-4.22;1:35:-3.85;1:37:-1.05;1:41:4.93;1:43:-7.46	null	null	Name: DPN; DPN+; DPN-ox; Diphosphopyridine nucleotide; NAD; NAD+; NAD-ox; NAD-oxidized; Nadide; Nicotinamide adenine dinucleotide; Nicotinamideadeninedinucleotide; beta-NAD+; beta-nicotinamide adenine dinucleotide; coenzyme I; diphosphopyridine nucleotide; diphosphopyridine nucleotide oxidized; nicotinamide adenine dinucleotide; nicotinamide adenine dinucleotide oxidized|AraCyc: NAD|BiGG: nad|BrachyCyc: NAD|KEGG: C00003|MetaCyc: NAD	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	GC|EQ|EQU
cpd00004	nadh	NADH	C21H27N7O14P2	663.0	Primary Database	BOPGDPNILDQYTO-NNYOXOHSSA-L	-2	1	0	null	0	-271.15	1.59	1:14:12.28;1:18:14.00;1:22:-7.46;1:26:-1.05;1:36:12.90	1:6:2.28;1:9:1.85;1:14:-3.85;1:15:4.93;1:18:-3.67;1:36:-3.78	null	null	Name: DPNH; NAD-reduced; NADH; NADH+H+; NADH2; Nicotinamide adenine dinucleotide - reduced; Nicotinamideadeninedinucleotide-reduced; Reduced nicotinamide adenine dinucleotide; beta-NADH; dihydrodiphosphopyridine nucleotide; dihydronicotinamide adenine dinucleotide; diphosphopyridine nucleotide reduced; nicotinamide adenine dinucleotide reduced|AraCyc: NADH|BiGG: nadh|BrachyCyc: NADH|KEGG: C00004|MetaCyc: NADH	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	GC|EQ|EQU
cpd00005	nadph	NADPH	C21H26N7O17P3	742.0	Primary Database	ACFIXJIJDZMPPO-NNYOXOHSSA-J	-4	1	0	null	0	-483.1	1.62	1:18:0.90;1:19:5.78;1:26:0.66;1:30:3.26;1:40:12.75	1:11:-7.46;1:12:-1.06;1:22:4.87;1:40:-3.78	null	null	Name: NADP(H); NADP-red; NADP-reduced; NADPH; NADPH+H+; NADPH2; Nicotinamide adenine dinucleotide phosphate - reduced; Nicotinamide adenine dinucleotide phosphate-reduced; Nicotinamideadeninedinucleotidephosphate-reduced; Reduced nicotinamide adenine dinucleotide phosphate; TPNH; beta-NADPH; dihydronicotinamide adenine dinucleotide phosphate; dihydronicotinamide adenine dinucleotide phosphate reduced; dihydronicotinamide adenine dinucleotide-P; dihydrotriphosphopyridine nucleotide; dihydrotriphosphopyridine nucleotide reduced; reduced NADP; reduced dihydrotriphosphopyridine nucleotide; reduced nicotinamide adenine dinucleotide phosphate|AraCyc: NADPH|BiGG: nadph|BrachyCyc: NADPH|KEGG: C00005|MetaCyc: NADPH	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	GC|EQ|EQU
cpd00006	nadp	NADP	C21H25N7O17P3	741.0	Primary Database	XJLXINKUBYWONI-NNYOXOHSSA-K	-3	1	0	null	0	-498.36	1.63	1:18:0.90;1:19:5.78;1:26:3.26;1:30:0.66;1:47:11.66	1:11:-7.46;1:12:-1.06;1:22:4.87	null	null	Name: NADP; NADP(+); NADP+; NADP-ox; NADP-oxidized; Nicotinamide adenine dinucleotide phosphate; Nicotinamide adenine dinucleotide phosphate -; Nicotinamideadeninedinucleotidephosphate; TPN; TPN+; TPN-ox; Triphosphopyridine nucleotide; beta-NADP+; beta-Nicotinamide adenine dinucleotide phosphate; coenzyme II; nicotinamide adenine dinucleotide phosphate; nicotinamide adenine dinucleotide-P; triphosphopyridine nucleotide|AraCyc: NADP|BiGG: nadp|BrachyCyc: NADP|KEGG: C00006|MetaCyc: NADP	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1	GC|EQ|EQU
cpd00007	o2	O2	O2	32.0	Primary Database	MYMOFIZGZYHOMD-UHFFFAOYSA-N	0	1	0	null	0	3.92	0.71			null	null	Name: O2; Oxygen; dioxygen; oxygen; oxygen molecule|AraCyc: OXYGEN-MOLECULE|BiGG: o2|BrachyCyc: OXYGEN-MOLECULE|KEGG: C00007|MetaCyc: OXYGEN-MOLECULE	O=O	GC|EQ|EQU
cpd00008	adp	ADP	C10H13N5O10P2	425.0	Primary Database	XTWYTFMLZFPYCI-KQYNXXCUSA-L	-2	1	0	null	0	-340.04	0.3	1:14:12.46;1:18:13.98;1:22:2.22;1:25:7.42;1:26:1.77	1:6:-7.46;1:9:-1.05;1:14:-3.85;1:15:4.93;1:18:-3.67	null	null	Name: ADP; Adenosine 5'-diphosphate; Adenosine 5'-phosphate; adenosine 5'-pyrophosphate; adenosine pyrophosphate; adenosine-5'-diphosphate; adenosine-5-diphosphate; adenosine-diphosphate|AraCyc: ADP|BiGG: adp|BrachyCyc: ADP|KEGG: C00008; G11113|MetaCyc: ADP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	GC|EQ|EQU
cpd00009	pi	Phosphate	HO4P	96.0	Primary Database	NBIIXXVUZAFLBC-UHFFFAOYSA-L	-2	1	0	null	0	-252.51	0.18	1:2:12.90;1:3:1.80;1:4:6.95		null	null	Name: H2PO4-; HPO4-2; HPO42-; Orthophosphate; Orthophosphoric acid; PO43-; Phosphate; Phosphoric acid; Pi; dihydrogen phosphate; inorganic phosphate; orthophosphate; phosphate; phosphate-inorganic; phosphoric acid|AraCyc: Pi|BiGG: pi|BrachyCyc: Pi|KEGG: C00009|MetaCyc: CPD-16459; CPD-20124; Pi	O=P([O-])([O-])O	GC|EQ|EQU
cpd00010	coa	CoA	C21H32N7O16P3S	764.0	Primary Database	RGJOEKWQDUBAIZ-IBOSZNHHSA-J	-4	1	0	null	0	-429.53	1.87	1:22:0.92;1:23:5.94;1:26:0.83;1:30:3.27;1:48:10.07	1:8:-7.46;1:9:-1.06;1:17:4.89	null	null	Name: CoA; CoA-SH; Coenzyme A; CoenzymeA; Coenzyme_a; HS-CoA; co-A; co-A-SH; co-enzyme-A; coenzyme A|AraCyc: CO-A|BiGG: coa|BrachyCyc: CO-A|KEGG: C00010|MetaCyc: CO-A	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS	GC|EQ|EQU
