design,dose_mM,nutrient_factor,growth_rate,promoter_activity,collinearity,construct
dose only (as run),0.0,1.0,0.4,0.001,0.9932439880230362,UPRE2
dose only (as run),0.1,1.0,0.3819103785114959,0.0010073170731707318,0.9932439880230362,UPRE2
dose only (as run),0.2,1.0,0.3631307702129779,0.001028235294117647,0.9932439880230362,UPRE2
dose only (as run),0.5,1.0,0.3129435382011276,0.001141509433962264,0.9932439880230362,UPRE2
dose only (as run),1.0,1.0,0.25057877321255084,0.0013314917127071825,0.9932439880230362,UPRE2
dose only (as run),2.0,1.0,0.1755767108147519,0.001498960498960499,0.9932439880230362,UPRE2
dose x 2 nutrients,0.0,1.0,0.4,0.001,0.5873947928035008,UPRE2
dose x 2 nutrients,0.1,1.0,0.3819103785114959,0.0010073170731707318,0.5873947928035008,UPRE2
dose x 2 nutrients,0.2,1.0,0.3631307702129779,0.001028235294117647,0.5873947928035008,UPRE2
dose x 2 nutrients,0.5,1.0,0.3129435382011276,0.001141509433962264,0.5873947928035008,UPRE2
dose x 2 nutrients,1.0,1.0,0.25057877321255084,0.0013314917127071825,0.5873947928035008,UPRE2
dose x 2 nutrients,2.0,1.0,0.1755767108147519,0.001498960498960499,0.5873947928035008,UPRE2
dose x 2 nutrients,0.0,0.5,0.2,0.001,0.5873947928035008,UPRE2
dose x 2 nutrients,0.1,0.5,0.19095518925574795,0.0010073170731707318,0.5873947928035008,UPRE2
dose x 2 nutrients,0.2,0.5,0.18156538510648895,0.001028235294117647,0.5873947928035008,UPRE2
dose x 2 nutrients,0.5,0.5,0.1564717691005638,0.001141509433962264,0.5873947928035008,UPRE2
dose x 2 nutrients,1.0,0.5,0.12528938660627542,0.0013314917127071825,0.5873947928035008,UPRE2
dose x 2 nutrients,2.0,0.5,0.08778835540737595,0.001498960498960499,0.5873947928035008,UPRE2
dose x 3 nutrients,0.0,1.0,0.4,0.001,0.5069698225073469,UPRE2
dose x 3 nutrients,0.1,1.0,0.3819103785114959,0.0010073170731707318,0.5069698225073469,UPRE2
dose x 3 nutrients,0.2,1.0,0.3631307702129779,0.001028235294117647,0.5069698225073469,UPRE2
dose x 3 nutrients,0.5,1.0,0.3129435382011276,0.001141509433962264,0.5069698225073469,UPRE2
dose x 3 nutrients,1.0,1.0,0.25057877321255084,0.0013314917127071825,0.5069698225073469,UPRE2
dose x 3 nutrients,2.0,1.0,0.1755767108147519,0.001498960498960499,0.5069698225073469,UPRE2
dose x 3 nutrients,0.0,0.6,0.24,0.001,0.5069698225073469,UPRE2
dose x 3 nutrients,0.1,0.6,0.22914622710689753,0.0010073170731707318,0.5069698225073469,UPRE2
dose x 3 nutrients,0.2,0.6,0.21787846212778675,0.001028235294117647,0.5069698225073469,UPRE2
dose x 3 nutrients,0.5,0.6,0.18776612292067654,0.001141509433962264,0.5069698225073469,UPRE2
dose x 3 nutrients,1.0,0.6,0.1503472639275305,0.0013314917127071825,0.5069698225073469,UPRE2
dose x 3 nutrients,2.0,0.6,0.10534602648885114,0.001498960498960499,0.5069698225073469,UPRE2
dose x 3 nutrients,0.0,0.35,0.13999999999999999,0.001,0.5069698225073469,UPRE2
dose x 3 nutrients,0.1,0.35,0.13366863247902355,0.0010073170731707318,0.5069698225073469,UPRE2
dose x 3 nutrients,0.2,0.35,0.12709576957454227,0.001028235294117647,0.5069698225073469,UPRE2
dose x 3 nutrients,0.5,0.35,0.10953023837039465,0.001141509433962264,0.5069698225073469,UPRE2
dose x 3 nutrients,1.0,0.35,0.0877025706243928,0.0013314917127071825,0.5069698225073469,UPRE2
dose x 3 nutrients,2.0,0.35,0.06145184878516316,0.001498960498960499,0.5069698225073469,UPRE2
