construct,stressor,dose_mM,naive_fold,corrected_fold,n_plates,n_plates_usable_naive,n_plates_usable_corrected,interval_estimable,interval_low,interval_high,interval_method,verdict
AlteredYap1,H2O2,0.1,1.2776826131413075,1.014879703641737,4,4,4,True,0.938571738339513,1.1048700313615953,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
AlteredYap1,H2O2,0.2,1.4243284098414062,1.0712129322680115,4,4,4,True,0.9884394621875859,1.1739122623425187,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
AlteredYap1,H2O2,0.5,1.6964038336359106,1.371561548345836,4,4,4,True,1.0580910180292304,1.7015871187888543,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",resolved above 1.0
AlteredYap1,H2O2,1.0,1.359760975898048,0.8389521735396188,4,4,4,True,0.19972056323093804,2.8550328838086116,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
AlteredYap1,H2O2,2.0,0.0599083820359209,,4,1,0,False,,,"refused: no positive per-plate fold, so the geometric mean does not exist. The recovered activity is negative on every plate, which is a culture that is losing signal rather than a reporter that is off",not estimable
AlteredYap1,H2O2,4.0,0.044699309068763245,,4,1,0,False,,,"refused: no positive per-plate fold, so the geometric mean does not exist. The recovered activity is negative on every plate, which is a culture that is losing signal rather than a reporter that is off",not estimable
NativeYap1,H2O2,0.1,1.2894640353805642,0.9179750767224609,4,4,4,True,0.7358218745091979,1.0782765685824203,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
NativeYap1,H2O2,0.2,1.436416152399798,1.029666625156432,4,4,4,True,0.801064132687542,1.270349311503193,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
NativeYap1,H2O2,0.5,1.8021450551521017,1.3715239044017111,4,4,4,True,0.994718787263747,1.8693899644725918,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
NativeYap1,H2O2,1.0,1.463726719152975,1.1028577697321615,4,4,4,True,0.5322480177672301,2.137364887658049,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
NativeYap1,H2O2,2.0,0.030171985057977514,,4,1,0,False,,,"refused: no positive per-plate fold, so the geometric mean does not exist. The recovered activity is negative on every plate, which is a culture that is losing signal rather than a reporter that is off",not estimable
NativeYap1,H2O2,4.0,0.01754643216947711,,4,1,0,False,,,"refused: no positive per-plate fold, so the geometric mean does not exist. The recovered activity is negative on every plate, which is a culture that is losing signal rather than a reporter that is off",not estimable
UPRE1,DTT,0.1,1.0588444924054394,1.0494007094784126,4,4,4,True,0.9867535674994243,1.1226360965181106,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
UPRE1,DTT,0.2,1.1524507865636249,1.1537802535412998,4,4,4,True,1.0949008343027615,1.2113729787176857,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",resolved above 1.0
UPRE1,DTT,0.5,1.4045431055345075,1.3543010794650836,4,4,4,True,1.2093979057205586,1.5688054449756577,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",resolved above 1.0
UPRE1,DTT,1.0,1.8315706866602859,1.4408783063938944,4,4,4,True,1.2226830799672717,1.679319383344374,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",resolved above 1.0
UPRE1,DTT,2.0,2.0326762170190595,1.058700191493911,4,4,4,True,0.9234554377327671,1.2137985940881066,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
UPRE1,DTT,5.0,1.7825985524977677,0.9343508404972236,4,4,4,True,0.7952330719196936,1.089874413853348,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
UPRE2,DTT,0.1,1.070362041181235,1.0674251969918143,4,4,4,True,0.985001222656952,1.1544750123936969,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
UPRE2,DTT,0.2,1.1500237598943257,1.1707679910452276,4,4,4,True,1.0685790775256723,1.254287867335234,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",resolved above 1.0
UPRE2,DTT,0.5,1.4287933107102773,1.4157955543722958,4,4,4,True,1.1379956731229584,1.6364595066078569,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",resolved above 1.0
UPRE2,DTT,1.0,1.9300549811372767,1.5618422676903145,4,4,4,True,1.3045078666922905,1.8311270444353709,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",resolved above 1.0
UPRE2,DTT,2.0,2.2032812913682944,1.105188716282379,4,4,4,True,0.9492297616210138,1.3866073112678376,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
UPRE2,DTT,5.0,2.02112115861634,1.0628648445787705,4,4,4,True,0.9336791222698111,1.2345038654750948,"cluster bootstrap on log ratio, t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate",inconclusive
