construct,target,dose_mM,tech_rep,cq,rt_minus_cq,margin_cycles,gdna_share,passed,correctable,replicate_name,role,verdict
UPRE1,UBC,0.0,1,18.896677243747,21.2675591820717,2.3708819383247004,0.1933274044940167,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE1,UBC,0.0,2,18.9743720231388,21.2675591820717,2.293187158932902,0.2040242920173848,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE1,UBC,0.2,1,18.9592931979476,21.1966848358766,2.237391637929001,0.2120693986747303,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE1,UBC,0.2,2,18.9274788893606,21.1966848358766,2.2692059465159993,0.20744403138961115,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE1,UBC,0.5,1,17.9977464514548,20.6263651144572,2.6286186630024027,0.16169885150908375,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE1,UBC,0.5,2,18.473794250263,20.6263651144572,2.1525708641941996,0.2249114689656342,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE1,Hac1,0.0,1,24.2098136754614,24.3480683836732,0.1382547082118002,0.9086176855810997,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE1,Hac1,0.0,2,24.2328726160085,24.3480683836732,0.1151957676647015,0.9232570201244692,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE1,Hac1,0.2,1,23.6344075878618,23.7416867792467,0.1072791913848973,0.9283371824412333,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE1,Hac1,0.2,2,23.6329806607488,23.7416867792467,0.1087061184978992,0.927419445443275,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE1,Hac1,0.5,1,23.6322978653527,23.9222263358766,0.2899284705239004,0.8179426115190414,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE1,Hac1,0.5,2,23.394952138762,23.9222263358766,0.5272741971146004,0.6938644718172289,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE2,UBC,0.0,1,18.4828879982253,21.3078208793854,2.824932881160098,0.1411271161379784,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE2,UBC,0.0,2,18.5673285115993,21.3078208793854,2.7404923677861,0.14963376185169874,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE2,UBC,0.2,1,18.5352543045675,21.2093860128635,2.6741317082960023,0.15667732332261108,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE2,UBC,0.2,2,18.6934032555028,21.2093860128635,2.5159827573606997,0.17482909983246878,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE2,UBC,0.5,1,18.4624076089381,21.124614185333,2.662206576394901,0.15797776519116793,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE2,UBC,0.5,2,18.509419506927,21.124614185333,2.6151946784060023,0.16321044815357474,False,True,qpcr_24Jul,reference,INCONCLUSIVE
UPRE2,Hac1,0.0,1,23.963358378897,24.4107752349764,0.4474168560793998,0.733354744029318,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE2,Hac1,0.0,2,23.9974347915596,24.4107752349764,0.4133404434168,0.7508827512070417,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE2,Hac1,0.2,1,23.3937124570384,23.4883027536814,0.0945902966429983,0.9365381722103641,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE2,Hac1,0.2,2,23.5526050444653,23.4883027536814,-0.0643022907838997,1.0455791595516282,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE2,Hac1,0.5,1,23.5365935423585,24.1350531709573,0.5984596285987998,0.6604587535764868,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE2,Hac1,0.5,2,23.6229039519155,24.1350531709573,0.5121492190417989,0.7011770982916576,False,False,qpcr_24Jul,anchor,INCONCLUSIVE
NativeYap1,UBC,0.0,1,19.6502977210696,22.0507507607115,2.400453039641903,0.18940508389299493,False,True,qpcr_24Jul,reference,INCONCLUSIVE
NativeYap1,UBC,0.0,2,20.0678901499454,22.0507507607115,1.982860610766103,0.252987742057017,False,True,qpcr_24Jul,reference,INCONCLUSIVE
NativeYap1,UBC,0.2,1,18.632474221021,22.1787822178236,3.5463079968026,0.08559628559301347,True,True,qpcr_24Jul,reference,INCONCLUSIVE
NativeYap1,UBC,0.2,2,19.0177320473616,22.1787822178236,3.1610501704619978,0.11179672486662282,True,True,qpcr_24Jul,reference,INCONCLUSIVE
NativeYap1,UBC,0.5,1,19.9019233434566,22.0654656298936,2.163542286437,0.2232075471019121,False,True,qpcr_24Jul,reference,INCONCLUSIVE
NativeYap1,UBC,0.5,2,20.0477597380374,22.0654656298936,2.017705891856199,0.24695055362700644,False,True,qpcr_24Jul,reference,INCONCLUSIVE
NativeYap1,TRX2,0.0,1,16.0347314943994,23.2799880364417,7.245256542042302,0.006591138757574792,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.0,2,16.067885926228,23.2799880364417,7.212102110213699,0.006744362935950782,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.2,1,15.7978038658709,23.2248721699823,7.427068304111401,0.005810716145790449,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.2,2,15.898613163571,23.2248721699823,7.326259006411302,0.006231265889135887,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.5,1,16.3909975046381,23.004374833613,6.613377328974899,0.010213510773360013,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.5,2,16.8563733417728,23.004374833613,6.148001491840198,0.014101559284666469,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
AlteredYap1,UBC,0.0,1,20.0130525141788,21.8677757550456,1.8547232408668,0.27648569782507737,False,True,qpcr_24Jul,reference,INCONCLUSIVE
AlteredYap1,UBC,0.0,2,19.7028944415961,21.8677757550456,2.164881313449498,0.22300047473574733,False,True,qpcr_24Jul,reference,INCONCLUSIVE
AlteredYap1,UBC,0.2,1,20.2301390497986,21.8241301454478,1.5939910956492014,0.3312537987619354,False,True,qpcr_24Jul,reference,INCONCLUSIVE
AlteredYap1,UBC,0.2,2,19.0721565991022,21.8241301454478,2.751973546345599,0.14844768021185148,False,True,qpcr_24Jul,reference,INCONCLUSIVE
AlteredYap1,UBC,0.5,1,19.0586766871101,21.0633219228572,2.0046452357470983,0.24919633650977124,False,True,qpcr_24Jul,reference,INCONCLUSIVE
AlteredYap1,UBC,0.5,2,18.7829642693291,21.0633219228572,2.2803576535280996,0.20584671724460787,False,True,qpcr_24Jul,reference,INCONCLUSIVE
AlteredYap1,TRX2,0.0,1,17.9450790704408,23.0898262772895,5.144747206848699,0.028266808105832625,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.0,2,15.8491351198805,23.0898262772895,7.240691157409,0.0066120293438565285,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.2,1,15.6019541419119,23.1408608176077,7.538906675695799,0.005377283775391083,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.2,2,16.2924346280878,23.1408608176077,6.848426189519898,0.00867797298601269,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.5,1,15.6847126521019,23.2127657702238,7.5280531181219,0.005417890239949456,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.5,2,15.7519739192572,23.2127657702238,7.460791850966601,0.00567646365415425,True,True,qpcr_24Jul,anchor,INCONCLUSIVE
UPRE1,UBC,0.0,1,20.0957422686195,22.4512395413328,2.355497272713301,0.1954000480636361,False,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE1,UBC,0.0,2,19.7456694770499,22.4512395413328,2.705570064282899,0.15330003544898685,False,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.0,1,19.0156472128041,23.2018734015515,4.186226188747398,0.054931359628319625,True,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.0,2,18.9849348825833,23.2018734015515,4.216938518968199,0.05377433097921812,True,True,qpcr_11Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.0,1,19.2259129941381,22.942101175944,3.716188181805901,0.07608795078272923,True,True,qpcr_11Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.0,2,19.1638210522109,22.942101175944,3.7782801237331007,0.0728826828277087,True,True,qpcr_11Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.0,1,18.191896256518,23.1654965898289,4.973600333310902,0.031827103265110825,True,True,qpcr_11Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.0,2,18.4547709986118,23.1654965898289,4.710725591217102,0.038188297367395596,True,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE1,UBC,0.2,1,19.5131481227942,22.1875111854955,2.6743630627013,0.1566522001457253,False,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE1,UBC,0.2,2,19.2527064113108,22.1875111854955,2.9348047741846983,0.1307783132273107,False,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.2,1,19.4117175894985,23.0533394811768,3.641621891678298,0.08012399178217997,True,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.2,2,19.6309972392441,23.0533394811768,3.4223422419327,0.09327651889948782,True,True,qpcr_11Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.2,1,20.6925918884659,22.7871780831582,2.094586194692301,0.23413520875787888,False,True,qpcr_11Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.2,2,20.6124002339638,22.7871780831582,2.174777849194399,0.22147598073128194,False,True,qpcr_11Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.2,1,19.6655475531201,23.226679561846,3.5611320087259024,0.08472126794924376,True,True,qpcr_11Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.2,2,19.7186635247825,23.226679561846,3.508016037063502,0.08789859790433868,True,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE1,UBC,0.5,1,19.0514529333725,23.4323471064756,4.380894173103101,0.04799759159592721,True,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE1,UBC,0.5,2,19.0538204700208,23.4323471064756,4.378526636454801,0.04807642277385348,True,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.5,1,19.2261854695082,23.1286041033527,3.9024186338445017,0.06687363578745856,True,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.5,2,19.3279320816366,23.1286041033527,3.800672021716099,0.07176021277919349,True,True,qpcr_11Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.5,1,21.1720122049083,23.2764278007559,2.104415595847602,0.2325454156298078,False,True,qpcr_11Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.5,2,20.9914662009081,23.2764278007559,2.284961599847801,0.20519086368638295,False,True,qpcr_11Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.5,1,20.3566709423002,23.1214832333297,2.7648122910294965,0.1471324843062718,False,True,qpcr_11Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.5,2,20.4337494945863,23.1214832333297,2.687733738743397,0.1552070785427586,False,True,qpcr_11Aug,reference,INCONCLUSIVE
UPRE1,Hac1,0.0,1,26.9426379558514,26.6276869609604,-0.3149509948909994,1.2439693977353976,False,False,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE1,Hac1,0.0,2,27.0076287468181,26.6276869609604,-0.3799417858576994,1.3012893460969897,False,False,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.0,1,26.7037050726926,27.4672661411015,0.7635610684089009,0.5890405797150201,False,True,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.0,2,26.858832181003,27.4672661411015,0.6084339600985018,0.6559083015710777,False,False,qpcr_11Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.0,1,15.2540604545147,23.7825720268936,8.5285115723789,0.0027080844182460857,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.0,2,15.521102067436,23.7825720268936,8.2614699594576,0.0032587401684893978,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.0,1,15.23765171726,24.1914265996119,8.953774882351901,0.002016718053070595,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.0,2,15.0731579905377,24.1914265996119,9.1182686090742,0.0017993996851288158,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE1,Hac1,0.2,1,26.1837529362207,26.1050587776458,-0.0786941585748977,1.0560617237985679,False,False,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE1,Hac1,0.2,2,25.9484505404955,26.1050587776458,0.1566082371503014,0.8971317420979735,False,False,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.2,1,25.9540004640259,26.5403488198011,0.5863483557752005,0.6660265731377133,False,False,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.2,2,26.3669965326923,26.5403488198011,0.1733522871087984,0.886779738790805,False,False,qpcr_11Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.2,1,15.8186072954199,23.2204871760983,7.401879880678399,0.005913057900425765,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.2,2,15.843271578576,23.2204871760983,7.3772155975223,0.006015016467589156,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.2,1,15.2220735456429,24.245516607577,9.0234430619341,0.0019216441767769077,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.2,2,15.4961222534657,24.245516607577,8.749394354111299,0.002323645412153817,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE1,Hac1,0.5,1,26.18753711033,27.7854135374306,1.5978764271006014,0.33036289717464107,False,True,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE1,Hac1,0.5,2,26.3162566862825,27.7854135374306,1.4691568511480997,0.36119332807118276,False,True,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.5,1,26.629979106142,27.4621802307439,0.8322011246019017,0.5616716440030091,False,True,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.5,2,26.6664923478723,27.4621802307439,0.7956878828716007,0.5760684361300358,False,True,qpcr_11Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.5,1,16.5692470059446,24.3236527359132,7.7544057299686,0.004631175901862933,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.5,2,16.5702960006708,24.3236527359132,7.753356735242399,0.004634544490206982,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.5,1,16.1950443131662,24.0763304890023,7.881286175836099,0.004241275235084075,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.5,2,16.1288646693013,24.0763304890023,7.947465819700998,0.0040511133859952,True,True,qpcr_11Aug,anchor,INCONCLUSIVE
UPRE1,UBC,0.0,1,20.3957100766685,23.4795656681129,3.083855591444401,0.11794158629730728,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE1,UBC,0.0,2,20.3979846556048,23.4795656681129,3.0815810125080993,0.11812768178465607,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.0,1,19.9014639872896,24.5281978153781,4.626733828088501,0.040477560985977275,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.0,2,19.5225553888202,24.5281978153781,5.005642426557898,0.03112801893952715,True,True,qpcr_13Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.0,1,19.8236621162253,23.7964844088986,3.9728222926733,0.06368854429039723,True,True,qpcr_13Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.0,2,19.900879022924,23.7964844088986,3.895605385974602,0.06719019902968269,True,True,qpcr_13Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.0,1,19.7655754169946,23.4061877672255,3.6406123502308994,0.08018007903294475,True,True,qpcr_13Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.0,2,20.0574576827046,23.4061877672255,3.3487300845208985,0.09815937786757772,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE1,UBC,0.2,1,20.1527969992973,24.8197680542004,4.666971054903097,0.03936422663827002,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE1,UBC,0.2,2,20.0129603234657,24.8197680542004,4.8068077307347,0.03572783414500054,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.2,1,20.3667069826646,25.2554057879761,4.888698805311499,0.033756314140805564,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.2,2,20.562194141047,25.2554057879761,4.693211646929097,0.03865471880018849,True,True,qpcr_13Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.2,1,20.4672005885199,24.0902795568994,3.623078968379499,0.08116047009195011,True,True,qpcr_13Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.2,2,20.445593309684,24.0902795568994,3.6446862472154,0.07995398508068016,True,True,qpcr_13Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.2,1,20.1067596085489,23.7124485941659,3.605688985617,0.08214468343574262,True,True,qpcr_13Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.2,2,20.1485032019699,23.7124485941659,3.5639453921960005,0.08455621493811029,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE1,UBC,0.5,1,19.7980993131696,24.0932300369348,4.2951307237651974,0.05093740508655415,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE1,UBC,0.5,2,19.9451798827679,24.0932300369348,4.148050154166899,0.05640433457965644,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.5,1,19.7534814105047,24.5333739118335,4.779892501328799,0.03640063677493062,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE2,UBC,0.5,2,19.8552971712713,24.5333739118335,4.678076740562201,0.03906236907528849,True,True,qpcr_13Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.5,1,20.3145058543867,24.7481442932907,4.433638438904001,0.0462745111985567,True,True,qpcr_13Aug,reference,INCONCLUSIVE
NativeYap1,UBC,0.5,2,20.4643863857572,24.7481442932907,4.283757907533499,0.05134053330887573,True,True,qpcr_13Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.5,1,22.2514701516574,25.686572678585,3.4351025269276008,0.09245514865379673,True,True,qpcr_13Aug,reference,INCONCLUSIVE
AlteredYap1,UBC,0.5,2,22.0413943469183,25.686572678585,3.6451783316667026,0.07992671847017407,True,True,qpcr_13Aug,reference,INCONCLUSIVE
UPRE1,Hac1,0.0,1,28.1090737974512,27.9429998010915,-0.1660739963596995,1.12200102690036,False,False,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE1,Hac1,0.0,2,29.7221841269099,27.9429998010915,-1.7791843258184024,3.4323206238760586,False,False,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.0,1,27.486780851314,28.1647150235705,0.6779341722565029,0.6250596710613898,False,False,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.0,2,27.6195871349898,28.1647150235705,0.5451278885807014,0.6853306482443177,False,False,qpcr_13Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.0,1,15.9961038211595,24.9577150234526,8.961611202293101,0.002005793495534674,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.0,2,16.0541271520511,24.9577150234526,8.903587871401498,0.0020881081174180484,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.0,1,16.1632328214952,24.6045627010947,8.4413298795995,0.002876779020915135,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.0,2,16.0189268630795,24.6045627010947,8.5856358380152,0.0026029515287780375,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE1,Hac1,0.2,1,28.1361724833575,30.1576408132048,2.0214683298472984,0.24630736458619987,False,True,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE1,Hac1,0.2,2,35.1853220578044,30.1576408132048,-5.027681244599599,32.61991787127652,False,False,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.2,1,27.9329304666385,29.2314214542514,1.298490987612901,0.40655121529437666,False,True,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.2,2,28.2765127741616,29.2314214542514,0.954908680089801,0.5158742424963748,False,True,qpcr_13Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.2,1,16.2177687606938,24.8960996455368,8.678330884843,0.0024409680298858043,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.2,2,16.2450182750866,24.8960996455368,8.6510813704502,0.002487511015195029,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.2,1,16.2620325449472,24.483782158862,8.221749613914799,0.0033497064489797796,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.2,2,16.5296768233687,24.483782158862,7.954105335493299,0.0040325123426582414,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE1,Hac1,0.5,1,27.0082512133399,29.2814437154525,2.2731925021126003,0.20687159882534734,False,True,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE1,Hac1,0.5,2,27.2044853033545,29.2814437154525,2.076958412098002,0.23701357346423543,False,True,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.5,1,26.7654615977721,29.0328117418089,2.2673501440368007,0.2077110475283775,False,True,qpcr_13Aug,anchor,INCONCLUSIVE
UPRE2,Hac1,0.5,2,27.4577432323867,29.0328117418089,1.5750685094221986,0.33562718735051844,False,True,qpcr_13Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.5,1,16.3914088991379,26.0968927773402,9.7054838782023,0.0011977280766506566,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
NativeYap1,TRX2,0.5,2,16.267041914651,26.0968927773402,9.829850862689202,0.001098803508413994,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.5,1,17.95097413229,27.2598602530902,9.3088861208002,0.001576689049753367,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
AlteredYap1,TRX2,0.5,2,17.7102430328974,27.2598602530902,9.5496172201928,0.001334377682021644,True,True,qpcr_13Aug,anchor,INCONCLUSIVE
