experiment,plate,truncation,n_timepoints,run_hours,activity_window_h,late_window_start_h,strain,strain_source,well_columns,galactose_percent,n_wells,naive_rfu_per_od,corrected_activity,mu_late
AFL-vs-control,20260705_AFL&control_1st,as-run,145,24.124,4.0,18.124,AFL,inferred-from-signal,1-6,0.0,6,149.56341554412214,0.34594505623046645,0.001991056267028156
AFL-vs-control,20260705_AFL&control_1st,as-run,145,24.124,4.0,18.124,AFL,inferred-from-signal,1-6,0.3,6,143.8078854210361,0.26535728535960595,0.003444996518758223
AFL-vs-control,20260705_AFL&control_1st,as-run,145,24.124,4.0,18.124,AFL,inferred-from-signal,1-6,0.6,6,134.36389878060064,0.48855478832992877,0.007709567224630132
AFL-vs-control,20260705_AFL&control_1st,as-run,145,24.124,4.0,18.124,AFL,inferred-from-signal,1-6,0.9,6,122.25987668166549,1.05848138648078,0.013536646230459597
AFL-vs-control,20260705_AFL&control_1st,as-run,145,24.124,4.0,18.124,AFL,inferred-from-signal,1-6,1.2,6,105.72764655702706,1.6434417881197874,0.01866231423088427
AFL-vs-control,20260705_AFL&control_1st,as-run,145,24.124,4.0,18.124,AFL,inferred-from-signal,1-6,1.5,6,111.27369627453062,2.544950806955249,0.023254796375991288
AFL-vs-control,20260705_AFL&control_1st,as-run,145,24.124,4.0,18.124,AFL,inferred-from-signal,1-6,1.8,6,163.84448790822796,2.3773960730473047,0.020136464915421346
AFL-vs-control,20260705_AFL&control_1st,as-run,145,24.124,4.0,18.124,Control,inferred-from-signal,7-12,0.0,6,273.0179845317278,-2.2565441801778774,0.000393821257565673
AFL-vs-control,20260705_AFL&control_1st,as-run,145,24.124,4.0,18.124,Control,inferred-from-signal,7-12,0.3,6,234.22172171749924,0.613630263842656,0.0022170342194451757
AFL-vs-control,20260705_AFL&control_1st,as-run,145,24.124,4.0,18.124,Control,inferred-from-signal,7-12,0.6,6,219.34149873958032,2.3304912241990414,0.005080488582196347
