check,expected,actual,status,detail
git history exists,>= 1 commit,102 commits,PASS,
no literal home path outside the resolver,none,0 found,PASS,
no Path.home() call outside the resolver,none,0 found,PASS,
runtime dependencies pinned with ==,all,7/7,PASS,
no orphaned bytecode in src (local hint only),none,0 found,PASS,
module referenced: analysis/partial_orders.py,exists,exists,PASS,
module referenced: generator/panel_experiment.py,exists,exists,PASS,
module referenced: scripts/audit_biology_learning.py,exists,exists,PASS,
module referenced: scripts/audit_claims.py,exists,exists,PASS,
module referenced: scripts/check_biology_readiness.py,exists,exists,PASS,
module referenced: scripts/ecmodel_isoprenoid_prior.py,exists,exists,PASS,
module referenced: scripts/evaluate_frozen_transfer.py,exists,exists,PASS,
module referenced: scripts/predict_product.py,exists,exists,PASS,
module referenced: scripts/run_hog_learning.py,exists,exists,PASS,
module referenced: scripts/run_in_silico_loop.py,exists,exists,PASS,
module referenced: scripts/run_native_reconciliation.py,exists,exists,PASS,
module referenced: scripts/run_native_training.py,exists,exists,PASS,
module referenced: tests/conftest.py,exists,exists,PASS,
module referenced: tests/test_xpt_export.py,exists,exists,PASS,
modules referenced in docs/ABLATION_PROTOCOL.md,all exist,all exist,PASS,
modules referenced in docs/ARCHITECTURE.md,all exist,all exist,PASS,
modules referenced in docs/ATP_SENSOR.md,all exist,all exist,PASS,
modules referenced in docs/AUDITS.md,all exist,all exist,PASS,
modules referenced in docs/AUDIT_2026_08.md,all exist,all exist,PASS,
modules referenced in docs/CITATION_AUDIT.md,all exist,all exist,PASS,
modules referenced in docs/CLAIM_BOUNDARY.md,all exist,all exist,PASS,
modules referenced in docs/COMPARISON.md,all exist,all exist,PASS,
modules referenced in docs/CONTRACT.md,all exist,all exist,PASS,
modules referenced in docs/CROSS_FAMILY.md,all exist,all exist,PASS,
modules referenced in docs/DATA_INVENTORY.md,all exist,all exist,PASS,
modules referenced in docs/DISTANCE_TO_THE_VISION.md,all exist,all exist,PASS,
modules referenced in docs/EXTERNAL_CAROTENOID_BOUND.md,all exist,all exist,PASS,
modules referenced in docs/EXTERNAL_PRODUCT_VALIDATION.md,all exist,all exist,PASS,
modules referenced in docs/EXTERNAL_VALIDATION.md,all exist,all exist,PASS,
modules referenced in docs/FIGURES.md,all exist,all exist,PASS,
modules referenced in docs/FINDINGS.md,all exist,all exist,PASS,
modules referenced in docs/HARD_TESTS.md,all exist,all exist,PASS,
modules referenced in docs/MEASUREMENTS_NEEDED.md,all exist,all exist,PASS,
modules referenced in docs/MECHANISTIC_LAYER.md,all exist,all exist,PASS,
modules referenced in docs/NULL_RESULTS.md,all exist,all exist,PASS,
modules referenced in docs/PARKED.md,all exist,all exist,PASS,
modules referenced in docs/PRODUCT_ARCHITECTURE.md,all exist,all exist,PASS,
modules referenced in docs/PROTOCOLS.md,all exist,all exist,PASS,
modules referenced in docs/REPRODUCING.md,all exist,all exist,PASS,
modules referenced in docs/SECOND_DATASET_HUNT.md,all exist,all exist,PASS,
modules referenced in docs/SOURCE_AUDIT.md,all exist,all exist,PASS,
modules referenced in docs/SPLITS.md,all exist,all exist,PASS,
modules referenced in docs/WHAT_IS_LEFT.md,all exist,all exist,PASS,
modules referenced in docs/WHY_INTERPOLATION_WORKS.md,all exist,all exist,PASS,
