well,a_rfu_per_od,background_rfu,od_min,od_max,n_timepoints,n_wells,ci95_low,ci95_high,includes_zero,fraction_of_reporter,fraction_upper_bound
A1,18.18622310252873,175.32742704211586,0.1846,0.6994,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
A2,18.18622310252873,177.212558448569,0.1875,0.6876,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
A3,18.18622310252873,176.4862860589733,0.1843,0.6822,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
A4,18.18622310252873,181.68221625080633,0.1857,0.6619,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
A5,18.18622310252873,175.3121131643209,0.1881,0.7014,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
A6,18.18622310252873,175.68958212489372,0.173,0.6799,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
B1,18.18622310252873,174.68773096836782,0.1876,0.6797,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
B2,18.18622310252873,177.86436515273385,0.1773,0.6388,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
B3,18.18622310252873,178.02776158708056,0.1835,0.6603,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
B4,18.18622310252873,172.94218187985,0.1795,0.6558,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
B5,18.18622310252873,176.36778417149063,0.1803,0.6684,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
B6,18.18622310252873,176.18288327424574,0.1795,0.6524,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
C1,18.18622310252873,173.94069192293838,0.1809,0.6239,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
C2,18.18622310252873,175.5224835271637,0.1837,0.6456,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
C3,18.18622310252873,180.82426253124964,0.1864,0.6447,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
C4,18.18622310252873,176.91568777051913,0.1833,0.5786,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
C5,18.18622310252873,178.22971580246525,0.1837,0.5873,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
C6,18.18622310252873,175.00582145583863,0.1781,0.5807,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
D1,18.18622310252873,146.4773403660294,0.1825,0.4062,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
D2,18.18622310252873,144.79589745092775,0.1873,0.4192,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
D3,18.18622310252873,143.0308843427547,0.183,0.3989,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
D4,18.18622310252873,165.98089945208608,0.1864,0.2889,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
D5,18.18622310252873,154.07651136185905,0.1837,0.2986,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
D6,18.18622310252873,173.73577015251826,0.1828,0.2936,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
E1,18.18622310252873,140.75139103601919,0.1869,0.3934,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
E2,18.18622310252873,140.2118061872756,0.1994,0.4147,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
E3,18.18622310252873,144.47681896060004,0.1846,0.3992,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
E4,18.18622310252873,202.81086494051587,0.204,0.2549,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
E5,18.18622310252873,205.7433481703909,0.1862,0.2399,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
E6,18.18622310252873,180.0701501205378,0.1811,0.2436,25,30,-6.068028625138027,42.440474830195484,True,0.004176900115417714,0.009747467806659504
