construct,stressor,dose_mM,autofluorescence_fraction,fold,low,high,estimable,n_plates,verdict
AlteredYap1,H2O2,0.1,0.0,1.0149848707343778,0.9388816555715881,1.1048138288981728,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.2,0.0,1.0713028063866992,0.9886361953288371,1.173916710975699,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.5,0.0,1.3714869067911106,1.059045652591057,1.7010767347227636,True,4,DIFFERENT
AlteredYap1,H2O2,1.0,0.0,1.0010337765500255,,,False,4,INCONCLUSIVE
AlteredYap1,H2O2,2.0,0.0,,,,False,4,INCONCLUSIVE
AlteredYap1,H2O2,4.0,0.0,,,,False,4,INCONCLUSIVE
NativeYap1,H2O2,0.1,0.0,0.9180673472465278,0.7361073136104104,1.07836864745675,True,4,INCONCLUSIVE
NativeYap1,H2O2,0.2,0.0,1.0300369510845804,0.8015021655608019,1.2711245082838176,True,4,INCONCLUSIVE
NativeYap1,H2O2,0.5,0.0,1.3724337778103082,0.9961547578509913,1.8699450282252463,True,4,INCONCLUSIVE
NativeYap1,H2O2,1.0,0.0,1.183264164696842,0.643785096654389,2.0594493051682843,True,4,INCONCLUSIVE
NativeYap1,H2O2,2.0,0.0,0.00898411035109896,,,False,4,INCONCLUSIVE
NativeYap1,H2O2,4.0,0.0,,,,False,4,INCONCLUSIVE
UPRE1,DTT,0.1,0.0,1.0493438507858743,0.9867342523776558,1.122529485617351,True,4,INCONCLUSIVE
UPRE1,DTT,0.2,0.0,1.1537755731077446,1.095183489956136,1.211077356774031,True,4,DIFFERENT
UPRE1,DTT,0.5,0.0,1.3542696460749852,1.2090118005104442,1.569263372162448,True,4,DIFFERENT
UPRE1,DTT,1.0,0.0,1.4405487950938292,1.2224532569029671,1.6793509944537002,True,4,DIFFERENT
UPRE1,DTT,2.0,0.0,1.0587017365450464,0.9232983130665473,1.2129794468779316,True,4,INCONCLUSIVE
UPRE1,DTT,5.0,0.0,0.9342106077052286,0.7951263457334872,1.0903106513571765,True,4,INCONCLUSIVE
UPRE2,DTT,0.1,0.0,1.0673621482596103,0.9848948991012488,1.1543585941171763,True,4,INCONCLUSIVE
UPRE2,DTT,0.2,0.0,1.17076924162886,1.0684819090000914,1.254332543656633,True,4,DIFFERENT
UPRE2,DTT,0.5,0.0,1.4159390901744104,1.137798562962084,1.6372393961194691,True,4,DIFFERENT
UPRE2,DTT,1.0,0.0,1.5618930678959848,1.3042383130807709,1.8322538560554467,True,4,DIFFERENT
UPRE2,DTT,2.0,0.0,1.1056112520975805,0.9503346697615019,1.384364152271954,True,4,INCONCLUSIVE
UPRE2,DTT,5.0,0.0,1.063067915069896,0.9341918270298144,1.2328871108623118,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.1,0.05,1.015117483629022,0.9389722306863598,1.104741734229762,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.2,0.05,1.0729171311536514,0.9883490050543288,1.1788298167516196,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.5,0.05,1.3805623386287635,1.069307605889303,1.7155736831332211,True,4,DIFFERENT
AlteredYap1,H2O2,1.0,0.05,1.0149303449944587,,,False,4,INCONCLUSIVE
AlteredYap1,H2O2,2.0,0.05,,,,False,4,INCONCLUSIVE
AlteredYap1,H2O2,4.0,0.05,,,,False,4,INCONCLUSIVE
NativeYap1,H2O2,0.1,0.05,0.9175491643380878,0.7324179298073926,1.0802688123529995,True,4,INCONCLUSIVE
NativeYap1,H2O2,0.2,0.05,1.0310994429063038,0.7963462698952761,1.2767647252162053,True,4,INCONCLUSIVE
NativeYap1,H2O2,0.5,0.05,1.382711167336604,1.0044483331767333,1.8870415473248456,True,4,DIFFERENT
NativeYap1,H2O2,1.0,0.05,1.2110235265406355,0.6544097308716093,2.1148423469671296,True,4,INCONCLUSIVE
NativeYap1,H2O2,2.0,0.05,0.006463028942774078,,,False,4,INCONCLUSIVE
NativeYap1,H2O2,4.0,0.05,,,,False,4,INCONCLUSIVE
UPRE1,DTT,0.1,0.05,1.0516226691613644,0.9866529077001768,1.1278049153522223,True,4,INCONCLUSIVE
UPRE1,DTT,0.2,0.05,1.158932404733039,1.0990806950616718,1.2178772362406463,True,4,DIFFERENT
UPRE1,DTT,0.5,0.05,1.3639614855426692,1.2185192436684806,1.5808727576919006,True,4,DIFFERENT
