model,free params,RMSE(log) train,RMSE(log) LOO,MAPE LOO %,worst rel. err %,skill vs best baseline
training mean rate,1,,0.4536694771002436,41.00397925136057,77.78555524194648,-0.07696664270806997
training mean content,1,,0.4371580045646018,41.938810085290896,135.36133389467687,0.0
training mean ratio,1,,0.9766816225428302,147.7084008758722,536.8108631181674,-3.9914780100632106
vmax shared,2,0.3611402107553284,0.46821433796241874,41.23921444862504,68.02711426753783,-0.14712976250276188
vmax ~ CrtYB mRNA,2,0.48804197880929395,0.5856503751711281,59.93895358806153,196.1282635699742,-0.794733551655658
"vmax per strain, growth-independent",4,0.2751425225461178,0.5502850450922356,49.3923499013606,144.82239199099877,-0.584523011696769
capacity per strain x mu,4,0.08453243874416264,0.20542390129123195,17.39220738392402,29.57208462049989,0.7791867774949762
vmax ~ mu,2,0.10580387173193673,0.18583507463601925,17.41327243547558,33.033982826568895,0.8192915324535499
vmax ~ mu^beta,3,0.1054451180470492,0.20515216661920363,20.209562903339606,32.99686479786993,0.7797705744387994
vmax ~ mRNA x mu^beta,3,0.27064214443581713,0.4197336112517356,33.12249939615704,112.16361736435805,0.07812799683170635
"vmax ~ mu, no saturation",1,0.8265573091630877,0.9918687701119111,130.06302233583733,455.56535510925784,-4.147917315731336
