well,dilution_r2,dilution_slope,qss_fraction,naive_fold,activity_fold,negative_activity_fraction,implied_min_k_deg,excess_loss_rate,mu_min,mu_max,verdict
A7,0.6685846146865823,0.542541255193483,0.3008130081300813,1.9614827858425095,,0.4715447154471545,0.1111488007958838,0.1111488007958838,-0.0025783860753099247,0.3053982470529632,model-inadequate
A8,0.8826015445869705,0.5989553133358143,0.3008130081300813,2.039971051021748,,0.4715447154471545,0.09984316924651916,0.09984316924651916,-0.003109981767813546,0.30885293156603544,model-inadequate
A9,0.7570587715948973,0.5601676437832691,0.2926829268292683,2.1798588714201506,,0.4796747967479675,0.10461618954367903,0.10461618954367903,-0.0018936065618369337,0.34797555618539033,model-inadequate
B7,0.8531008661740547,0.5261177978218783,0.2926829268292683,2.0577845013002096,,0.4796747967479675,0.1081409808548227,0.1081409808548227,-0.0017116644037301289,0.35028868290062276,model-inadequate
B8,0.8601411809001354,0.5509143273976839,0.3008130081300813,2.036402585622553,,0.4715447154471545,0.0998186919023671,0.0998186919023671,-0.000913243200411648,0.3295385978793001,model-inadequate
B9,0.7461541858432532,0.5738066909748617,0.2926829268292683,2.1734674445285003,,0.4796747967479675,0.10297314840071452,0.10297314840071452,-0.002917088501711828,0.341218742445711,model-inadequate
C7,0.7839106692974622,0.532071587907968,0.2926829268292683,2.2486044130827496,,0.4796747967479675,0.10504046622919828,0.10504046622919828,-0.0017407309351229097,0.34192076858757164,model-inadequate
C8,0.6316076934039327,0.580648055534878,0.3089430894308943,2.301648504838066,,0.4715447154471545,0.10076840227235807,0.10076840227235807,-0.0010385089612375315,0.4687249317331078,model-inadequate
C9,0.760813228051259,0.5706870684605664,0.2926829268292683,2.4335386810548973,,0.4796747967479675,0.10716144749303938,0.10716144749303938,-0.0011089551379343684,0.42153194196243426,model-inadequate
D7,0.7341617816048279,0.6589282826602333,0.2926829268292683,2.68495310767327,,0.4796747967479675,0.10845009861046588,0.10845009861046588,-0.0030046441324290004,0.35275598361599336,model-inadequate
D8,0.7254098394871313,0.6928461073719213,0.3008130081300813,2.7175930237605708,,0.4796747967479675,0.09992593498765848,0.09992593498765848,-0.0007492381522796911,0.34323271212880596,model-inadequate
E7,0.5016961755462089,0.6226837358250294,0.3252032520325203,2.7332125194973984,,0.4796747967479675,0.09523919540611167,0.09523919540611167,0.0010182593614448093,0.28618599968920977,model-inadequate
E8,0.6818053616367398,0.8101423922691703,0.35772357723577236,2.9847038950020104,,0.4715447154471545,0.0861636779602224,0.0861636779602224,-0.06242832233345501,0.2673155122248336,model-inadequate
