well,dilution_r2,dilution_slope,qss_fraction,naive_fold,activity_fold,negative_activity_fraction,implied_min_k_deg,excess_loss_rate,mu_min,mu_max,verdict
B1,,,0.0,0.8101595784927682,,0.5727272727272728,0.022532804187878647,0.022532804187878647,0.0058780393888241585,0.09158184707657464,model-inadequate
B2,,,0.0,0.7186772992309693,,0.6,0.045927558931634686,0.045927558931634686,-0.003489844780630252,0.07418286103558068,model-inadequate
B3,,,0.0,0.6545893619930095,,0.6272727272727273,0.04451583505963975,0.04451583505963975,-0.124416107888709,0.07361590891108546,model-inadequate
C1,,,0.0,0.7614978812477009,,0.6727272727272727,0.04539636346805828,0.04539636346805828,-0.002543909397864598,0.07896885768873749,model-inadequate
C2,,,0.0,0.764585921462198,,0.6363636363636364,0.06123656010155814,0.06123656010155814,0.002180770576314389,0.08279106481101518,model-inadequate
C3,,,0.0,0.7912488727492029,,0.6272727272727273,0.024884346885343904,0.024884346885343904,-0.2298618233808109,0.07188178422997143,model-inadequate
D1,,,0.0,0.7580581226936355,,0.6909090909090909,0.05006741731294461,0.05006741731294461,-0.003634876723547011,0.08816111868408899,model-inadequate
D2,,,0.0,0.7424105836137023,,0.7181818181818181,0.04218857728853556,0.04218857728853556,0.002913001717630691,0.06617171356801321,model-inadequate
D3,,,0.0,0.7529341141571686,,0.6454545454545455,0.06018959925113165,0.06018959925113165,-0.1805679206983995,0.06384281946690118,model-inadequate
E2,,,0.0,0.32468392191636364,,1.0,0.12380497265001543,0.12380497265001543,-0.11414048077181434,0.05845851582666686,model-inadequate
E3,,,0.0,0.34139991250481017,,1.0,0.10311797570517502,0.10311797570517502,-0.04278082270624492,0.06195839893200632,model-inadequate
B4,,,0.0,0.6081568340709446,,0.6272727272727273,0.0333785211654819,0.0333785211654819,-0.1277210653177893,0.06872696626682315,model-inadequate
B5,,,0.0,0.5843900456234387,,0.6272727272727273,0.039865282063474596,0.039865282063474596,0.012946540482853782,0.07506981800095945,model-inadequate
B6,,,0.0,0.5950688849676323,,0.6363636363636364,0.04289786662624713,0.04289786662624713,0.009372615714917933,0.0626780038971676,model-inadequate
C4,,,0.0,0.6838605831666433,,0.7,0.06562906169648809,0.06562906169648809,-0.06183387769609947,0.07102816969956682,model-inadequate
C5,,,0.0,0.6789111031327807,,0.7181818181818181,0.05106513264532059,0.05106513264532059,-0.060013510189095357,0.06886543994077884,model-inadequate
C6,,,0.0,0.7059859481833678,,0.7272727272727273,0.03886262611851102,0.03886262611851102,-0.15760333464981136,0.0713617857537868,model-inadequate
D4,,,0.0,0.6735708923041405,,0.7272727272727273,0.05302806245279152,0.05302806245279152,-0.29082779966421346,0.06041454335151422,model-inadequate
D5,,,0.0,0.6885118789484711,,0.7272727272727273,0.06593344662859674,0.06593344662859674,-0.2633351402719179,0.06384092512231408,model-inadequate
D6,,,0.0,0.6858938460475535,,0.7454545454545455,0.05555502931529969,0.05555502931529969,-0.2052813803341541,0.06817640807603648,model-inadequate
E4,,,0.0,0.18099290587675326,,1.0,0.19868465996117193,0.19868465996117193,-0.26002904166477003,0.06152285941896561,model-inadequate
E5,,,0.0,0.23571897258050156,,1.0,0.15584757029007562,0.15584757029007562,-0.14928691812020894,0.0636384622170935,model-inadequate
B7,,,0.0,0.6542594419877964,,0.6363636363636364,0.043404346599719555,0.043404346599719555,-0.004049452608969172,0.06322842073321977,model-inadequate
B8,,,0.0,0.616830029105955,,0.6272727272727273,0.04341612151592851,0.04341612151592851,0.015669950223475986,0.0674038607923434,model-inadequate
B9,,,0.0,0.6114038153616206,,0.6181818181818182,0.027359969493641917,0.027359969493641917,-0.05903990256117418,0.06887131731991951,model-inadequate
C7,,,0.0,0.7107329127235515,,0.7363636363636363,0.07485890821175911,0.07485890821175911,-0.0815962159037109,0.06717937533059251,model-inadequate
C8,,,0.0,0.7424974531350881,,0.7090909090909091,0.06720219621257822,0.06720219621257822,0.00019065992034104193,0.07256853813957209,model-inadequate
C9,,,0.0,0.7909439446314096,,0.6,0.04180338794146837,0.04180338794146837,-0.12710572563010158,0.07279177397420404,model-inadequate
D7,,,0.0,0.712631656641226,,0.7,0.04896824922188599,0.04896824922188599,-0.12731121607769866,0.0650060111700414,model-inadequate
D9,,,0.0,0.7014144771407334,,0.7181818181818181,0.08092230568220943,0.08092230568220943,-0.170115390951424,0.06478486733471826,model-inadequate
B10,,,0.0,0.6802660423685147,,0.7090909090909091,0.04079916943349138,0.04079916943349138,-0.21119460310517424,0.06267331898495485,model-inadequate
B11,,,0.0,0.6404587995226951,,0.7090909090909091,0.046503298818336175,0.046503298818336175,-0.14173948205995082,0.07205850374954165,model-inadequate
B12,,,0.0,0.6306651185904052,,0.6818181818181818,0.03959469290909228,0.03959469290909228,-0.0024488734363932057,0.08549174307841516,model-inadequate
C10,,,0.0,0.6739486100190826,,0.7545454545454545,0.06338163210893372,0.06338163210893372,-0.2231600473257208,0.07083952937833159,model-inadequate
C11,,,0.0,0.6754852377977695,,0.7363636363636363,0.058568305642205186,0.058568305642205186,-0.08460026596051907,0.07609909172664198,model-inadequate
