well,dilution_r2,dilution_slope,qss_fraction,naive_fold,activity_fold,negative_activity_fraction,implied_min_k_deg,excess_loss_rate,mu_min,mu_max,verdict
A1,,,0.08,1.7030072680483377,1.5580363334857592,0.0,0.0,0.0,0.16481702727466233,0.5496273903823466,not-estimable
A2,0.1391735862957657,-0.06520367927203007,0.2,1.7756922638173607,1.130525649158054,0.0,0.0,0.0,0.11979431472311602,0.6589280321772725,mixed
A3,0.640755940582554,-0.15695149297249472,0.2,1.7698574551899258,1.1715416475139573,0.0,0.0,0.0,0.17352077713090996,0.8651118159639059,mixed
B1,0.7803398258436597,0.4584020192810642,0.2,1.8955156959586963,1.2218004196196257,0.0,0.0,0.0,0.1778984403700495,0.560512954140482,dilution-dominated
B2,0.6460334821258995,-0.19002624083741967,0.2,1.8370784873073445,1.1400502006365751,0.0,0.0,0.0,0.10735692537878544,0.7068146507167461,mixed
B3,0.005292566402463672,-0.013911882205642467,0.2,1.9369117200522568,1.368676089588171,0.0,0.0,0.0,0.16451653813120362,0.6138204621760767,mixed
C1,,,0.0,2.221524097263851,1.5981271242776227,0.0,0.0,0.0,0.15688741136640272,0.4153232646824006,not-estimable
C2,0.0011460268069748425,-0.009246986527243997,0.24,1.9775458318370032,1.4409859691435085,0.0,0.0,0.0,0.15695564960019337,0.7127091080994185,mixed
C3,,,0.0,2.0536595570301186,1.3923801269737497,0.0,0.0,0.0,0.14750942696315889,0.45714943425268956,not-estimable
D1,,,0.12,2.4519006898650777,1.562922900481462,0.0,0.0,0.0,0.12344786495156855,0.5808994295328281,not-estimable
D2,0.9286394294107835,2.0104519749355916,0.2,2.375127345550403,1.3314151445604527,0.0,0.0,0.0,0.19815979004293058,0.5423082835599257,dilution-dominated
D3,,,0.0,2.3975895572434145,1.5164100065390471,0.0,0.0,0.0,0.14943325131862042,0.49179050056702284,not-estimable
E1,,,0.0,3.2940545835625583,1.6124992825675195,0.0,0.0,0.0,0.12341386343229488,0.36335637317305375,not-estimable
E2,,,0.16,3.322474086683377,1.0799695862212857,0.0,0.0,0.0,0.14314637976902378,0.6478435347167614,not-estimable
E3,,,0.12,3.4733525504888343,1.0733212937312715,0.0,0.0,0.0,0.15075713594378715,0.6334511913909769,not-estimable
