well,dilution_r2,dilution_slope,qss_fraction,naive_fold,activity_fold,negative_activity_fraction,implied_min_k_deg,excess_loss_rate,mu_min,mu_max,verdict
A1,0.8140335478019742,0.6329344865533255,0.2,3.1101711831838132,1.5997614896634376,0.0,0.0,0.0,0.18048528330593944,0.6287700817541306,mixed
A2,0.9060352781452315,0.34148766371337747,0.2,2.81763445643075,1.5686408582836595,0.0,0.0,0.0,0.1905754492250981,0.7024880721676215,mixed
A3,0.8922819911681616,0.5793468504818644,0.24,3.0316632975127065,1.0476572651653602,0.0,0.0,0.0,0.1652349781534929,0.7269454091104895,dilution-dominated
B1,0.30973864666744,0.2493489207676341,0.28,3.0524907500906284,1.2453978664387613,0.0,0.0,0.0,0.17293819765165322,0.8521264147351576,mixed
B2,0.7643419378929592,0.5315960255287075,0.24,3.035906700312928,1.4423766953225474,0.0,0.0,0.0,0.17936349657364703,0.7312500994392697,dilution-dominated
B3,,,0.12,4.219941742810576,5.324268471622778,0.04,0.2604828069747964,0.2604828069747964,0.17801142263665978,0.7272396496664951,not-estimable
C1,,,0.0,3.3164895860547894,1.6749685176351872,0.0,0.0,0.0,0.18901699702356203,0.49924869933145716,not-estimable
C2,,,0.16,2.9745999864459693,2.399540289127319,0.0,0.0,0.0,0.18434487712869027,0.5995551972447829,not-estimable
C3,0.370792210620595,0.3182997405794772,0.28,3.5225821283884575,1.3775431049271933,0.0,0.0,0.0,0.19236531184066602,0.7947190976626569,mixed
D1,0.9083411530981197,2.212046665023176,0.2,4.543952921876692,2.001240358139527,0.0,0.0,0.0,0.18789324329570853,0.5843881081649746,mixed
D2,,,0.12,4.710412614622808,0.8508713927851324,0.0,0.0,0.0,0.18077499216146253,0.5697321982817264,not-estimable
D3,,,0.16,4.52141493177137,1.3974020420054094,0.0,0.0,0.0,0.18776096965045871,0.9946362875547187,not-estimable
E1,,,0.0,5.1243773206799235,1.6782173753871152,0.0,0.0,0.0,0.1309486869168181,0.4480102214387885,not-estimable
E2,,,0.04,5.507069733109986,1.749300357829343,0.0,0.0,0.0,0.1543247566795815,0.5060338391479905,not-estimable
E3,,,0.16,5.110638077108899,1.7623046792560448,0.0,0.0,0.0,0.14308645718283336,1.0022469390185818,not-estimable
F1,,,0.08,5.447121534420464,1.378521151468311,0.0,0.0,0.0,0.06621427433593541,0.540526661094425,not-estimable
F2,,,0.08,6.09742266796274,1.2127896371064175,0.0,0.0,0.0,0.055434503147925245,0.5531638689620182,not-estimable
F3,,,0.16,5.491563862407344,1.0607599076717578,0.0,0.0,0.0,0.07702489736030564,1.1054388760862663,not-estimable
G1,,,0.0,5.8155865558245345,1.3981005716853876,0.0,0.0,0.0,0.05869915053885964,0.49536946742455296,not-estimable
G2,,,0.0,6.119047765062371,1.7696611528877528,0.0,0.0,0.0,0.0647389539011289,0.4976116023427816,not-estimable
G3,,,0.16,5.3949201721953255,0.9469492529477569,0.0,0.0,0.0,0.05872535168234779,0.977967842396286,not-estimable
A4,,,0.0,4.395101824443496,1.0853099475528194,0.0,0.0,0.0,0.18947919866911075,0.48616312619181007,not-estimable
A5,0.8778041912609872,2.081642798627132,0.24,4.701276159307694,0.9274062635333824,0.0,0.0,0.0,0.18817871768690358,0.7469263178513976,dilution-dominated
B4,0.4629977828425822,1.0448834480121678,0.24,3.5923785160338113,1.380007232377042,0.0,0.0,0.0,0.22159909568002234,0.8069546210846545,mixed
B5,,,0.16,4.587803996793947,1.3005990241734406,0.0,0.0,0.0,0.1816792696226726,0.5293457856175057,not-estimable
B6,,,0.16,3.4729679101940674,1.4637384327980796,0.0,0.0,0.0,0.17174178610547366,0.6825920604593725,not-estimable
C4,0.7443761556685267,0.8598710606445171,0.24,4.457897482433747,1.3355416320111047,0.0,0.0,0.0,0.18012582499232457,0.8928596497515543,mixed
C5,,,0.16,4.6337415914791515,2.016413285312239,0.0,0.0,0.0,0.17851649448154164,0.7302822459391034,not-estimable
C6,,,0.0,4.72661787938698,1.7664709688745268,0.0,0.0,0.0,0.1689006260466937,0.44375775311401544,not-estimable
D4,0.9326198773576522,1.0806545165127288,0.24,5.8102553235999626,1.5607183344822226,0.0,0.0,0.0,0.19110958886203688,0.9586515424287533,mixed
D5,0.1233510977389386,0.07784443348647732,0.2,5.963929823284205,1.827290271279273,0.0,0.0,0.0,0.07133416856034566,1.5996508957808862,mixed
D6,0.8954776318761517,0.9518031618834019,0.2,5.579326952547232,3.0551934719845577,0.04,0.0,0.0,0.21101153363726774,0.7716739402181048,promoter-driven
E4,,,0.12,7.197674066724951,1.5561833727017484,0.0,0.0,0.0,0.14754113708015923,0.5806184511982726,not-estimable
E5,0.9502360333321748,1.32412906473197,0.24,8.232422480253447,1.4840918102863854,0.0,0.0,0.0,0.11861102446335571,1.0637056380298084,dilution-dominated
E6,,,0.16,8.039751793405372,1.8137488033613618,0.0,0.0,0.0,0.18173719598054783,0.8296709279436668,not-estimable
F4,,,0.16,7.782968574932506,0.843176795533179,0.0,0.0,0.0,0.05012953853165843,0.7353345314195198,not-estimable
F5,,,0.04,7.836535368112247,1.3855650914604614,0.04,0.0,0.0,0.07209690949070943,0.526921014790847,not-estimable
F6,,,0.12,8.484002276543546,1.1483245528139867,0.0,0.0,0.0,0.06470672464101469,0.5913100161372199,not-estimable
G5,,,0.0,9.88262112981617,2.817807307546914,0.04,0.0,0.0,0.08855975221753636,0.498303162471008,not-estimable
G6,,,0.0,8.483629161214983,1.1503599167702334,0.0,0.0,0.0,0.07476377007668304,0.45718517735232467,not-estimable
A7,0.8427828867649998,6.329054585307996,0.24,3.5700262342618405,1.7567117813093553,0.04,0.0,0.0,0.14938188961139134,0.5591725918865582,mixed
A8,0.0629054122820848,-3.5089347643874538,0.32,4.058863810495512,1.1594824552884972,0.0,0.0,0.0,0.15340653457986095,0.5559855631307408,mixed
A9,0.24699039087454988,1.760624600159568,0.32,5.132650660433593,0.7716617231769493,0.0,0.0,0.0,0.18299563817912884,0.7920892767520759,mixed
B7,0.021045582883692737,0.9529231045669158,0.32,3.713841077998666,0.2862459105297281,0.0,0.0,0.0,0.1323800723845361,0.7231311425388055,mixed
B8,0.28785251773933473,-4.260838242830926,0.28,4.877407491462384,0.4062711849204146,0.0,0.0,0.0,0.16935409730420825,0.6253691086334843,mixed
B9,0.991239297965915,10.886989875217818,0.24,4.557160307476177,0.5802813447944111,0.0,0.0,0.0,0.1613768798519693,0.5586718284040839,dilution-dominated
C7,,,0.12,4.607855946941672,0.58973008819649,0.0,0.0,0.0,0.18364971100420283,0.5368940267147073,not-estimable
