well,dilution_r2,dilution_slope,qss_fraction,naive_fold,activity_fold,negative_activity_fraction,implied_min_k_deg,excess_loss_rate,mu_min,mu_max,verdict
A1,,,0.16,0.9860861050108457,2.36443287075097,0.08,0.500322133467964,0.500322133467964,0.13829589731445732,1.3034256434028426,not-estimable
A2,,,0.12,0.9764410503190454,1.4411901437489134,0.0,0.0,0.0,0.3783673907378482,0.5661387453967432,not-estimable
A3,,,0.16,1.0345677451103406,1.1526245891526548,0.04,0.008911877770065857,0.008911877770065857,0.19771187706686316,1.1189897946870768,not-estimable
B1,,,0.16,1.051133352723308,10.38231805917345,0.04,0.7375211526256467,0.7375211526256467,0.2178330100267051,0.9150574999882868,not-estimable
B2,0.23679909950242384,-0.7258295732535006,0.28,0.9904586826276467,2.8345883936095966,0.04,0.16622558869987958,0.16622558869987958,0.23414615634580674,0.6045201353501889,promoter-driven
B3,,,0.16,1.0658668125726052,3.022788508005186,0.04,0.6798432029744759,0.6798432029744759,0.0560941124302978,1.4569424136097853,not-estimable
C2,,,0.16,1.2133802492085868,,0.08,0.6382528876939981,0.6382528876939981,0.03682350425882659,1.4492013441992453,not-estimable
C3,,,0.12,1.0633337259515654,2.1446872287730927,0.0,0.0,0.0,0.21100525508571458,0.859973783836208,not-estimable
D1,0.2402689615599446,-0.23840832161238687,0.2,1.3969499242022017,1.5096097901097139,0.0,0.0,0.0,0.3413482235539202,0.7099455862133578,mixed
D2,0.812171770950695,-0.3965707175228925,0.2,1.3582968137768088,0.7018249915583961,0.0,0.0,0.0,-0.20231414597440295,2.6642073317672823,dilution-dominated
D3,,,0.16,1.5655999008375485,,0.12,1.2774272131947668,1.2774272131947668,-0.0771902915453754,1.7820159612788002,not-estimable
E1,,,0.16,2.6003844558285563,22.0491978776463,0.04,0.5619014928904618,0.5619014928904618,-0.02930639908607186,1.7402875655329828,not-estimable
E2,,,0.16,2.1763395887678096,4.5498280328692235,0.04,0.8144544777459792,0.8144544777459792,-0.1179247458562794,2.1483903289007285,not-estimable
E3,,,0.12,1.904899917070835,1.6621700227772596,0.0,0.0,0.0,0.28329038088210745,0.5612660481685479,not-estimable
F1,0.36176715017950156,-0.13939538594598774,0.28,2.38426152501032,0.45343756999221974,0.0,0.0,0.0,0.07677076435039379,0.9934902938764479,mixed
F2,,,0.16,3.2365943344825023,3.1095255384602627,0.04,0.5557556303617022,0.5557556303617022,-0.09203011136756013,1.462437395029174,not-estimable
G1,,,0.12,2.6778478244251245,,0.08,0.8465974723714147,0.8465974723714147,0.051453878608082246,1.0293758478541826,not-estimable
G3,,,0.16,2.590951061340498,0.4833723710433859,0.0,0.0,0.0,-0.15336289118194157,2.2574418916728267,not-estimable
A4,0.09820658530651083,-0.13274374850415022,0.32,1.4084655060466968,0.9250232683814372,0.0,0.0,0.0,0.268266803671437,0.8543194398349586,mixed
A5,0.7738722589856182,-0.6802184649768626,0.2,0.9141989927917813,0.49010716571326673,0.0,0.0,0.0,0.10975220514572381,2.18620291694948,dilution-dominated
A6,,,0.12,1.2845774841070512,2.0849306701646313,0.0,0.0,0.0,0.3363725415506903,0.5914002007915914,not-estimable
B4,0.5439706973151504,-0.7113519436568874,0.28,1.2035397527503444,0.8103135024998888,0.0,0.0,0.0,0.33129456949903496,0.8058586987231253,mixed
B5,0.03563224857667169,0.45903514105657556,0.28,1.4337992618540703,2.072602151003495,0.0,0.0,0.0,0.322954883648879,0.531195384171377,promoter-driven
B6,0.5899178798816712,-0.446658149921982,0.28,1.1090373104507016,0.29301538683822487,0.04,0.0,0.0,0.12979243328138132,1.954224254869546,mixed
C4,0.5664324452365301,-0.22044494490828057,0.28,1.3482519188008395,0.664381379951482,0.0,0.0,0.0,0.22840858192825905,1.1549158286366976,mixed
C5,,,0.16,1.3741091147181335,1.2880802351508858,0.0,0.0,0.0,0.34188155450999635,0.5646950138201045,not-estimable
C6,,,0.08,1.4392251634820425,4.863906884261991,0.04,0.3285128161596499,0.3285128161596499,-0.04605010048967512,0.8580544049201827,not-estimable
D5,,,0.04,1.658874795597293,1.6856583324368175,0.0,0.0,0.0,0.09263621060697362,0.507980952916336,not-estimable
D6,,,0.16,1.5529042954207324,1.9419651761216499,0.0,0.0,0.0,0.35403239894462424,0.5875193199851444,not-estimable
E4,,,0.0,2.094567573452889,1.5342394916599482,0.0,0.0,0.0,-0.001696540654041611,0.39553575637855626,not-estimable
E5,,,0.0,3.0900752236658278,,0.08,0.8237982933972959,0.8237982933972959,-0.32243445112512403,0.28036041326229444,not-estimable
