well,dilution_r2,dilution_slope,qss_fraction,naive_fold,activity_fold,negative_activity_fraction,implied_min_k_deg,excess_loss_rate,mu_min,mu_max,verdict
A1,,,0.16,1.6248798776324187,1.0053971676144042,0.0,0.0,0.0,0.17056258138176844,0.625002466901712,not-estimable
A2,0.6364700702098264,-0.4184695136816915,0.24,1.55355134766505,1.4472666096351814,0.0,0.0,0.0,0.1910676124063804,1.0141460765343207,mixed
A3,0.16368522912210048,-0.1323952567324591,0.28,1.6054533873556405,0.9639653043241078,0.0,0.0,0.0,0.1594775940003949,0.6053150669226169,mixed
A4,,,0.16,1.476774226483544,0.9807612984966543,0.0,0.0,0.0,0.17731618211423536,1.4197478427142032,not-estimable
A5,0.878509202009034,-0.45649817164434653,0.2,1.439882058176923,0.9079121555766515,0.0,0.0,0.0,0.19904204594006025,1.3673776696017959,dilution-dominated
A6,0.021099781764492453,-0.09068340983600522,0.2,1.4367763753992164,0.9913420840183216,0.0,0.0,0.0,0.207848809586802,0.6315554007261156,mixed
A7,0.5449504487216287,-0.5924911034516913,0.32,1.5329715546111822,0.34891619813848057,0.0,0.0,0.0,0.17788348106778634,0.7388958391607259,mixed
A8,,,0.04,1.534501499383448,0.45609133320119144,0.0,0.0,0.0,0.19923436502374378,0.5037755542656968,not-estimable
A9,0.5880389623360511,-0.2702515772041653,0.2,1.5928236415945163,0.5562746962178382,0.0,0.0,0.0,0.17737742133298157,1.781941476056876,mixed
A10,0.2717885000492677,-5.632180611307548,0.24,1.5402950797047643,0.6575142186368907,0.0,0.0,0.0,0.24456606229362118,0.5122742779126397,mixed
A11,0.13018690009388534,1.6374555747477841,0.24,1.5351852193096953,0.8380753786118804,0.0,0.0,0.0,0.22959642604116073,0.5127801275761923,mixed
B1,0.6946837085708277,-0.4452624341680984,0.2,1.7243944531443491,1.8290476517172813,0.04,0.29441955053495183,0.29441955053495183,0.14876357047316738,1.3532397835539491,mixed
B2,0.34572204403511786,-0.2052044547542283,0.24,1.6541127828259874,0.8538185625549499,0.0,0.0,0.0,0.1674702747289502,1.3736621633928912,mixed
B3,0.8933413904280734,-1.2425788473248034,0.24,1.8145243344107473,1.3574985127643506,0.0,0.0,0.0,0.10559366743973954,0.6553106120794936,dilution-dominated
B4,0.8057739491325464,-0.42648790800391106,0.2,1.6072176065994057,0.6568583694825687,0.0,0.0,0.0,0.11119033324857358,1.6292308190769829,dilution-dominated
B5,,,0.16,1.624399728064309,1.3962410068631737,0.0,0.0,0.0,0.20534417846937214,0.6121871124632775,not-estimable
B6,,,0.12,1.9231064680651198,,0.08,1.1649223841555254,1.1649223841555254,0.13790299571343628,0.9633023311644996,not-estimable
B7,0.07901660715522174,-0.09844317571048303,0.2,1.84477834193138,0.46028379010720555,0.0,0.0,0.0,0.1869930433062339,1.6217766293636784,mixed
B8,,,0.12,2.9187387920591155,,0.08,1.5226506435942708,1.5226506435942708,-0.08448540277003576,1.0171818236831922,not-estimable
B11,,,0.12,1.7521752868886207,0.7445070135966518,0.0,0.0,0.0,0.232861088123237,0.6482922285686268,not-estimable
B12,0.2731076322934727,0.2049676182343665,0.24,1.7382206449194835,0.8555187194712224,0.04,0.07670123275502805,0.07670123275502805,0.20170909575839313,1.4616029002395983,mixed
C1,,,0.16,1.769476458814634,0.6694537379059928,0.0,0.0,0.0,0.15849474643793,1.724044028116451,not-estimable
C2,0.45683809117118823,-0.23744394187647008,0.2,1.658194858115858,0.676980721838201,0.0,0.0,0.0,0.15225492771702173,1.6256567849995611,mixed
C3,0.32833276214935303,-0.3445500924331934,0.32,1.8033927309189492,1.1751701979166014,0.0,0.0,0.0,0.1658246943199161,0.7447562826082279,mixed
C4,0.44131117588749535,-0.2496075449392376,0.24,1.6299075391016906,0.9790554585020956,0.0,0.0,0.0,0.17804412072835607,1.4861561652575623,mixed
C5,0.5340291481892013,-0.28077899331425776,0.24,1.7143991743945382,1.2546197503822272,0.0,0.0,0.0,0.1948092615653374,1.67917847983333,mixed
C6,0.8605101595652288,-0.4800101863770404,0.2,1.746840069613978,0.9017401991917063,0.0,0.0,0.0,0.09253379664309032,1.6672130190165018,dilution-dominated
C8,,,0.16,2.038989479508446,0.2671464928565012,0.0,0.0,0.0,0.10893182588121085,2.217749813360723,not-estimable
C9,,,0.16,2.449465208957691,0.4562102386548387,0.0,0.0,0.0,0.11321928631430195,2.068394873373478,not-estimable
C10,0.011029782904705576,0.021604547565947294,0.24,2.0766279034733817,0.3983290273154269,0.0,0.0,0.0,0.10456028117174516,1.7102535487535129,mixed
C11,0.0002672592456059997,-0.005938814347039874,0.2,2.1731429143348167,1.547969841327113,0.04,0.45247191165624034,0.45247191165624034,0.18806598313863127,1.6249326149772396,mixed
C12,,,0.12,1.9508487138743542,0.9697406147120629,0.04,0.0,0.0,0.2612866165176486,0.5595473401343001,not-estimable
D1,0.6942491021615413,-0.3150864019618659,0.2,2.1066035354591386,0.7925128840735446,0.0,0.0,0.0,-0.018990997908975262,2.186187115161563,mixed
D2,,,0.16,2.2412253261968123,4.016046498901052,0.04,0.46378453241066775,0.46378453241066775,0.18723071674180544,1.0216736952376773,not-estimable
D3,,,0.16,2.285623881214422,3.521836249794671,0.04,0.7124863301249926,0.7124863301249926,0.09147185029761537,1.25284544371365,not-estimable
D4,0.4872734305649816,-0.16903503794365207,0.2,2.2095812148468146,0.984551189281004,0.0,0.0,0.0,0.2181517285921267,1.6651699361415742,mixed
D5,0.7180428909413543,-0.37791952475467105,0.2,2.270034712258976,1.281006260462117,0.0,0.0,0.0,-0.029813655405198224,1.674396610756041,mixed
D6,,,0.16,2.1440296827080534,1.6272660869122313,0.0,0.0,0.0,0.050298304421609194,1.8050477572175287,not-estimable
D8,,,0.08,2.613573556841404,4.961970013192946,0.04,0.656464287094585,0.656464287094585,0.0459346813045423,0.7623687407848913,not-estimable
E1,,,0.16,2.7001046228210837,1.8536778902071942,0.0,0.11176525441969543,0.11176525441969543,-0.0079793227827249,1.8710242878019725,not-estimable
E2,0.3675818691346755,-0.1699967170661811,0.2,2.716954165119972,1.0332362555911565,0.0,0.0,0.0,0.1553650496400378,1.338487581856918,mixed
E3,0.13317954534445475,0.40935935628907494,0.24,2.577358536598191,2.763968676612423,0.04,0.35839160909362777,0.35839160909362777,0.17818624049590934,0.6834991123429203,promoter-driven
E4,0.010252317154118562,-0.09954377398150131,0.2,2.8151484268346625,3.02608784378134,0.04,0.06035855992109829,0.06035855992109829,0.18347109765847291,0.6012150763736477,promoter-driven
E5,0.5071601735018956,-0.2729584164288082,0.2,2.60434470715468,1.870132171740464,0.0,0.0,0.0,0.15770280773368073,1.712068986770586,mixed
E6,0.19214227924898075,-0.1550069587379854,0.2,2.8524392934553413,1.7507788103633615,0.0,0.0,0.0,0.09544266712570075,1.548610438463213,mixed
F1,,,0.16,3.142977069900582,1.4529526995027109,0.0,0.0,0.0,0.06276748721061134,0.6947634809489567,not-estimable
F2,,,0.16,3.8268264279771778,6.638487932932759,0.04,0.459301164778684,0.459301164778684,0.027076426393117817,1.4448386403955074,not-estimable
F3,,,0.16,2.897945261119516,0.6726057708487347,0.0,0.0,0.0,0.0664018920102287,1.0137138093410873,not-estimable
F4,,,0.16,3.164050544989846,1.3421043719182384,0.0,0.17539109876424863,0.17539109876424863,0.07088037407171648,1.3724784920395794,not-estimable
F5,,,0.16,3.2693816242901703,1.0596825892999633,0.0,0.0,0.0,0.060618840889905067,1.4616614509571886,not-estimable
F6,,,0.16,3.287996187153187,1.2108797501304667,0.0,0.0,0.0,0.055571430597960644,1.5185448745631547,not-estimable
G1,,,0.16,3.3350570021262373,4.806405461696093,0.04,0.24189055248008895,0.24189055248008895,-0.0058828844460053886,1.218245617089349,not-estimable
G3,,,0.16,2.6715095647825153,1.4197243658493672,0.0,0.0,0.0,0.07032414101442803,1.1851130977086184,not-estimable
G4,,,0.16,3.061914250019281,1.1379257906494442,0.0,0.07094737449744049,0.07094737449744049,0.04035257664638219,1.7344088791896162,not-estimable
G5,,,0.16,3.28642499017511,1.950370098498409,0.0,0.36941046344807704,0.36941046344807704,0.029068141498795882,1.7490617103112736,not-estimable
