product,state_id,carbon_source,mu_per_h,z,measured_mg_per_gdw,predicted_mu_only,predicted_with_environment,shipped_law_fold_vs_glucose,prediction_scope,prediction_mode,refused,refusal_reason,growth_rate_per_h,content_mg_per_gdw,environment_layer_state,environment_sets_the_number
phb,glc_D005,glucose,0.05,0.0,4.33,17.74649381614089,8.759857228933331,1.0,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
phb,glc_D010,glucose,0.1,0.0,5.59,8.414018626684964,5.491637982592518,1.0,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
phb,glc_D015,glucose,0.15,0.0,5.94,6.5532573866667905,5.7326659316554816,1.0,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
phb,glc_D020,glucose,0.2,0.0,5.59,5.4848217832145245,6.549126524411355,1.0,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
phb,etoh_D005,ethanol,0.05,1.0,16.55,10.47996293112555,42.17025218928039,4.6794,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
phb,etoh_D010,ethanol,0.1,1.0,13.49,7.698005624979509,10.218807881497206,1.9672,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
phb,etoh_D015,ethanol,0.15,1.0,5.3,6.671438040336769,8.064546417403985,1.1849,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
phb,mix_D005,glucose_ethanol_1to2,0.05,0.6769969730011632,18.34,10.065577640770874,12.906404716281632,2.8426,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
phb,mix_D010,glucose_ethanol_1to2,0.1,0.6769969730011632,12.41,7.763129589029789,8.363810861637365,1.581,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
phb,mix_D015,glucose_ethanol_1to2,0.15,0.6769969730011632,7.5,6.317997283758601,6.30892817196378,1.1217,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
phb,mix_D020,glucose_ethanol_1to2,0.2,0.6769969730011632,4.56,5.841151511999484,5.641876325064502,0.8793,retrospective leave-one-state-out within one Kocharin 2013 source cohort; not independent external validation,,,,,,,
beta_carotene,,glucose,0.101,,,,,,"fixed-gene comparison, not environment validation",empirical,,,0.101,1.159782,reported,False
beta_carotene,,glucose,0.15,,,,,,"fixed-gene comparison, not environment validation",empirical,,,0.15,1.106538,reported,False
beta_carotene,,glucose,0.2543,,,,,,"fixed-gene comparison, not environment validation",empirical,,,0.2543,0.976564,reported,False
beta_carotene,,ethanol,0.101,,,,,,"fixed-gene comparison, not environment validation",empirical,,,0.101,1.159782,reported,False
beta_carotene,,ethanol,0.15,,,,,,"fixed-gene comparison, not environment validation",empirical,SetpointUnreachable,"context (ethanol, 30 C, O2 0.21, exponential) leaves a maximum growth rate of 0.140 /h, at or below the setpoint 0.15 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,,not-run,
beta_carotene,,ethanol,0.2543,,,,,,"fixed-gene comparison, not environment validation",empirical,SetpointUnreachable,"context (ethanol, 30 C, O2 0.21, exponential) leaves a maximum growth rate of 0.140 /h, at or below the setpoint 0.2543 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,,not-run,
