measurement,geometry,n_points,duration_h,window_h,window_points,is_auto_window,median_relative_error,late_window_relative_error,n_replicates,maturation_half_life_h,target_fold,recovered_fold,relative_error,spread_of_recovered_fold,naive_fold,half_life_as_fraction_of_run,late_error_no_maturation,late_error_with_maturation,added_by_maturation,whole_trace_no_maturation,whole_trace_with_maturation
accuracy_curve,committed plates,25.0,4.0,0.5,3.0,False,0.08319317884144849,0.03694363436554045,200.0,,,,,,,,,,,,
accuracy_curve,committed plates,25.0,4.0,1.0,7.0,False,0.04691973772114228,0.026649503877889676,200.0,,,,,,,,,,,,
accuracy_curve,committed plates,25.0,4.0,1.3333333333333333,9.0,True,0.03250547710706572,0.020810493443538258,200.0,,,,,,,,,,,,
accuracy_curve,committed plates,25.0,4.0,2.0,13.0,False,0.020425959816622662,0.021590687930959536,200.0,,,,,,,,,,,,
accuracy_curve,committed plates,25.0,4.0,4.0,25.0,False,0.014245927722779203,0.015122089538698993,200.0,,,,,,,,,,,,
accuracy_curve,the regime the table was measured in,145.0,24.0,0.5,3.0,False,0.0999020507878279,0.00961223519703044,200.0,,,,,,,,,,,,
accuracy_curve,the regime the table was measured in,145.0,24.0,1.0,7.0,False,0.05493276554840854,0.0077169574236182125,200.0,,,,,,,,,,,,
accuracy_curve,the regime the table was measured in,145.0,24.0,2.0,13.0,False,0.023045886175745104,0.005264219483134992,200.0,,,,,,,,,,,,
accuracy_curve,the regime the table was measured in,145.0,24.0,4.0,25.0,True,0.01307750712805625,0.003614782708251724,200.0,,,,,,,,,,,,
accuracy_curve,the regime the table was measured in,145.0,24.0,8.0,49.0,False,0.01413581178054841,0.0032157071267436793,200.0,,,,,,,,,,,,
accuracy_curve,the regime the table was measured in,145.0,24.0,12.0,73.0,False,0.03915644708934203,0.003859469758095792,200.0,,,,,,,,,,,,
accuracy_curve,sparse and long,25.0,24.0,0.5,1.0,False,0.022990987497751844,0.009133585645154766,200.0,,,,,,,,,,,,
accuracy_curve,sparse and long,25.0,24.0,1.0,1.0,False,0.022990987497751844,0.009133585645154766,200.0,,,,,,,,,,,,
accuracy_curve,sparse and long,25.0,24.0,2.0,3.0,False,0.022990987497751844,0.009133585645154766,200.0,,,,,,,,,,,,
accuracy_curve,sparse and long,25.0,24.0,4.0,5.0,True,0.022990987497751844,0.009133585645154766,200.0,,,,,,,,,,,,
accuracy_curve,sparse and long,25.0,24.0,8.0,9.0,False,0.01930458600945413,0.006659501364506022,200.0,,,,,,,,,,,,
accuracy_curve,sparse and long,25.0,24.0,12.0,13.0,False,0.045270612897801724,0.005936404127021338,200.0,,,,,,,,,,,,
accuracy_curve,dense and short,145.0,4.0,0.5,19.0,False,0.05513080544903821,0.01687826404640995,200.0,,,,,,,,,,,,
accuracy_curve,dense and short,145.0,4.0,1.0,37.0,False,0.021700970330339648,0.01238774083777939,200.0,,,,,,,,,,,,
accuracy_curve,dense and short,145.0,4.0,1.3333333333333333,49.0,True,0.0154927717749231,0.011024564953120769,200.0,,,,,,,,,,,,
accuracy_curve,dense and short,145.0,4.0,2.0,73.0,False,0.011628577248108816,0.010292086744928144,200.0,,,,,,,,,,,,
accuracy_curve,dense and short,145.0,4.0,4.0,145.0,False,0.011802214126397972,0.008274650399139785,200.0,,,,,,,,,,,,
fold_recovery,committed plates,,,0.667,,,,,200.0,,1.4901469386196573,1.489366731974263,-0.0005235769877278695,0.11574585886644774,1.70546670854691,,,,,,
fold_recovery,committed plates,,,1.0,,,,,200.0,,1.4901469386196573,1.48569581739759,-0.0029870351082225133,0.09480411080796873,1.70546670854691,,,,,,
fold_recovery,committed plates,,,1.333,,,,,200.0,,1.4901469386196573,1.4860439791381475,-0.002753392551549605,0.07856526150278624,1.70546670854691,,,,,,
fold_recovery,committed plates,,,2.0,,,,,200.0,,1.4901469386196573,1.4816860679176116,-0.005677876780314728,0.06704213091864376,1.70546670854691,,,,,,
maturation_bias,committed plates,,,1.3333333333333333,,,,,,0.3333333333333333,,,,,,0.08333333333333333,0.020810493443538258,0.12847501409422402,0.10766452065068575,0.03250547710706572,0.19028107634240737
fold_recovery_with_maturation,committed plates,,,1.3333333333333333,,,,,200.0,0.3333333333333333,1.4901469386196573,1.5225480567692924,0.021743572603416306,0.07678954573221532,1.742770984531354,,,,,,
maturation_bias,the regime the table was measured in,,,4.0,,,,,,0.3333333333333333,,,,,,0.013888888888888888,0.003614782708251724,0.11310506127643699,0.10949027856818527,0.01307750712805625,0.15907448711703126
fold_recovery_with_maturation,the regime the table was measured in,,,4.0,,,,,200.0,0.3333333333333333,1.4999999999950147,1.5434832746453997,0.028988849767019653,0.014113916085167731,1.9832554606005357,,,,,,
