,DTT,H2O2,diamide,glucose_starvation,heat,menadione,rapamycin,sorbitol,argmax
STRE-general,-0.09519999999999999,2.7199999999999998,4.00775,4.463441176470589,2.0659411764705884,1.0266666666666666,2.78725,2.7066000000000003,glucose_starvation
UPRE-ER,0.6639999999999999,-0.002142857142857129,1.698625,-1.1068235294117645,0.7979705882352941,-0.11094444444444446,-1.004,-0.2432,diamide
TRX2-oxidative,0.8625999999999999,2.1087142857142855,2.38625,1.2275882352941176,0.6829117647058824,2.6026666666666665,0.48250000000000004,0.42679999999999996,menadione
HSE-heat,0.13290000000000005,1.0135714285714286,2.297875,2.2335882352941177,1.8413529411764704,0.8927777777777778,1.30625,0.8794000000000001,diamide
STRE-osmotic,0.5533,0.7795714285714286,0.904875,1.3472941176470588,1.2171764705882353,-0.2623333333333333,-0.635,2.0612000000000004,sorbitol
FeRE-iron,-0.00625,1.1467142857142858,0.8891875,1.4223823529411763,0.42905882352941177,-0.7576666666666667,-0.04875,-0.10169999999999998,glucose_starvation
RLM1-cellwall,0.42465,-0.25492857142857145,0.5835625,0.457764705882353,0.36323529411764705,-0.5539999999999999,-0.5570625,0.02499999999999999,diamide
CDRE-calcium,0.289525,0.3621785714285714,0.883375,1.253514705882353,0.3463970588235294,0.2185,0.50846875,0.1944,glucose_starvation
CSRE-carbon,0.0018499999999999905,-0.3838571428571429,0.021625,1.099735294117647,0.4444705882352941,-0.8450000000000001,-0.6408750000000001,-0.08449999999999999,glucose_starvation
GATA-nitrogen,0.12360000000000002,-0.171,0.004062499999999993,0.8842058823529412,0.06152941176470589,-0.2308333333333333,3.8318125,-0.007000000000000001,rapamycin
AR1-hypoxia,-0.013049999999999996,-0.49100000000000005,-0.04768750000000001,-0.2598235294117647,-0.26576470588235296,-0.4111666666666667,-0.116625,0.131,sorbitol
CuRE-copper,-0.28075,-0.08035714285714284,0.65125,1.1719411764705883,0.11604411764705883,0.27316666666666667,1.7978125,-0.3991,rapamycin
ZRE-zinc,-0.21789999999999998,-0.5845714285714285,-1.382875,1.2095882352941179,-0.8785294117647059,-0.1671111111111111,-1.62625,0.162,glucose_starvation
METbox-sulfur,0.5061,0.6168571428571428,2.3735,-0.8594705882352942,-0.18970588235294117,0.7877777777777778,0.94075,-0.3242,diamide
PDRE-xenobiotic,0.22644999999999998,0.7467142857142858,0.203125,-0.9903823529411765,0.30952941176470583,0.9764444444444444,-1.2068750000000001,-0.1944,menadione
Rbox-retrograde,0.47759999999999997,0.6264285714285714,1.285625,3.1599411764705883,0.855764705882353,0.5922222222222222,-0.04293750000000002,0.4467,glucose_starvation
RIM101-alkaline,-0.1295,0.334,-0.066375,0.23255882352941176,-0.07526470588235294,0.2281111111111111,-0.08968749999999999,0.0137,H2O2
