gsm,title,platform,stressor,note,excluded,used
GSM854,heat shock 05 min,GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",a channel gene has no probe on this array's print run,False
GSM855,heat shock 10 min,GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",a channel gene has no probe on this array's print run,False
GSM856,heat shock 15 min,GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",,True
GSM857,heat shock 20 min,GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",a channel gene has no probe on this array's print run,False
GSM864,heat shock 20 min repeat,GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",,True
GSM865,heat shock 40 min,GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",a channel gene has no probe on this array's print run,False
GSM868,heat shock 60 min,GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",,True
GSM872,heat shock 80 min,GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",,True
GSM883,"heat shock 17 to 37, 20 minutes",GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",,True
GSM925,"heat shock 37 to 37, 20 minutes",GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",a channel gene has no probe on this array's print run,False
GSM926,"heat shock 33 to 37, 20 minutes",GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",,True
GSM928,"heat shock 29 to 37, 20 minutes",GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",,True
GSM929,"heat shock 25 to 37, 20 minutes",GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",,True
GSM930,"heat shock 21 to 37, 20 minutes",GPL51,heat,"25->37 C shock, plus the variable pre-shift ladder",,True
GSM986,DBYyap1- 37degree heat - 20 min (redo),GPL51,,"genotype perturbation, not a stressor","genotype perturbation, not a stressor",False
GSM1002,DBY7286 + 0.3 mM H2O2 (20 min),GPL51,,"genotype perturbation, not a stressor","genotype perturbation, not a stressor",False
GSM1003,DBYyap1- + 0.3 mM H2O2 (20 min),GPL51,,"genotype perturbation, not a stressor","genotype perturbation, not a stressor",False
