module,factors,regulon_genes,measurable
ESR,MSN2/MSN4,76,True
UPR,HAC1,6,True
oxidative,YAP1/SKN7,119,True
heat,HSF1,28,True
osmotic,SKO1/HOT1,13,True
proteasome,RPN4,63,True
iron,AFT1/AFT2,71,True
cell_wall,RLM1,22,True
dna_damage,RFX1,7,True
calcium,CRZ1,0,False
carbon,ADR1/CAT8,14,True
nitrogen,GLN3/GAT1,48,True
hypoxia,ROX1/UPC2/HAP1,93,True
copper,CUP2/MAC1,14,True
zinc,ZAP1,6,True
sulfur,MET4/MET31/MET32,28,True
xenobiotic,PDR1/PDR3,5,True
retrograde,RTG1/RTG3,30,True
alkaline_ph,RIM101,2,False
redox,,0,False
peroxide,,0,False
atp,,0,False
ph,,0,False
nadh,,0,False
