,DTT,H2O2,diamide,glucose_starvation,heat,menadione,rapamycin,sorbitol,argmax
ESR,0.1246810691932273,0.6133243987823439,0.8194469407894737,0.6822638282709954,0.52501136491231,0.2924935884936952,0.19922129593409196,0.30195761403508775,diamide
UPR,0.4074916666666667,0.23570952380952384,0.6524375,-0.23248529411764707,0.2842205882352941,0.2456944444444444,-0.3678125,0.04930666666666666,diamide
oxidative,2.7489629013832674e-06,0.27156374037015024,0.23599222151920307,0.24302047575338187,0.09100483666636139,0.0063018761419396585,-0.022292084351581865,0.03133641980042777,H2O2
heat,0.019599984737484734,0.3396394855868769,1.1514776785714287,0.6908193277310924,0.8237327054753525,-0.03305596866096866,0.35374909060846566,0.2669944444444444,diamide
osmotic,0.14036615384615386,0.29641117216117213,0.5198173076923076,1.0466900452488688,0.5578804047259931,0.20727732452732456,0.11304326923076925,0.4342615384615384,glucose_starvation
proteasome,0.047818282624288055,0.2697141759929778,0.525942982659087,-0.2416662105526152,0.2254143904682738,0.06125982900064074,0.031144682046536216,0.09713751983077737,diamide
iron,-0.004520846714012661,0.2723600826378572,0.1800434356136821,0.4111605488858127,0.13490290127897875,-0.07817522665118304,0.1777494361094101,0.0626136217303823,glucose_starvation
cell_wall,0.016647380952380976,0.2467076709631221,0.2043400974025974,-0.006652661064425747,0.151799004278745,-0.006112012987012985,-0.24207386363636366,0.20584242424242424,H2O2
dna_damage,-0.052248809523809524,0.1627244897959184,-0.08639285714285715,-0.330126050420168,0.01739285714285714,0.12813756613756613,-0.3538928571428571,-0.026385714285714297,H2O2
carbon,0.08168744588744589,0.22411224489795917,0.0713125,0.35335294117647065,0.08997104692692927,0.1243155178155178,0.36953743131868133,0.07279780219780221,rapamycin
nitrogen,-0.13890826878912724,0.13389285714285712,-0.03258372118794326,-0.030100678951043885,0.03309196399985031,0.07723276308801864,0.5459653645833333,-0.007135416666666661,rapamycin
hypoxia,0.0815812913948279,0.2968913394894313,0.2130654702181876,0.5306567702825935,0.20109657807888556,-0.0455288188853732,0.12544241935162778,0.050459013463550625,glucose_starvation
copper,-0.028702197802197803,0.12219897959183672,0.15819196428571428,-0.28829767291532005,0.04722042663219133,-0.06513029100529101,-0.0013667582417582424,-0.08778571428571429,diamide
zinc,0.03468333333333334,0.04478571428571428,-0.15282916666666665,0.1857,-0.10557843137254902,0.08373333333333334,0.21964583333333335,0.1038,rapamycin
sulfur,-0.010127711640211638,0.03376068376068375,0.24040162037037038,-0.25937037037037036,-0.03249959449591802,-0.24050933839822727,0.29910292658730164,0.009414285714285714,rapamycin
xenobiotic,-0.12283,0.04637142857142858,0.1249625,0.12541323529411766,0.12484705882352941,-0.17726666666666666,0.18448749999999997,0.19186,sorbitol
retrograde,0.021996668035030094,0.3818108433028384,0.14979661843185552,0.49706703853955375,0.27240049284011764,0.100536339171684,0.07211824712643677,0.2380722988505747,glucose_starvation
