,DTT,H2O2,glucose_starvation,heat,menadione,rapamycin,argmax
ESR,0.1246810691932273,0.6133243987823439,0.6822638282709954,0.52501136491231,0.2924935884936952,0.19922129593409196,glucose_starvation
UPR,0.4074916666666667,0.23570952380952384,-0.23248529411764707,0.2842205882352941,0.2456944444444444,-0.3678125,DTT
oxidative,2.7489629013832674e-06,0.27156374037015024,0.24302047575338187,0.09100483666636139,0.0063018761419396585,-0.022292084351581865,H2O2
heat,0.019599984737484734,0.3396394855868769,0.6908193277310924,0.8237327054753525,-0.03305596866096866,0.35374909060846566,heat
osmotic,0.14036615384615386,0.29641117216117213,1.0466900452488688,0.5578804047259931,0.20727732452732456,0.11304326923076925,glucose_starvation
proteasome,0.047818282624288055,0.2697141759929778,-0.2416662105526152,0.2254143904682738,0.06125982900064074,0.031144682046536216,H2O2
iron,-0.004520846714012661,0.2723600826378572,0.4111605488858127,0.13490290127897875,-0.07817522665118304,0.1777494361094101,glucose_starvation
cell_wall,0.016647380952380976,0.2467076709631221,-0.006652661064425747,0.151799004278745,-0.006112012987012985,-0.24207386363636366,H2O2
dna_damage,-0.052248809523809524,0.1627244897959184,-0.330126050420168,0.01739285714285714,0.12813756613756613,-0.3538928571428571,H2O2
carbon,0.08168744588744589,0.22411224489795917,0.35335294117647065,0.08997104692692927,0.1243155178155178,0.36953743131868133,rapamycin
nitrogen,-0.13890826878912724,0.13389285714285712,-0.030100678951043885,0.03309196399985031,0.07723276308801864,0.5459653645833333,rapamycin
hypoxia,0.0815812913948279,0.2968913394894313,0.5306567702825935,0.20109657807888556,-0.0455288188853732,0.12544241935162778,glucose_starvation
copper,-0.028702197802197803,0.12219897959183672,-0.28829767291532005,0.04722042663219133,-0.06513029100529101,-0.0013667582417582424,H2O2
zinc,0.03468333333333334,0.04478571428571428,0.1857,-0.10557843137254902,0.08373333333333334,0.21964583333333335,rapamycin
sulfur,-0.010127711640211638,0.03376068376068375,-0.25937037037037036,-0.03249959449591802,-0.24050933839822727,0.29910292658730164,rapamycin
xenobiotic,-0.12283,0.04637142857142858,0.12541323529411766,0.12484705882352941,-0.17726666666666666,0.18448749999999997,rapamycin
retrograde,0.021996668035030094,0.3818108433028384,0.49706703853955375,0.27240049284011764,0.100536339171684,0.07211824712643677,glucose_starvation
