held_out,module,score,n_states,n_train,n_test,selection,baseline,score_method,peers,peers_measured,truth_sd,truth_span
DTT,UPR,0.7028783773195831,4,71,10,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,0,3,0.4950515173107407,1.6666666666666665
DTT,ESR,0.7655794753857653,4,71,10,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,7,6,0.2692266418216777,0.7908284210526316
DTT,proteasome,-2.6663659771210217,4,71,10,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,0,2,0.1304640392258839,0.50125
H2O2,oxidative,-0.008487499096114126,1,74,7,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,2,0,0.10202888664611362,0.3135144949649069
H2O2,ESR,0.3975078514077992,1,74,7,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,7,5,0.2539382707304515,0.8100740639269404
diamide,oxidative,0.5475377725522663,1,73,8,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,2,1,0.05360277262788528,0.15684539239424586
diamide,ESR,0.8197515366524313,1,73,8,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,7,5,0.22659407584230423,0.7165333333333331
glucose_starvation,ESR,0.7409924034331359,1,64,17,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,7,5,0.6212594747128972,2.606574144144144
glucose_starvation,carbon,0.1879896477838413,1,64,17,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,1,1,0.47587722054534887,2.1227142857142858
heat,heat,0.5748500047721277,1,64,17,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,0,5,1.5980058016039504,4.5016686507936505
heat,ESR,0.8033231667104429,1,64,17,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,7,5,0.907062625374,2.7044315492957747
menadione,oxidative,0.7537580049814875,1,72,9,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,2,1,0.08446100594838678,0.2873817377312953
menadione,ESR,0.7788936970704142,1,72,9,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,7,5,0.18214823232548533,0.6151141304347826
rapamycin,nitrogen,-0.024413387919866025,1,73,8,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,0,0,0.09332794144196596,0.29949999999999993
rapamycin,ESR,0.7535340955058984,1,73,8,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,7,6,0.28342750353873786,0.8228026315789474
rapamycin,carbon,-0.12696018018618815,1,73,8,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,1,1,0.10544419874182824,0.32440659340659334
sorbitol,osmotic,-1.1120293311833342,4,76,5,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,0,4,0.12212000451588012,0.2908846153846154
sorbitol,ESR,0.6919695922643294,4,76,5,nested leave-stressor-out on outer training only,outer training module mean,1 - SSE / training-mean SSE; negative scores retained,7,5,0.23115818485424092,0.5878211403508772
