construct,dose_mM,stressor,measurement,n_plates,n_plates_contributing,n_wells,fold,plates_above_one,plates_below_one,plates_tied_one,n_plates_sign,p_exact_sign,exact_sign_floor,p_value_method,low,high,estimable,clears,confidence,interval_method,resampling,n_resamples,target,coverage_status,assumptions,fw_low,fw_high,family_wise_resolvable,clears_family_wise,family_alpha,family_wise_method,fw_n_resamples,family_size,p_holm,p_bh,n_doses,n_informative_plates,statistic,p_permutation,n_permutations
UPRE2,1.0,DTT,per_dose_fold,4,4.0,24.0,1.5618930678959848,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,1.3042383130807709,1.8322538560554467,True,True,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.9001495776900477,2.457523043842419,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
UPRE1,1.0,DTT,per_dose_fold,4,4.0,24.0,1.4405487950938292,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,1.2224532569029671,1.6793509944537002,True,True,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.886217206238813,2.1991936899412936,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
UPRE2,0.5,DTT,per_dose_fold,4,4.0,24.0,1.4159390901744104,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,1.137798562962084,1.6372393961194691,True,True,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.7505644957213974,2.1153242548857225,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
NativeYap1,0.5,H2O2,per_dose_fold,4,4.0,24.0,1.3724337778103082,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.9961547578509913,1.8699450282252463,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.5373305644859262,3.4069587413183275,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
AlteredYap1,0.5,H2O2,per_dose_fold,4,4.0,24.0,1.3714869067911106,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,1.059045652591057,1.7010767347227636,True,True,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.6488719589629006,2.497827450675007,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
UPRE1,0.5,DTT,per_dose_fold,4,4.0,24.0,1.3542696460749852,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,1.209011800510444,1.5692633721624476,True,True,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.9896598258167306,2.1112580375871457,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
NativeYap1,1.0,H2O2,per_dose_fold,4,4.0,24.0,1.183264164696842,3.0,1.0,0.0,4.0,0.625,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.6437850966543892,2.0594493051682843,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.15769407234082666,5.405828071629969,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.8823529411764707,,,,,
UPRE2,0.2,DTT,per_dose_fold,4,4.0,24.0,1.17076924162886,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,1.0684819090000914,1.2543325436566333,True,True,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.8583480870887863,1.4321130306063448,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
UPRE1,0.2,DTT,per_dose_fold,4,4.0,24.0,1.1537755731077446,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,1.0951834899561355,1.211077356774031,True,True,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.979516130395901,1.3321851059377923,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
UPRE2,2.0,DTT,per_dose_fold,4,4.0,24.0,1.1056112520975805,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.9503346697615019,1.384364152271954,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.7582313624300167,2.189920906320649,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
