well,passed,failures,max_raw_od,min_od_above_blank,decline_fraction,od_fold_change,max_reporter_above_background
A1,False,"linear_range,sustained_decline,dynamic_range",1.663,0.8879515151515152,0.5779816513761468,0.7926948166165785,17752.31691919192
A2,False,"linear_range,sustained_decline",1.284,0.49295151515151514,0.3577981651376147,1.7414588184132562,14060.65025252525
A3,False,"linear_range,sustained_decline",1.839,1.0299515151515153,0.5688073394495413,1.2851640425258406,20531.483585858587
B1,True,,0.71,0.4169515151515152,0.03669724770642202,1.3683434354367354,5047.150252525253
B2,True,,0.774,0.4369515151515152,0.045871559633027525,1.4654168087953607,5406.31691919192
B3,True,,0.81,0.4379515151515152,0.009174311926605505,1.5203966410113305,5256.233585858587
C1,True,,0.688,0.4239515151515152,0.11926605504587157,1.3097677412433621,4661.06691919192
C2,True,,0.752,0.4559515151515152,0.0,1.3518869571724328,5475.56691919192
C3,True,,0.726,0.4359515151515152,0.009174311926605505,1.3505741882503224,5294.483585858587
D1,True,,0.672,0.4239515151515152,0.03669724770642202,1.2816267286680016,4007.400252525252
D2,True,,0.686,0.4349515151515152,0.01834862385321101,1.2932477419525976,4336.400252525254
D3,True,,0.667,0.4219515151515152,0.009174311926605505,1.2883197728389668,4107.650252525253
E1,False,sustained_decline,0.63,0.4249515151515152,0.21100917431192662,1.175574472670456,2095.566919191919
E2,True,,0.65,0.4419515151515152,0.09174311926605505,1.1845685596108322,2105.566919191919
E3,True,,0.648,0.4379515151515152,0.045871559633027525,1.202195224793127,2171.1502525252527
A4,False,"linear_range,sustained_decline",1.876,0.8679515151515151,0.21100917431192662,1.5599886692819955,23180.983585858587
A5,False,"linear_range,sustained_decline",1.888,0.9279515151515151,0.21100917431192662,1.5046857248608159,23286.483585858587
A6,False,"linear_range,sustained_decline",1.851,0.9429515151515152,0.26605504587155965,1.4773508505420556,22485.983585858587
B4,True,,0.868,0.4619515151515152,0.05504587155963303,1.569444100838673,5901.733585858587
B5,True,,0.914,0.4629515151515152,0.01834862385321101,1.6504706056275564,6008.483585858587
B6,True,,0.909,0.4649515151515152,0.027522935779816515,1.6674222311275861,5679.150252525253
C4,True,,0.678,0.4239515151515152,0.11926605504587157,1.287006435901896,4814.06691919192
C5,True,,0.715,0.4469515151515152,0.009174311926605505,1.3059384670468785,5140.650252525253
C6,True,,0.726,0.4459515151515152,0.009174311926605505,1.326349101024666,5330.31691919192
D4,True,,0.68,0.4389515151515152,0.027522935779816515,1.266261709217811,4147.483585858587
D5,True,,0.701,0.4439515151515152,0.009174311926605505,1.2893915555440922,4513.650252525253
D6,True,,0.726,0.4619515151515152,0.009174311926605505,1.285160541681583,4727.150252525253
E4,True,,0.642,0.4439515151515152,0.12844036697247707,1.162063662328599,2071.566919191919
E5,True,,0.656,0.4499515151515152,0.05504587155963303,1.1719252322197797,2276.566919191919
E6,False,dynamic_range,0.634,0.4379515151515152,0.09174311926605505,1.1480840768970628,2118.566919191919
A7,False,"linear_range,sustained_decline",1.64,0.8829515151515152,0.3761467889908257,1.3606110447693935,17465.150252525254
A8,False,"linear_range,sustained_decline",1.416,0.7699515151515152,0.3669724770642202,1.337722813595024,13960.233585858585
A9,False,"linear_range,sustained_decline",1.781,0.8629515151515151,0.3853211009174312,1.4552169096083245,19144.40025252525
B7,True,,0.757,0.4169515151515152,0.08256880733944955,1.5069054274722535,4493.983585858587
B8,True,,0.837,0.4259515151515152,0.01834862385321101,1.6348124249092157,4681.81691919192
B9,True,,0.861,0.4149515151515152,0.03669724770642202,1.7217986341570444,4612.150252525253
C7,True,,0.677,0.4309515151515152,0.045871559633027525,1.2701810450697901,4408.06691919192
C8,True,,0.621,0.38295151515151515,0.06422018348623854,1.3012706347187093,3860.233585858586
C9,True,,0.644,0.3739515151515152,0.045871559633027525,1.3684658270922265,4205.983585858587
D7,True,,0.641,0.4089515151515152,0.027522935779816515,1.2603977542526745,3541.066919191919
D8,False,"sustained_decline,dynamic_range",0.515,0.3599515151515152,0.29357798165137616,1.0831207241171976,3089.066919191919
D9,True,,0.62,0.38995151515151516,0.03669724770642202,1.2736398726095954,3604.316919191919
E7,False,"sustained_decline,dynamic_range",0.569,0.40095151515151517,0.1834862385321101,1.113757145729798,1728.5669191919192
E8,False,"sustained_decline,dynamic_range",0.594,0.4129515151515152,0.1559633027522936,1.123583505555016,1844.5669191919192
E9,False,"sustained_decline,dynamic_range",0.572,0.40095151515151517,0.2018348623853211,0.9953265733869597,1706.5669191919192
A10,False,"linear_range,sustained_decline",1.776,0.7049515151515152,0.3211009174311927,1.689725197135752,25799.31691919192
A11,False,"linear_range,sustained_decline",1.836,0.6839515151515152,0.1926605504587156,1.7998318870989145,28300.06691919192
A12,False,"linear_range,sustained_decline",1.441,0.7519515151515151,0.5412844036697247,1.2025024073712762,16707.983585858587
B10,True,,0.647,0.3679515151515152,0.027522935779816515,1.426027677629611,4555.400252525253
B11,True,,0.669,0.3699515151515152,0.01834862385321101,1.4456243190571916,4651.150252525253
B12,True,,0.666,0.3569515151515152,0.10091743119266056,1.4712640030465554,4631.31691919192
C10,True,,0.583,0.3639515151515152,0.12844036697247707,1.2701638931309727,3782.6502525252527
C11,True,,0.587,0.3529515151515152,0.027522935779816515,1.3008300414221057,4201.233585858587
C12,True,,0.597,0.3639515151515152,0.03669724770642202,1.2971948564537097,4194.56691919192
D10,True,,0.549,0.33095151515151516,0.009174311926605505,1.282524571076333,3578.9002525252527
D11,True,,0.57,0.3489515151515152,0.045871559633027525,1.297853664999503,3521.7335858585857
D12,False,sustained_decline,0.582,0.3639515151515152,0.1926605504587156,1.251326905562011,3985.983585858586
