well,passed,failures,max_raw_od,min_od_above_blank,decline_fraction,od_fold_change,max_reporter_above_background
A1,True,,0.5,0.07228000000000002,0.125,4.666338582677165,1303.023333333333
A2,True,,0.499,0.07428000000000003,0.0,4.699551569506727,1314.6066666666663
A3,True,,0.511,0.07728,0.08333333333333333,4.471585701191567,1450.773333333333
B1,True,,0.49,0.06928000000000002,0.041666666666666664,4.778467908902692,1349.6899999999998
B2,True,,0.466,0.07028000000000002,0.041666666666666664,4.552700576822234,1335.3566666666663
B3,True,,0.509,0.07628,0.08333333333333333,4.46012832263978,1488.8566666666663
C1,False,sustained_decline,0.482,0.08128,0.16666666666666666,3.345770225341707,1470.6899999999996
C2,True,,0.484,0.07028000000000002,0.041666666666666664,3.9907975460122698,1458.8566666666663
C3,True,,0.466,0.06328000000000002,0.08333333333333333,4.0722326454033775,1357.273333333333
D1,True,,0.489,0.07428000000000003,0.041666666666666664,4.612356751370204,1781.3566666666663
D2,True,,0.443,0.062280000000000016,0.125,4.500276701715549,1615.6066666666663
D3,True,,0.49,0.07028000000000002,0.041666666666666664,3.8458662235147485,1786.4399999999998
E1,True,,0.405,0.07028000000000002,0.08333333333333333,2.6066384180790965,1989.5233333333333
E2,True,,0.422,0.07628,0.08333333333333333,3.053187328901055,2174.2733333333326
E3,True,,0.451,0.08028,0.041666666666666664,4.01376364499288,2116.8566666666666
F1,True,,0.327,0.07828,0.08333333333333333,2.5285777580859548,1887.8566666666663
F2,True,,0.34,0.09528000000000002,0.08333333333333333,1.9185936015204312,1750.5233333333333
F3,False,sustained_decline,0.306,0.06928000000000002,0.16666666666666666,2.3863428047662696,1707.2733333333333
G1,True,,0.327,0.07528000000000003,0.08333333333333333,2.0420377627360176,1616.6066666666666
G2,False,sustained_decline,0.308,0.07628,0.25,1.3926004791056694,1583.6066666666666
G3,True,,0.303,0.07428000000000003,0.125,2.395403377110694,1464.6066666666666
A4,True,,0.475,0.06428000000000002,0.08333333333333333,4.493945509586277,1686.0233333333329
A5,True,,0.454,0.06428000000000002,0.08333333333333333,4.693967902600995,1604.6899999999998
A6,True,,0.426,0.06428000000000002,0.041666666666666664,4.8425637834474164,1594.8566666666663
B4,True,,0.456,0.06928000000000002,0.0,4.911662817551962,1605.1066666666663
B5,True,,0.478,0.07628,0.041666666666666664,4.103760761214318,1877.1066666666663
B6,True,,0.469,0.05828000000000001,0.08333333333333333,5.442401960784313,1817.6066666666663
C4,True,,0.463,0.06428000000000002,0.041666666666666664,4.62646121147715,1798.8566666666663
C5,True,,0.428,0.06528000000000002,0.041666666666666664,4.617457527826595,1795.4399999999998
C6,True,,0.444,0.07628,0.041666666666666664,3.079412871659766,1830.6066666666663
D4,False,sustained_decline,0.397,0.07528000000000003,0.16666666666666666,3.0261578044596913,1751.0233333333329
D5,True,,0.452,0.08028,0.041666666666666664,3.7359326539654405,2057.0233333333326
D6,True,,0.42,0.060280000000000014,0.041666666666666664,4.420900692840646,1979.3566666666663
E4,True,,0.393,0.08328,0.08333333333333333,2.9940602460755197,2250.9399999999996
E5,True,,0.382,0.12428000000000002,0.125,1.6143667296786386,2200.8566666666666
E6,True,,0.369,0.06928000000000002,0.041666666666666664,2.7988729952319025,2250.6899999999996
F4,True,,0.278,0.11128,0.125,1.345138055222089,1751.7733333333333
F5,True,,0.249,0.07228000000000002,0.041666666666666664,1.8045148895292988,1486.6899999999998
F6,True,,0.281,0.07228000000000002,0.041666666666666664,1.9036144578313254,1793.7733333333333
G4,True,,0.25,0.06928000000000002,0.125,1.5816368923971749,1521.3566666666666
G5,True,,0.29,0.08528000000000001,0.041666666666666664,2.018052057094878,1908.5233333333333
G6,True,,0.25,0.07128000000000002,0.041666666666666664,1.9704968944099381,1548.773333333333
A7,True,,0.453,0.05928000000000001,0.08333333333333333,5.04345202172601,627.1066666666666
A8,True,,0.402,0.050280000000000005,0.0,5.0867093105899075,564.0233333333332
A9,True,,0.426,0.04828,0.0,5.558610709117222,634.4399999999998
B7,True,,0.417,0.05628000000000001,0.08333333333333333,4.745259165613147,780.7733333333331
B8,False,sustained_decline,0.449,0.05828000000000001,0.16666666666666666,5.36737315350032,801.1899999999998
B9,False,sustained_decline,0.409,0.05828000000000001,0.25,4.802219321148825,756.3566666666666
C7,True,,0.377,0.04828,0.08333333333333333,5.1536661466458655,771.6066666666666
C8,False,sustained_decline,0.399,0.04728,0.20833333333333334,5.354354354354355,744.6066666666666
C9,False,sustained_decline,0.407,0.04828,0.16666666666666666,5.523273273273273,759.9399999999998
D7,False,sustained_decline,0.329,0.05428000000000001,0.16666666666666666,3.7625257378174326,856.2733333333333
D8,False,sustained_decline,0.352,0.04728,0.16666666666666666,5.099025974025974,804.9399999999998
D9,False,sustained_decline,0.324,0.04828,0.25,4.341288782816229,809.6066666666666
E7,False,sustained_decline,0.248,0.05728000000000001,0.5,2.1470985155195677,215.85666666666668
E8,False,sustained_decline,0.21,0.05828000000000001,0.20833333333333334,1.5780346820809248,400.0233333333333
E9,False,sustained_decline,0.181,0.04728,0.16666666666666666,1.6563245823389021,354.68999999999994
F7,False,"sustained_decline,reporter_above_background",0.238,0.050280000000000005,0.375,2.4185703758290344,13.106666666666626
F8,False,"sustained_decline,reporter_above_background",0.23,0.05528000000000001,0.375,2.1839396019217565,26.273333333333312
F9,False,"sustained_decline,reporter_above_background",0.235,0.05328000000000001,0.4166666666666667,1.2867746288798918,22.273333333333312
G7,False,"sustained_decline,reporter_above_background",0.253,0.05928000000000001,0.5,1.2665544332210996,35.94
G8,False,"sustained_decline,reporter_above_background",0.222,0.05628000000000001,0.2916666666666667,1.59721300597213,18.273333333333312
G9,False,"sustained_decline,reporter_above_background",0.201,0.061280000000000015,0.3333333333333333,1.2564876282438138,21.273333333333312
A10,True,,0.482,0.06828000000000002,0.0,4.799149840595111,674.1066666666666
A11,True,,0.509,0.07428000000000003,0.0,4.752460629921259,708.3566666666666
A12,True,,0.497,0.062280000000000016,0.125,5.525483304042178,710.6899999999998
B10,False,sustained_decline,0.468,0.062280000000000016,0.16666666666666666,5.1154071470415925,752.4399999999998
B11,True,,0.469,0.062280000000000016,0.041666666666666664,5.1154071470415925,774.6899999999998
B12,True,,0.493,0.06328000000000002,0.125,5.325554923164483,784.8566666666666
C10,False,sustained_decline,0.446,0.06328000000000002,0.20833333333333334,4.778558875219683,798.1066666666666
C11,True,,0.471,0.06628000000000002,0.125,4.6182485579444155,892.6066666666666
C12,True,,0.482,0.06428000000000002,0.125,5.154809334092201,843.9399999999998
D10,True,,0.406,0.060280000000000014,0.125,4.424864212432105,821.5233333333333
D11,False,sustained_decline,0.43,0.07428000000000003,0.20833333333333334,3.902341803687095,933.2733333333331
D12,True,,0.404,0.06928000000000002,0.0,3.842720510095642,914.2733333333331
E10,False,sustained_decline,0.255,0.061280000000000015,0.16666666666666666,2.010544815465729,591.2733333333333
E11,False,sustained_decline,0.259,0.06828000000000002,0.20833333333333334,1.9032943676939422,620.6066666666666
E12,False,sustained_decline,0.318,0.06528000000000002,0.375,2.48709315375982,554.7733333333333
F10,False,"sustained_decline,reporter_above_background",0.214,0.05828000000000001,0.2916666666666667,1.4375377187688592,33.27333333333331
F11,False,"sustained_decline,reporter_above_background",0.238,0.06728000000000002,0.4166666666666667,1.3586609989373006,47.52333333333331
F12,False,sustained_decline,0.226,0.061280000000000015,0.375,1.3222026947861742,50.27333333333331
G10,False,"sustained_decline,reporter_above_background",0.186,0.05628000000000001,0.375,1.3889234598630988,46.27333333333331
G11,False,sustained_decline,0.203,0.07628,0.375,1.3238664673642255,57.27333333333331
G12,False,"sustained_decline,reporter_above_background",0.272,0.07428000000000003,0.4583333333333333,2.1318897637795278,47.27333333333331
