construct,dose_mM,response,plate
AlteredYap1,0.0,1.0,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
AlteredYap1,0.1,1.2910823826544968,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
AlteredYap1,0.2,1.404504830560704,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
AlteredYap1,0.5,1.620782219810216,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
AlteredYap1,1.0,2.2093272588984063,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
AlteredYap1,2.0,-0.05889015967660936,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
AlteredYap1,4.0,-0.23782693219438686,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
NativeYap1,0.0,1.0,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
NativeYap1,0.1,1.3235772175633662,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
NativeYap1,0.2,1.5160530205142067,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
NativeYap1,0.5,1.8806784077567948,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
NativeYap1,1.0,2.5795733139179484,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
NativeYap1,2.0,-0.2199648022660364,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
NativeYap1,4.0,-0.31366231851001486,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE1,0.0,1.0,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE1,0.1,1.0950434820582418,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE1,0.2,1.1871825678024088,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE1,0.5,1.358998432837284,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE1,1.0,1.8774927787505773,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE1,2.0,2.0511911251853907,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE1,5.0,1.7184038108521578,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE2,0.0,1.0,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE2,0.1,1.1201545932074133,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE2,0.2,1.1937367937985472,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE2,0.5,1.4389390067310086,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE2,1.0,2.1061155078673557,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE2,2.0,2.182859352151171,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
UPRE2,5.0,1.8935968451157423,20260722_ER&OxidativeStress_NewProtocol_ANALYSED
AlteredYap1,0.0,1.0,20260803_ER&oxidativestress_Replicate3
AlteredYap1,0.1,1.221166143795372,20260803_ER&oxidativestress_Replicate3
AlteredYap1,0.2,1.4127750195174928,20260803_ER&oxidativestress_Replicate3
AlteredYap1,0.5,1.7402732483980652,20260803_ER&oxidativestress_Replicate3
AlteredYap1,1.0,2.1700996130350965,20260803_ER&oxidativestress_Replicate3
AlteredYap1,2.0,-0.29815678651112926,20260803_ER&oxidativestress_Replicate3
AlteredYap1,4.0,-0.22442741399025745,20260803_ER&oxidativestress_Replicate3
NativeYap1,0.0,1.0,20260803_ER&oxidativestress_Replicate3
NativeYap1,0.1,1.36716324850911,20260803_ER&oxidativestress_Replicate3
NativeYap1,0.2,1.4830009623487086,20260803_ER&oxidativestress_Replicate3
NativeYap1,0.5,1.9666922241350764,20260803_ER&oxidativestress_Replicate3
NativeYap1,1.0,1.716654004181273,20260803_ER&oxidativestress_Replicate3
NativeYap1,2.0,-0.3473309631174523,20260803_ER&oxidativestress_Replicate3
NativeYap1,4.0,-0.3855409126631129,20260803_ER&oxidativestress_Replicate3
UPRE1,0.0,1.0,20260803_ER&oxidativestress_Replicate3
UPRE1,0.1,1.0629216108096802,20260803_ER&oxidativestress_Replicate3
UPRE1,0.2,1.1146931994177702,20260803_ER&oxidativestress_Replicate3
UPRE1,0.5,1.404369626929655,20260803_ER&oxidativestress_Replicate3
UPRE1,1.0,1.9311983954805152,20260803_ER&oxidativestress_Replicate3
UPRE1,2.0,2.3611192782898223,20260803_ER&oxidativestress_Replicate3
UPRE1,5.0,2.156806573447287,20260803_ER&oxidativestress_Replicate3
UPRE2,0.0,1.0,20260803_ER&oxidativestress_Replicate3
UPRE2,0.1,1.0278110525530881,20260803_ER&oxidativestress_Replicate3
UPRE2,0.2,1.1335985815056464,20260803_ER&oxidativestress_Replicate3
UPRE2,0.5,1.3195410635860927,20260803_ER&oxidativestress_Replicate3
UPRE2,1.0,1.7783827067933053,20260803_ER&oxidativestress_Replicate3
UPRE2,2.0,2.161535302899709,20260803_ER&oxidativestress_Replicate3
UPRE2,5.0,2.1756264821487274,20260803_ER&oxidativestress_Replicate3
AlteredYap1,0.0,1.0,20260804_ER&OxidativeStress_Replicate4
AlteredYap1,0.1,1.2348931681106876,20260804_ER&OxidativeStress_Replicate4
AlteredYap1,0.2,1.3323522498332283,20260804_ER&OxidativeStress_Replicate4
AlteredYap1,0.5,1.6806215441836956,20260804_ER&OxidativeStress_Replicate4
AlteredYap1,1.0,0.70254633690915,20260804_ER&OxidativeStress_Replicate4
AlteredYap1,2.0,0.04775863491853408,20260804_ER&OxidativeStress_Replicate4
AlteredYap1,4.0,0.03545459367678669,20260804_ER&OxidativeStress_Replicate4
NativeYap1,0.0,1.0,20260804_ER&OxidativeStress_Replicate4
NativeYap1,0.1,1.288256672637558,20260804_ER&OxidativeStress_Replicate4
NativeYap1,0.2,1.44742113157697,20260804_ER&OxidativeStress_Replicate4
NativeYap1,0.5,1.814055341766911,20260804_ER&OxidativeStress_Replicate4
NativeYap1,1.0,0.949729889629039,20260804_ER&OxidativeStress_Replicate4
NativeYap1,2.0,0.024312568017615818,20260804_ER&OxidativeStress_Replicate4
NativeYap1,4.0,-0.0016240979790104768,20260804_ER&OxidativeStress_Replicate4
UPRE1,0.0,1.0,20260804_ER&OxidativeStress_Replicate4
UPRE1,0.1,1.0608865582948737,20260804_ER&OxidativeStress_Replicate4
UPRE1,0.2,1.1133741767402752,20260804_ER&OxidativeStress_Replicate4
UPRE1,0.5,1.4555724541276422,20260804_ER&OxidativeStress_Replicate4
UPRE1,1.0,1.7651991323152856,20260804_ER&OxidativeStress_Replicate4
UPRE1,2.0,1.9221720407199578,20260804_ER&OxidativeStress_Replicate4
UPRE1,5.0,1.6961957161778012,20260804_ER&OxidativeStress_Replicate4
UPRE2,0.0,1.0,20260804_ER&OxidativeStress_Replicate4
UPRE2,0.1,1.1050341313412482,20260804_ER&OxidativeStress_Replicate4
UPRE2,0.2,1.1176241456116847,20260804_ER&OxidativeStress_Replicate4
UPRE2,0.5,1.4360877387398365,20260804_ER&OxidativeStress_Replicate4
UPRE2,1.0,1.7827392366090136,20260804_ER&OxidativeStress_Replicate4
UPRE2,2.0,2.1886940647770428,20260804_ER&OxidativeStress_Replicate4
UPRE2,5.0,1.9233590994040453,20260804_ER&OxidativeStress_Replicate4
