kind,n_train,n_test,n_test_available,n_unscoreable_test,n_identifiable_fits,n_refused_fits,rmse_biphasic,rmse_loglinear,rmse_train_mean,rmse_nearest_dose,rmse_selected_baseline,rmse_selected_model,skill_selected_model,skill_selected_vs_train_mean,skill_selected_vs_nearest,selected_baselines,selected_models,baseline_selection,model_selection_estimable,skill_method,skill_biphasic,skill_loglinear,seed,partition_hash,note,rmse_biphasic_identifiable,skill_biphasic_identifiable,n_test_identifiable
extrapolation,288.0,48.0,48.0,0.0,0.0,4.0,905.1875171912181,556.9488816693929,719.0008425786352,172.92302490911808,719.0008425786352,556.9488816693929,0.22538493881044253,0.22538493881044253,-2.2207907649204293,"{""AlteredYap1"": ""train_mean"", ""NativeYap1"": ""train_mean"", ""UPRE1"": ""train_mean"", ""UPRE2"": ""train_mean""}","{""AlteredYap1"": ""loglinear"", ""NativeYap1"": ""loglinear"", ""UPRE1"": ""loglinear"", ""UPRE2"": ""loglinear""}",inner forward-dose splits on outer training only,True,1 - RMSE / RMSE of training-selected baseline,-0.2589519560851143,0.22538493881044253,0.0,c7eef69d915e,,,,
extrapolation,288.0,48.0,48.0,0.0,0.0,4.0,905.1875171912181,556.9488816693929,719.0008425786352,172.92302490911808,719.0008425786352,556.9488816693929,0.22538493881044253,0.22538493881044253,-2.2207907649204293,"{""AlteredYap1"": ""train_mean"", ""NativeYap1"": ""train_mean"", ""UPRE1"": ""train_mean"", ""UPRE2"": ""train_mean""}","{""AlteredYap1"": ""loglinear"", ""NativeYap1"": ""loglinear"", ""UPRE1"": ""loglinear"", ""UPRE2"": ""loglinear""}",inner forward-dose splits on outer training only,True,1 - RMSE / RMSE of training-selected baseline,-0.2589519560851143,0.22538493881044253,1.0,c7eef69d915e,,,,
extrapolation,288.0,48.0,48.0,0.0,0.0,4.0,905.1875171912181,556.9488816693929,719.0008425786352,172.92302490911808,719.0008425786352,556.9488816693929,0.22538493881044253,0.22538493881044253,-2.2207907649204293,"{""AlteredYap1"": ""train_mean"", ""NativeYap1"": ""train_mean"", ""UPRE1"": ""train_mean"", ""UPRE2"": ""train_mean""}","{""AlteredYap1"": ""loglinear"", ""NativeYap1"": ""loglinear"", ""UPRE1"": ""loglinear"", ""UPRE2"": ""loglinear""}",inner forward-dose splits on outer training only,True,1 - RMSE / RMSE of training-selected baseline,-0.2589519560851143,0.22538493881044253,2.0,c7eef69d915e,,,,
heldout_construct,,,,,,,,,,,,,,,,,,,,,,,,,"unscoreable by this model class: the fits are per construct, and this split withholds whole constructs. Test carries ['AlteredYap1', 'UPRE2'], fitted ['NativeYap1', 'UPRE1'] -- no overlap, so no test row can be predicted",,,
heldout_construct,,,,,,,,,,,,,,,,,,,,,,,,,"unscoreable by this model class: the fits are per construct, and this split withholds whole constructs. Test carries ['NativeYap1', 'UPRE1'], fitted ['AlteredYap1', 'UPRE2'] -- no overlap, so no test row can be predicted",,,
heldout_construct,,,,,,,,,,,,,,,,,,,,,,,,,"unscoreable by this model class: the fits are per construct, and this split withholds whole constructs. Test carries ['NativeYap1', 'UPRE1'], fitted ['AlteredYap1', 'UPRE2'] -- no overlap, so no test row can be predicted",,,
heldout_replicate,252.0,84.0,84.0,0.0,2.0,2.0,296.6017703532242,395.85284114108396,490.45051308104416,194.21571311662635,194.21571311662635,339.13851205410487,-0.7461950251700413,0.30851634770730857,-0.7461950251700413,"{""AlteredYap1"": ""nearest_dose"", ""NativeYap1"": ""nearest_dose"", ""UPRE1"": ""nearest_dose"", ""UPRE2"": ""nearest_dose""}","{""AlteredYap1"": ""loglinear"", ""NativeYap1"": ""loglinear"", ""UPRE1"": ""biphasic"", ""UPRE2"": ""biphasic""}",inner leave-plate-out on outer training only,True,1 - RMSE / RMSE of training-selected baseline,-0.527177001250744,-1.0382122269549565,0.0,d59c25f5fbc9,,270.20690629807297,-0.5236630104247085,42.0
heldout_replicate,252.0,84.0,84.0,0.0,2.0,2.0,343.3499118343553,421.37041170947106,515.700329547442,249.0322950967623,249.0322950967623,387.08951778602864,-0.5543747755110386,0.24939059448396533,-0.5543747755110386,"{""AlteredYap1"": ""nearest_dose"", ""NativeYap1"": ""nearest_dose"", ""UPRE1"": ""nearest_dose"", ""UPRE2"": ""nearest_dose""}","{""AlteredYap1"": ""loglinear"", ""NativeYap1"": ""loglinear"", ""UPRE1"": ""biphasic"", ""UPRE2"": ""biphasic""}",inner leave-plate-out on outer training only,True,1 - RMSE / RMSE of training-selected baseline,-0.3787364875746158,-0.6920311943707791,1.0,a9f662911195,,370.10058357924817,-0.2711892102082488,42.0
heldout_replicate,252.0,84.0,84.0,0.0,2.0,2.0,467.7322556252384,569.53248891768,652.5582026024503,394.8762486879577,394.8762486879577,522.6185981892969,-0.32349970383325033,0.1991233945032713,-0.32349970383325033,"{""AlteredYap1"": ""nearest_dose"", ""NativeYap1"": ""nearest_dose"", ""UPRE1"": ""nearest_dose"", ""UPRE2"": ""nearest_dose""}","{""AlteredYap1"": ""loglinear"", ""NativeYap1"": ""loglinear"", ""UPRE1"": ""biphasic"", ""UPRE2"": ""biphasic""}",inner leave-plate-out on outer training only,True,1 - RMSE / RMSE of training-selected baseline,-0.18450339107342356,-0.44230626888815633,2.0,327bd2afe062,,309.0936713598485,-0.3983999372301371,42.0
interpolation,288.0,48.0,48.0,0.0,3.0,1.0,261.16925065029443,403.96869991733246,473.2706110754821,357.2992370084031,453.7634124896603,403.96869991733246,0.10973716963895255,0.1464318923177266,-0.13061730357916146,"{""AlteredYap1"": ""nearest_dose"", ""NativeYap1"": ""train_mean"", ""UPRE1"": ""train_mean"", ""UPRE2"": ""train_mean""}","{""AlteredYap1"": ""loglinear"", ""NativeYap1"": ""loglinear"", ""UPRE1"": ""loglinear"", ""UPRE2"": ""loglinear""}",inner leave-dose-out on outer training only,True,1 - RMSE / RMSE of training-selected baseline,0.4244373974152322,0.10973716963895255,0.0,88d8effa67b9,,252.01209729937437,0.21140077163592,36.0
interpolation,288.0,48.0,48.0,0.0,4.0,0.0,554.280972384466,626.8499410689158,616.1247547009258,495.93220130888915,601.2702192540199,626.8499410689158,-0.04254280520766839,-0.017407491398712116,-0.2639831400633029,"{""AlteredYap1"": ""nearest_dose"", ""NativeYap1"": ""train_mean"", ""UPRE1"": ""train_mean"", ""UPRE2"": ""train_mean""}","{""AlteredYap1"": ""loglinear"", ""NativeYap1"": ""loglinear"", ""UPRE1"": ""loglinear"", ""UPRE2"": ""loglinear""}",inner leave-dose-out on outer training only,True,1 - RMSE / RMSE of training-selected baseline,0.07814996546453307,-0.04254280520766839,1.0,e00c13bcae57,,554.280972384466,0.07814996546453307,48.0
interpolation,288.0,48.0,48.0,0.0,2.0,2.0,416.8328726347596,537.7981966606847,620.3525550347405,650.2973590121497,722.5252739252043,537.7981966606847,0.2556686719911787,0.13307651867321266,0.17299649274657938,"{""AlteredYap1"": ""nearest_dose"", ""NativeYap1"": ""nearest_dose"", ""UPRE1"": ""train_mean"", ""UPRE2"": ""train_mean""}","{""AlteredYap1"": ""loglinear"", ""NativeYap1"": ""loglinear"", ""UPRE1"": ""loglinear"", ""UPRE2"": ""loglinear""}",inner leave-dose-out on outer training only,True,1 - RMSE / RMSE of training-selected baseline,0.4230888694449876,0.2556686719911787,2.0,b812898431be,,400.03488105522837,0.32296874418202864,24.0
