late_fraction,construct,stressor,dose_mM,naive_fold,fold,low,high,n_plates,estimable
0.5,AlteredYap1,H2O2,0.1,1.3404467343851676,1.0640296577612116,0.9672032600441695,1.1800719555739834,4,True
0.5,AlteredYap1,H2O2,0.2,1.504140906184008,1.1620487221572537,1.0529320998294451,1.2909323020270238,4,True
0.5,AlteredYap1,H2O2,0.5,1.7456681395062315,1.4545156637408667,1.1905414593442794,1.7701600610358177,4,True
0.5,AlteredYap1,H2O2,1.0,1.479943748217109,0.9671864243267358,0.2254152562175703,2.5516189588565488,4,True
0.5,AlteredYap1,H2O2,2.0,-0.13405541287978717,,,,4,False
0.5,AlteredYap1,H2O2,4.0,-0.1756653650698544,,,,4,False
0.5,NativeYap1,H2O2,0.1,1.3522052798995237,1.001960520887848,0.8105934640132912,1.1751480462649069,4,True
0.5,NativeYap1,H2O2,0.2,1.5214150297220834,1.1361282892866342,0.9116324643083268,1.3762434167419664,4,True
0.5,NativeYap1,H2O2,0.5,1.8941005397162303,1.5428056082754336,1.1677017949887698,2.0044622462488233,4,True
0.5,NativeYap1,H2O2,1.0,1.50289786423516,1.146937813399073,0.5941969905770994,2.189938855781499,4,True
0.5,NativeYap1,H2O2,2.0,-0.18167213608291982,,,,4,False
0.5,NativeYap1,H2O2,4.0,-0.22806733313784033,,,,4,False
0.5,UPRE1,DTT,0.1,1.0526892897926898,1.0566872707397472,1.00505071826408,1.1170173777987713,4,True
0.5,UPRE1,DTT,0.2,1.1491378816643287,1.1632230148566316,1.0995704467483502,1.221799008843216,4,True
0.5,UPRE1,DTT,0.5,1.4120388995069422,1.4209005627566522,1.2815143866539616,1.6129616151102517,4,True
0.5,UPRE1,DTT,1.0,1.8176923465463546,1.5988652765686362,1.4043291376109097,1.8222236180798046,4,True
0.5,UPRE1,DTT,2.0,1.9947563300255575,1.3340943418774425,1.1772344483988582,1.5105240474463044,4,True
0.5,UPRE1,DTT,5.0,1.7426895643046427,1.1679561120210977,1.0055398162266538,1.3697867526055918,4,True
0.5,UPRE2,DTT,0.1,1.063450461413539,1.078906798113296,0.9789467561358713,1.1847939174283315,4,True
0.5,UPRE2,DTT,0.2,1.1346317201125644,1.1832968662742145,1.068786093258268,1.2873916677790014,4,True
0.5,UPRE2,DTT,0.5,1.4289415827674208,1.4762120673493537,1.2916639530010905,1.6317781433499396,4,True
0.5,UPRE2,DTT,1.0,1.9204633033133056,1.7403255263552257,1.5720018543243899,1.893304628971136,4,True
0.5,UPRE2,DTT,2.0,2.1689976608351493,1.4464980954479645,1.2935732232654333,1.670955643277863,4,True
0.5,UPRE2,DTT,5.0,1.9725799797585262,1.3424046012344997,1.1692181915818767,1.537590550036483,4,True
0.6,AlteredYap1,H2O2,0.1,1.3095922874389008,1.0304058940546617,0.9428174479862138,1.136770952367236,4,True
0.6,AlteredYap1,H2O2,0.2,1.4639085400778717,1.110646084081456,1.0290033407381702,1.2112781711392284,4,True
0.6,AlteredYap1,H2O2,0.5,1.7207815700229516,1.4103315400044636,1.139496561749108,1.7126988589152756,4,True
0.6,AlteredYap1,H2O2,1.0,1.5095541005450146,1.0094051606546577,0.22751840519087893,2.5228644624720764,4,True
0.6,AlteredYap1,H2O2,2.0,-0.13965183744599513,,,,4,False
0.6,AlteredYap1,H2O2,4.0,-0.17924433433550171,,,,4,False
0.6,NativeYap1,H2O2,0.1,1.3113707051623948,0.9463181857804972,0.763022231497584,1.1069088368292277,4,True
0.6,NativeYap1,H2O2,0.2,1.4732819430534942,1.075023895948124,0.8444851554306076,1.3220246608699402,4,True
0.6,NativeYap1,H2O2,0.5,1.835859265068764,1.4338641183682594,1.0721257620458855,1.9047446286693341,4,True
0.6,NativeYap1,H2O2,1.0,1.5470331634611245,1.1623900654387385,0.6254195931291754,2.0894292298714254,4,True
0.6,NativeYap1,H2O2,2.0,-0.19132999737680462,,,,4,False
0.6,NativeYap1,H2O2,4.0,-0.2337619945744739,,,,4,False
0.6,UPRE1,DTT,0.1,1.057653882495331,1.0548031050987563,1.0035911151936192,1.1182352446131238,4,True
0.6,UPRE1,DTT,0.2,1.1547778659402184,1.1587882098504916,1.1096631410653996,1.2075484733149577,4,True
0.6,UPRE1,DTT,0.5,1.41162539868535,1.3818360633193263,1.2434644100558851,1.5836537218336766,4,True
0.6,UPRE1,DTT,1.0,1.8329465127253244,1.5097000172166284,1.2989457497617345,1.7399489190134463,4,True
0.6,UPRE1,DTT,2.0,2.018071676430492,1.1863289273883786,1.0396703716535238,1.3495824921614237,4,True
0.6,UPRE1,DTT,5.0,1.76427522974452,1.0412125051501997,0.8807025695921156,1.2249515824284218,4,True
0.6,UPRE2,DTT,0.1,1.0680600671908502,1.074554018654892,0.981983650174503,1.166920330389052,4,True
0.6,UPRE2,DTT,0.2,1.1427929491494937,1.1743759063403956,1.0637938227108978,1.2695168239741157,4,True
0.6,UPRE2,DTT,0.5,1.430635814611121,1.4390091873463184,1.219184615555276,1.6237090328860548,4,True
0.6,UPRE2,DTT,1.0,1.936830753891142,1.639979827287306,1.425287006755433,1.8432549790808745,4,True
0.6,UPRE2,DTT,2.0,2.1997872684512814,1.2682806269858056,1.1087565151332412,1.5260022779153284,4,True
0.6,UPRE2,DTT,5.0,2.010119631848431,1.2006572642415072,1.0334050135810438,1.3909340373308139,4,True
0.7,AlteredYap1,H2O2,0.1,1.2892073309063954,1.024205572900914,0.9466948173731846,1.1132097896832613,4,True
0.7,AlteredYap1,H2O2,0.2,1.4349471878975517,1.0891858690371357,1.0102896990661618,1.1861919962186704,4,True
0.7,AlteredYap1,H2O2,0.5,1.7029032221726474,1.384016162401253,1.0918540787230417,1.6952548783932315,4,True
0.7,AlteredYap1,H2O2,1.0,1.5205186722432396,1.0068723660875538,,,4,False
0.7,AlteredYap1,H2O2,2.0,-0.14381274300002947,,,,4,False
0.7,AlteredYap1,H2O2,4.0,-0.1827253639793317,,,,4,False
0.7,NativeYap1,H2O2,0.1,1.2898847571293117,0.9242610419728059,0.7441278635672537,1.0823952245075439,4,True
0.7,NativeYap1,H2O2,0.2,1.443288453904876,1.0413742000012887,0.8162828895975235,1.2774958424002403,4,True
