module,full panel (7),built panel (4),shuffled control
ESR,0.4846442903160597,0.46024749914874374,0.019013672061513276
UPR,0.31028983310143243,0.2808535737079879,0.01962033491220283
oxidative,0.735923160732775,0.7578518177696884,0.02013498071851605
heat,0.3339768736064034,0.04532487949852271,0.020703706843503755
osmotic,0.3904706983871059,0.010407894765420478,0.04675767455480451
proteasome,0.5478664989627244,0.3450512757167906,0.005098577112243929
iron,0.12654533710221472,0.04384160525113234,0.04191218043630285
cell_wall,0.07169529650689943,0.019779414785168203,0.010588809948555378
dna_damage,0.26921132020173744,0.04654410464883185,0.01832547615634783
calcium,0.08879238158935765,0.056684277928249815,0.01730994201434355
carbon,0.09911919017435378,0.29211975581407257,0.042092014655058074
nitrogen,0.03494535490035522,0.013732089981901341,0.01448461711984328
hypoxia,0.0,0.0,0.0
copper,0.060634627846047784,0.026932550610913153,0.018643558149558093
zinc,0.0,0.0,0.0
sulfur,0.0,0.0,0.0
xenobiotic,0.5478664989627242,0.3450512757167904,0.005098577112243707
retrograde,0.0,0.0,0.0
alkaline_ph,0.0,0.0,0.0
redox,0.5889542961207038,0.6050917623075498,0.01326165760935094
peroxide,0.49796855851806343,0.5099443805593729,0.030348911662633316
atp,0.0686541989569982,0.29244283065170495,0.03374277792122282
ph,0.0,0.0,0.0
nadh,0.35884152136008796,0.3117595201277712,0.028114964537178877
