condition_id,growth_rate_per_h,evidence_scope,evidence_id,source_column,unit,primary_printed_token,reported_value,value,observation_status,detection_limit,rounding_half_width,rounding_is_confidence_interval,band_status,source_doi,source_table_sha256,source_table_relative_path,source_line,band_lower,band_upper,minimum_rank,maximum_rank,n_incomparable_pairs,incomparable_with,context,calibration_family,assumptions,result_kind,details_file
vanHoek1998:D=0.025,0.025,native_development_training,vanHoek1998:D=0.025:GlucoseUptake,GlucoseUptake,mmol/gDW/h,0.3,0.3,0.3,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,2,0.25,0.35,1,1,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:GlucoseUptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.05,0.05,native_development_training,vanHoek1998:D=0.05:GlucoseUptake,GlucoseUptake,mmol/gDW/h,0.6,0.6,0.6,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,3,0.55,0.65,2,2,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:GlucoseUptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.1,0.1,native_development_training,vanHoek1998:D=0.1:GlucoseUptake,GlucoseUptake,mmol/gDW/h,1.1,1.1,1.1,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,4,1.05,1.15,3,3,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:GlucoseUptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.15,0.15,native_development_interpolation,vanHoek1998:D=0.15:GlucoseUptake,GlucoseUptake,mmol/gDW/h,1.7,1.7,1.7,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,5,1.65,1.75,4,4,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:GlucoseUptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.2,0.2,native_development_training,vanHoek1998:D=0.2:GlucoseUptake,GlucoseUptake,mmol/gDW/h,2.3,2.3,2.3,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,6,2.25,2.35,5,5,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:GlucoseUptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.25,0.25,native_development_training,vanHoek1998:D=0.25:GlucoseUptake,GlucoseUptake,mmol/gDW/h,2.8,2.8,2.8,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,7,2.75,2.85,6,6,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:GlucoseUptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.28,0.28,native_development_interpolation,vanHoek1998:D=0.28:GlucoseUptake,GlucoseUptake,mmol/gDW/h,3.4,3.4,3.4,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,8,3.35,3.45,7,7,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:GlucoseUptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.3,0.3,native_development_training,vanHoek1998:D=0.3:GlucoseUptake,GlucoseUptake,mmol/gDW/h,4.5,4.5,4.5,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,9,4.45,4.55,8,8,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:GlucoseUptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.35,0.35,native_development_interpolation,vanHoek1998:D=0.35:GlucoseUptake,GlucoseUptake,mmol/gDW/h,8.6,8.6,8.6,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,10,8.55,8.65,9,9,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:GlucoseUptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.4,0.4,native_development_training,vanHoek1998:D=0.4:GlucoseUptake,GlucoseUptake,mmol/gDW/h,11.1,11.1,11.1,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,11,11.05,11.15,10,10,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:GlucoseUptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
