plate,well,status,reason,stage,field,recorded_role
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,H1,blank,blank_reference,,,blank
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,H2,blank,blank_reference,,,blank
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,H3,blank,blank_reference,,,blank
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,A1,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,A2,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,A3,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,B1,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,B2,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,B3,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,C1,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,C2,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,C3,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,D1,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,D2,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,D3,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,E1,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,E2,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,E3,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,F1,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,F2,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,F3,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,G1,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,G2,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,G3,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,A4,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,A5,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,A6,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,B4,included,,,,culture
20260722_ER&OxidativeStress_NewProtocol_ANALYSED.xlsx,B5,included,,,,culture
