state_id,carbon_source,feed_glucose_g_per_l,feed_ethanol_g_per_l,feed_carbon_cmol_per_l,dilution_rate_per_h,mu_per_h,ysx_cmol_per_cmol,ysx_sd,ys_ethanol_cmol_per_cmol,ys_ethanol_sd,ys_phb_cmmol_per_cmol,ys_phb_sd,ethanol_accum_cmol_per_l,ethanol_accum_sd,phb_mg_per_gdw,phb_sd_mg_per_gdw,phb_mmol_per_gdcw,q_phb_mmol_per_gdcw_h,exponent,n_states,q_span_over_all_states
glc_D005,glucose,20.0,0.0,0.666,0.05,0.05,0.51,0.01,,,2.51,0.07,0.0,,4.33,0.19,0.0502962,0.00251481,1.2041994801870037,4,6.2309
glc_D010,glucose,20.0,0.0,0.666,0.1,0.1,0.57,0.0,,,3.67,0.0,0.0,,5.59,0.0,0.064932,0.0064932,1.2041994801870037,4,6.2309
glc_D015,glucose,20.0,0.0,0.666,0.15,0.15,0.36,0.02,0.02,0.0,2.44,0.0,,,5.94,0.64,0.0689976,0.0103496,1.2041994801870037,4,6.2309
glc_D020,glucose,20.0,0.0,0.666,0.2,0.2,0.29,0.0,0.1,0.0,1.92,0.0,,,5.59,0.23,0.064932,0.0129864,1.2041994801870037,4,6.2309
etoh_D005,ethanol,0.0,15.32,0.666,0.05,0.05,0.45,0.01,0.0,,8.5,0.23,0.0,,16.55,0.02,0.192241,0.00961203,0.04337861848155444,3,6.2309
etoh_D010,ethanol,0.0,15.32,0.666,0.1,0.1,0.37,0.0,,,4.94,0.58,0.0964,0.0,13.49,0.0,0.156696,0.0156696,0.04337861848155444,3,6.2309
etoh_D015,ethanol,0.0,15.32,0.666,0.15,0.15,0.12,0.01,,,0.46,0.05,0.2364,0.0,5.3,0.31,0.0615635,0.00923452,0.04337861848155444,3,6.2309
mix_D005,glucose_ethanol_1to2,6.35,10.21,0.666,0.05,0.05,0.48,0.02,0.0,,9.97,0.07,0.0,,18.34,0.53,0.213033,0.0106516,0.02607138825574099,4,6.2309
mix_D010,glucose_ethanol_1to2,6.35,10.21,0.666,0.1,0.1,0.38,0.0,,,7.41,0.0,0.2012,,12.41,0.0,0.144151,0.0144151,0.02607138825574099,4,6.2309
mix_D015,glucose_ethanol_1to2,6.35,10.21,0.666,0.15,0.15,0.3,0.0,,,2.57,0.1,0.1637,,7.5,0.19,0.0871181,0.0130677,0.02607138825574099,4,6.2309
mix_D020,glucose_ethanol_1to2,6.35,10.21,0.666,0.2,0.2,0.22,0.0,,,1.13,0.0,0.2769,,4.56,0.0,0.0529678,0.0105936,0.02607138825574099,4,6.2309
