design,question,fold,replicates,collinearity,power_n6,power_n6_low,power_n6_high,n_simulations,well_cv,power_plate_n4,power_plate_n4_low,power_plate_n4_high,power_chemostat_n4,power_chemostat_n4_low,power_chemostat_n4_high
dose only (as run),detect,1.2,5.0,0.9932439880230362,,,,,,,,,,,
dose only (as run),detect,1.5,3.0,0.9932439880230362,,,,,,,,,,,
dose only (as run),detect,2.0,3.0,0.9932439880230362,,,,,,,,,,,
dose only (as run),detect,3.0,3.0,0.9932439880230362,,,,,,,,,,,
dose x 2 nutrients,detect,1.2,4.0,0.5873947928035008,,,,,,,,,,,
dose x 2 nutrients,detect,1.5,3.0,0.5873947928035008,,,,,,,,,,,
dose x 2 nutrients,detect,2.0,3.0,0.5873947928035008,,,,,,,,,,,
dose x 2 nutrients,detect,3.0,3.0,0.5873947928035008,,,,,,,,,,,
dose x 3 nutrients,detect,1.2,4.0,0.5069698225073469,,,,,,,,,,,
dose x 3 nutrients,detect,1.5,3.0,0.5069698225073469,,,,,,,,,,,
dose x 3 nutrients,detect,2.0,3.0,0.5069698225073469,,,,,,,,,,,
dose x 3 nutrients,detect,3.0,3.0,0.5069698225073469,,,,,,,,,,,
dose only (as run),attribute,1.2,,0.9932439880230362,0.075,0.03995711539596029,0.1364091760599377,120.0,0.052,,,,,,
dose only (as run),attribute,1.5,,0.9932439880230362,0.16666666666666666,0.11055996367984618,0.24345281393262286,120.0,0.052,,,,,,
dose only (as run),attribute,2.0,,0.9932439880230362,0.525,0.43626995305824834,0.6121790886208165,120.0,0.052,,,,,,
dose only (as run),attribute,3.0,,0.9932439880230362,0.9666666666666667,0.917419662440894,0.9869624489016494,120.0,0.052,,,,,,
dose x 2 nutrients,attribute,1.2,,0.5873947928035008,1.0,0.9689808335812966,1.0,120.0,0.052,,,,,,
dose x 2 nutrients,attribute,1.5,,0.5873947928035008,1.0,0.9689808335812966,1.0,120.0,0.052,,,,,,
dose x 2 nutrients,attribute,2.0,,0.5873947928035008,1.0,0.9689808335812966,1.0,120.0,0.052,,,,,,
dose x 2 nutrients,attribute,3.0,,0.5873947928035008,1.0,0.9689808335812966,1.0,120.0,0.052,,,,,,
dose x 3 nutrients,attribute,1.2,,0.5069698225073469,1.0,0.9689808335812966,1.0,120.0,0.052,,,,,,
dose x 3 nutrients,attribute,1.5,,0.5069698225073469,1.0,0.9689808335812966,1.0,120.0,0.052,,,,,,
dose x 3 nutrients,attribute,2.0,,0.5069698225073469,1.0,0.9689808335812966,1.0,120.0,0.052,,,,,,
dose x 3 nutrients,attribute,3.0,,0.5069698225073469,1.0,0.9689808335812966,1.0,120.0,0.052,,,,,,
dose x 3 nutrients,chemostat,1.2,,,,,,120.0,0.052,0.9833333333333333,0.941264037027841,0.9954174354340789,0.9916666666666667,0.9543037087549505,0.998527444266658
dose x 3 nutrients,chemostat,1.5,,,,,,120.0,0.052,1.0,0.9689808335812966,1.0,1.0,0.9689808335812966,1.0
dose x 3 nutrients,chemostat,2.0,,,,,,120.0,0.052,1.0,0.9689808335812966,1.0,1.0,0.9689808335812966,1.0
dose x 3 nutrients,chemostat,3.0,,,,,,120.0,0.052,1.0,0.9689808335812966,1.0,1.0,0.9689808335812966,1.0
