product,mode,prediction_mode,prediction_scope,carbon_source,temperature_c,oxygen,stressor,dose,refused,refusal_reason,growth_rate_per_h,content_mg_per_gdcw
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.21,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.21,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.21,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.21,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.05,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.05,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.05,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.05,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.01,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.01,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.01,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,25.0,0.01,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.21,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.21,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.21,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.21,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.05,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.05,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.05,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.05,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.01,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.01,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.01,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,30.0,0.01,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.21,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.21,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.21,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.21,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.05,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.05,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.05,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.05,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.01,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.01,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.01,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",glucose,37.0,0.01,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.21,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.21,DTT,1.0,SetpointUnreachable,"context (galactose, 25 C, O2 0.21, exponential) with DTT at 1 leaves a maximum growth rate of 0.178 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.21,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.21,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.05,,0.0,SetpointUnreachable,"context (galactose, 25 C, O2 0.05, exponential) leaves a maximum growth rate of 0.129 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.05,DTT,1.0,SetpointUnreachable,"context (galactose, 25 C, O2 0.05, exponential) with DTT at 1 leaves a maximum growth rate of 0.096 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
