condition,strain,branch,selected_gene,selected_entry_law,alpha,flux_predicted,product_predicted,lycopene_rate_predicted,product_measured,lycopene_rate_measured,joint_log_mse,status,failure_reason,comparison
2D01,b-car2,partition,CrtI,content,0.0068419573694815045,0.000352817485873765,0.0001488659114918995,0.00020395157438186552,0.000151310101,9.43761861e-05,0.2970400169702524,ok,,same training-selected gene and entry law; only partition versus saturation changes
2D025,b-car2,partition,CrtI,content,0.0068419573694815045,0.0006451380016560923,0.000272206056955348,0.0003729319447007444,0.000184228136,8.42832696e-05,1.1821006310282147,ok,,same training-selected gene and entry law; only partition versus saturation changes
2D01,b-car2,saturating,CrtI,content,0.0068419573694815045,0.000352817485873765,0.00017849210901417536,0.00017432537685958965,0.000151310101,9.43761861e-05,0.2019214788709235,ok,,same training-selected gene and entry law; only partition versus saturation changes
2D025,b-car2,saturating,CrtI,content,0.0068419573694815045,0.0006451380016560924,0.0003916084978773495,0.00025352950377874296,0.000184228136,8.42832696e-05,0.8907515106914032,ok,,same training-selected gene and entry law; only partition versus saturation changes
3D01,b-car3,partition,CrtYB,content,0.00606365589695825,0.00041931796957113887,0.00020924060525175786,0.00021007736431938103,0.000227107407,0.000472025373,0.3310481064780231,ok,,same training-selected gene and entry law; only partition versus saturation changes
3D025,b-car3,partition,CrtYB,content,0.00606365589695825,0.0006470089089867279,0.00032285889359362323,0.0003241500153931047,0.000294779456,0.000126493013,0.44689810305802696,ok,,same training-selected gene and entry law; only partition versus saturation changes
3D01,b-car3,saturating,CrtYB,content,0.00606365589695825,0.00041931796957113887,0.00018164856751784497,0.00023766940205329393,0.000227107407,0.000472025373,0.26034478247458104,ok,,same training-selected gene and entry law; only partition versus saturation changes
3D025,b-car3,saturating,CrtYB,content,0.00606365589695825,0.000647008908986728,0.00036943671910882745,0.0002775721898779006,0.000294779456,0.000126493013,0.33429664733966474,ok,,same training-selected gene and entry law; only partition versus saturation changes
4D01,b-car4,partition,CrtYB,rate,0.0009170562901267897,0.0009170562901267897,0.000539967658249505,0.0003770886318772848,0.000185290321,0.000760748627,0.8182839778503435,ok,,same training-selected gene and entry law; only partition versus saturation changes
4D025,b-car4,partition,CrtYB,rate,0.0009170562901267897,0.0005682073748974407,0.00033456354743616705,0.00023364382746127367,0.000453632196,0.000392904518,0.18142770182778067,ok,,same training-selected gene and entry law; only partition versus saturation changes
4D01,b-car4,saturating,CrtYB,rate,0.0009170562901267897,0.0009170562901267896,0.0002449479826320037,0.000672108307494786,0.000185290321,0.000760748627,0.04662809720018705,ok,,same training-selected gene and entry law; only partition versus saturation changes
4D025,b-car4,saturating,CrtYB,rate,0.0009170562901267897,0.0005682073748974406,0.00035526472708826833,0.00021294264780917233,0.000453632196,0.000392904518,0.21747635145766941,ok,,same training-selected gene and entry law; only partition versus saturation changes
