stressor,dose,growth_fraction,bounds_changed,bounds_tightened,min_unregulated,max_unregulated,relative_width_unregulated,min_regulated,max_regulated,relative_width_regulated,ceiling_ratio,max_growth_unregulated,max_growth_regulated
H2O2,0.15,1.0,242,0,0.0,-2.2999597088834377e-14,,0.0,3.546502935055617e-15,1.0,,0.3459846407950356,0.3459846407950291
H2O2,0.15,0.99,242,0,0.0,0.007946498118692835,1.0,0.0,0.007946498118687055,1.0,0.9999999999992726,0.3459846407950253,0.3459846407950301
H2O2,0.15,0.95,242,0,0.0,0.036624898509394994,1.0,0.0,0.036624898509414285,1.0,1.0000000000005267,0.3459846407950304,0.3459846407950296
H2O2,0.15,0.9,242,0,0.0,0.059398770508840466,1.0,0.0,0.05939877050884202,1.0,1.0000000000000262,0.3459846407950281,0.3459846407950269
H2O2,0.15,0.75,242,0,0.0,0.10619958976530826,1.0,0.0,0.10619958976530065,1.0,0.9999999999999284,0.3459846407950228,0.3459846407950276
H2O2,0.15,0.5,242,0,0.0,0.1837169338620882,1.0,0.0,0.1837169338620766,1.0,0.9999999999999368,0.34598464079502733,0.3459846407950283
H2O2,0.15,0.25,242,0,0.0,0.25870554959652575,1.0,0.0,0.25870554959653047,1.0,1.0000000000000182,0.3459846407950269,0.34598464079502655
DTT,1.0,1.0,77,0,0.0,-1.176158297859927e-15,,0.0,3.5184028006085727e-15,1.0,,0.3459846407950276,0.3459846407950275
DTT,1.0,0.99,77,0,0.0,0.00794649811868482,1.0,0.0,0.007946498118687537,1.0,1.000000000000342,0.3459846407950283,0.3459846407950277
DTT,1.0,0.95,77,0,0.0,0.036624898509410725,1.0,0.0,0.03662489850941095,1.0,1.000000000000006,0.3459846407950267,0.3459846407950262
DTT,1.0,0.9,77,0,0.0,0.059398770508837434,1.0,0.0,0.05939877050883839,1.0,1.0000000000000162,0.34598464079502944,0.3459846407950284
DTT,1.0,0.75,77,0,0.0,0.1061995897653043,1.0,0.0,0.10619958976529745,1.0,0.9999999999999355,0.3459846407950401,0.3459846407950293
DTT,1.0,0.5,77,0,0.0,0.18371693386210192,1.0,0.0,0.1837169338620871,1.0,0.9999999999999193,0.3459846407950275,0.345984640795024
DTT,1.0,0.25,77,0,0.0,0.2587055495965211,1.0,0.0,0.25870554959652803,1.0,1.0000000000000269,0.34598464079502583,0.3459846407950288
menadione,100.0,1.0,242,0,0.0,-6.612274072151795e-16,,0.0,5.416424356850475e-16,1.0,,0.3459846407950273,0.3459846407950269
menadione,100.0,0.99,242,0,0.0,0.007946498118686661,1.0,0.0,0.007946498118683951,1.0,0.999999999999659,0.34598464079502705,0.3459846407950282
menadione,100.0,0.95,242,0,0.0,0.036624898509379895,1.0,0.0,0.03662489850940419,1.0,1.0000000000006632,0.3459846407950414,0.3459846407950275
menadione,100.0,0.9,242,0,0.0,0.0593987705088413,1.0,0.0,0.05939877050885651,1.0,1.000000000000256,0.34598464079503194,0.34598464079502567
menadione,100.0,0.75,242,0,0.0,0.10619958976530577,1.0,0.0,0.10619958976529505,1.0,0.999999999999899,0.34598464079502717,0.3459846407950284
menadione,100.0,0.5,242,0,0.0,0.18371693386209131,1.0,0.0,0.1837169338620913,1.0,0.9999999999999999,0.34598464079502683,0.34598464079502506
menadione,100.0,0.25,242,0,0.0,0.2587055495965262,1.0,0.0,0.2587055495965233,1.0,0.9999999999999888,0.34598464079502506,0.34598464079502617
tunicamycin,1.0,1.0,77,0,0.0,-1.5657980641994473e-15,,0.0,3.3964540279499444e-15,1.0,,0.3459846407950297,0.3459846407950286
tunicamycin,1.0,0.99,77,0,0.0,0.007946498118675567,1.0,0.0,0.007946498118690155,1.0,1.0000000000018356,0.34598464079503244,0.34598464079502683
tunicamycin,1.0,0.95,77,0,0.0,0.03662489850940755,1.0,0.0,0.0366248985093996,1.0,0.9999999999997831,0.34598464079503144,0.3459846407950267
tunicamycin,1.0,0.9,77,0,0.0,0.05939877050884259,1.0,0.0,0.05939877050884921,1.0,1.0000000000001115,0.3459846407950284,0.34598464079502644
tunicamycin,1.0,0.75,77,0,0.0,0.10619958976530433,1.0,0.0,0.10619958976529385,1.0,0.9999999999999013,0.3459846407950269,0.34598464079502916
tunicamycin,1.0,0.5,77,0,0.0,0.18371693386207857,1.0,0.0,0.18371693386207974,1.0,1.0000000000000064,0.34598464079502994,0.34598464079503216
tunicamycin,1.0,0.25,77,0,0.0,0.2587055495965263,1.0,0.0,0.2587055495965192,1.0,0.9999999999999726,0.3459846407950281,0.3459846407950274
